common_taxa,rank_file1,rank_file2
<http://purl.obolibrary.org/obo/NCBITaxon_1313>,220,304
<http://purl.obolibrary.org/obo/NCBITaxon_991>,182,189
<http://purl.obolibrary.org/obo/NCBITaxon_1358>,842,657
<http://purl.obolibrary.org/obo/NCBITaxon_379347>,19,45
<http://purl.obolibrary.org/obo/NCBITaxon_986>,462,118
<http://purl.obolibrary.org/obo/NCBITaxon_334542>,883,621
<http://purl.obolibrary.org/obo/NCBITaxon_492670>,553,379
<http://purl.obolibrary.org/obo/NCBITaxon_326475>,676,105
<http://purl.obolibrary.org/obo/NCBITaxon_1423>,24,645
<http://purl.obolibrary.org/obo/NCBITaxon_545619>,807,166
<http://purl.obolibrary.org/obo/NCBITaxon_1661>,834,67
<http://purl.obolibrary.org/obo/NCBITaxon_420404>,12,757
<http://purl.obolibrary.org/obo/NCBITaxon_48076>,175,232
<http://purl.obolibrary.org/obo/NCBITaxon_1351>,71,555
<http://purl.obolibrary.org/obo/NCBITaxon_358>,151,337
<http://purl.obolibrary.org/obo/NCBITaxon_37734>,110,255
<http://purl.obolibrary.org/obo/NCBITaxon_863227>,218,784
<http://purl.obolibrary.org/obo/NCBITaxon_28444>,775,180
<http://purl.obolibrary.org/obo/NCBITaxon_561184>,693,34
<http://purl.obolibrary.org/obo/NCBITaxon_315405>,164,684
<http://purl.obolibrary.org/obo/NCBITaxon_396013>,192,497
<http://purl.obolibrary.org/obo/NCBITaxon_928856>,962,848
<http://purl.obolibrary.org/obo/NCBITaxon_40324>,242,2
<http://purl.obolibrary.org/obo/NCBITaxon_29497>,778,370
<http://purl.obolibrary.org/obo/NCBITaxon_37483>,351,281
<http://purl.obolibrary.org/obo/NCBITaxon_28901>,57,136
<http://purl.obolibrary.org/obo/NCBITaxon_1590>,415,199
<http://purl.obolibrary.org/obo/NCBITaxon_1071679>,108,320
<http://purl.obolibrary.org/obo/NCBITaxon_33941>,291,933
