p,count
http://www.w3.org/1999/02/22-rdf-syntax-ns#type,62193
http://www.w3.org/2002/07/owl#sameAs,100083
http://example.com/n4l/rid_(effective),553
http://example.com/n4l/na_cl_(grows),392
http://example.com/n4l/isolation_source,2161
http://example.com/n4l/temperature_optimum,5119
http://example.com/n4l/name_id,3094
http://example.com/n4l/positive_enzyme_activities,1540
http://example.com/n4l/cellular_morphology_(shape),2247
http://example.com/n4l/motility,1853
http://example.com/n4l/cellular_morphology_(dimension_1),1852
http://example.com/n4l/type_strain_designation,2037
http://example.com/n4l/na_cl_optimum,520
http://example.com/n4l/name,48082
http://example.com/n4l/ex_id_(or_tx_id),2681
http://example.com/n4l/metabolic_end_products,715
http://example.com/n4l/spore_forming?,1357
"http://example.com/n4l/oxygen,_h2_and_co2_requirements",1843
http://example.com/n4l/gram_positive_negative,1757
http://example.com/n4l/cellular_morphology_(dimension_2),1493
http://example.com/n4l/temperature,1187
http://example.com/n4l/temperature_range,4717
http://example.com/n4l/reduction_positive,171
http://example.com/n4l/culture_collection_numbers,2393
http://example.com/n4l/broad_metabolic_characteristics,997
http://example.com/n4l/mol_g+c_content_(no_method),1496
http://example.com/n4l/growth_factors_and_nutritional_requirements,581
http://example.com/n4l/p_h_optimum,876
http://example.com/n4l/na_cl_range,632
http://example.com/n4l/p_h_range,900
http://example.com/n4l/does_not_grow_on_(carbon_source),186
http://example.com/n4l/fermented,495
http://example.com/n4l/utilized_as_energy_source,104
http://example.com/n4l/reduction_negative,132
http://example.com/n4l/rank,35096
http://example.com/n4l/ncbi_tax_id,51516
http://example.com/n4l/rid,3343
http://example.com/n4l/filename,13236
http://example.com/n4l/n4l_id,48148
http://example.com/n4l/refid,32275
http://example.com/n4l/rid_(effective_emendation),2009
http://example.com/n4l/class,34546
http://example.com/n4l/genus,39987
http://example.com/n4l/validation,40588
http://example.com/n4l/root_taxon,33990
http://example.com/n4l/strains,37211
http://example.com/n4l/order,35240
http://example.com/n4l/domain_taxon,33994
http://example.com/n4l/species,38706
http://example.com/n4l/has_16s_sequence_accession,28333
http://example.com/n4l/family,35902
http://example.com/n4l/effective_date,44874
http://example.com/n4l/nomenclatural_type,26600
http://example.com/n4l/authority,47673
http://example.com/n4l/n4l_exemplar_id,27749
http://example.com/n4l/index,48148
http://example.com/n4l/valid_date,38846
http://example.com/n4l/is_preferred,43135
http://example.com/n4l/order_taxon,35235
http://example.com/n4l/family_taxon,35906
http://example.com/n4l/domain,33994
http://example.com/n4l/n4l_name_id,48148
http://example.com/n4l/phylum,34260
http://example.com/n4l/n4l_taxon_id,46264
http://example.com/n4l/illegitimate,34549
http://example.com/n4l/species_taxon,37301
http://example.com/n4l/genus_taxon,40007
http://example.com/n4l/phylum_taxon,34260
http://example.com/n4l/root,33990
http://example.com/n4l/class_taxon,34546
http://example.com/n4l/nomenclatural_type_exemplar,35058
http://example.com/n4l/preferred_name,10370
http://example.com/n4l/new_combination,7667
http://example.com/n4l/n4l_preferred_id,10370
http://example.com/n4l/basonym,9340
http://example.com/n4l/type_exemplars,29332
http://example.com/n4l/sequenced_type_exemplars,29244
http://example.com/n4l/in_current_db,13135
http://example.com/n4l_metpo/nm_identifier,49087
http://purl.obolibrary.org/obo/ncbitaxon#has_rank,25294
http://example.com/n4l/is_about,12305
http://example.com/n4l/colony_shape,1044
http://example.com/n4l/colony_margin,631
"http://example.com/n4l/colony_appearance,_texture,_odor,_and_consistency",587
http://example.com/n4l/colony_elevation,911
http://example.com/n4l/colony_color,1374
http://example.com/n4l/na_cl_(does_not_grow),484
http://example.com/n4l/flagella_observations,801
"http://example.com/n4l/common_assays_(imvic_tests,_milk_tests,_others)",1157
http://example.com/n4l/nitrate_reduction,1204
http://example.com/n4l/hydrolysis_positive,857
http://example.com/n4l/spore_morphology_(shape),227
http://example.com/n4l/utilized_as_carbon_source,817
http://example.com/n4l/no_acid_production,640
http://example.com/n4l/pigment_production,589
http://example.com/n4l/selective_growth_inhibitors,285
http://example.com/n4l/spore_morphology_(location),269
"http://example.com/n4l/colony_appearance,_texture,_and_consistency",1032
http://example.com/n4l/note,1116
http://example.com/n4l/chromosome,8030
http://example.com/n4l/colony_opacity,515
http://example.com/n4l/negative_enzyme_activities,1381
http://example.com/n4l/not_fermented,346
http://example.com/n4l/fatty_acids,1261
http://example.com/n4l/cell_wall_content,490
http://example.com/n4l/colony_morphology,1300
http://example.com/n4l/antimicrobial_sensitivity,560
http://example.com/n4l/p_h_(does_not_grow),175
http://example.com/n4l/not_assimilated,98
http://example.com/n4l/respiratory_quinones,881
http://example.com/n4l/temperature_(does_not_grow),2554
http://example.com/n4l/antimicrobial_resistance,505
http://example.com/n4l/acid_production,675
http://example.com/n4l/colony_diameter,900
http://example.com/n4l/whole_cell_sugars,147
http://example.com/n4l/oxidization_negative,46
http://example.com/n4l/acid_production_weak,52
http://example.com/n4l/utilized_as_sole_carbon_source,256
http://example.com/n4l/utilized_weakly_as_carbon_source,106
http://example.com/n4l/assimilation_of,110
http://example.com/n4l/utilized_variably_as_carbon_source,42
http://example.com/n4l/media_(grows),681
http://example.com/n4l/hydrolysis_negative,996
http://example.com/n4l/acid_fastness,126
http://example.com/n4l/degradation_negative,371
http://example.com/n4l/pathogenicity_and_hemolysis,498
http://example.com/n4l/degradation_positive,285
"http://example.com/n4l/pili,_prosthecae,_and_other_appendages",83
http://example.com/n4l/grows_on_(carbon_source),239
http://example.com/n4l/not_utilized_as_sole_carbon_source,154
http://example.com/n4l/hyphal_morphology,101
http://example.com/n4l/mycolic_acids,110
http://example.com/n4l/p_h_(grows),111
http://example.com/n4l/mycelium_morphology,181
http://example.com/n4l/are_used_as_electron_donors,111
http://example.com/n4l/oxidization_positive,172
http://example.com/n4l/cellular_morphology_(occurrence),834
http://example.com/n4l/are_not_used_as_electron_acceptors,111
http://example.com/n4l/are_used_as_electron_acceptors,212
http://example.com/n4l/are_not_used_as_electron_donors,23
http://example.com/n4l/polar_lipids,291
http://example.com/n4l/colony_size,137
http://example.com/n4l/cell_wall_and_membrane_characteristics_and_capsules,349
http://example.com/n4l/used_as_nitrogen_source,189
http://example.com/n4l/do_not_contain_contain_cellular_inclusion_bodies,119
http://example.com/n4l/media_(does_not_grow),220
http://example.com/n4l/not_utilized_as_sole_carbon_and_energy_source,72
http://example.com/n4l/not_used_as_nitrogen_source,81
http://example.com/n4l/utilized_as_sole_carbon_and_energy_source,120
http://example.com/n4l/respiration_negative,6
http://example.com/n4l/not_utilized_as_carbon_source,639
http://example.com/n4l/pigmentation,49
http://example.com/n4l/odor,17
http://example.com/n4l/gold,2035
http://example.com/n4l/mol_g+c_content_(tm),325
http://example.com/n4l/other_salt_ion_concentrations,176
http://example.com/n4l/gram_stain_reaction,209
http://example.com/n4l/division_by,121
http://example.com/n4l/mol_g+c_content_(hplc),240
http://example.com/n4l/mol_g+c_content_(bd),116
http://example.com/n4l/phospholipids,188
http://example.com/n4l/other_stains,39
http://example.com/n4l/genome_sequence_and_gene_presence,84
http://example.com/n4l/no_acid_or_gas_is_produced_from,18
http://example.com/n4l/co_cultivation_and_obligate_intracellular_parasite_comments,57
http://example.com/n4l/acid_but_no_gas_produced_from,95
http://example.com/n4l/temperature_(grows),1682
http://example.com/n4l/macromorphology_in_liquid_media,198
http://example.com/n4l/acid_and_gas_production_from,43
http://example.com/n4l/compounds_stimulatory_to_growth,191
http://example.com/n4l/variable_enzyme_activities,173
http://example.com/n4l/assembly,1646
http://example.com/n4l/acid_production_variable,105
http://example.com/n4l/carbon_source_and_acid_gas_production,24
http://example.com/n4l/respiration_positive,31
http://example.com/n4l/denitrification_nitrogen_fixation,94
http://example.com/n4l/non_selective_growth_inhibitors,39
http://example.com/n4l/suborder_taxon,1974
http://example.com/n4l/suborder,1974
http://example.com/n4l/light_requirements,58
http://example.com/n4l/generation_time,96
http://example.com/n4l/relationships_to_other_taxa,55
http://example.com/n4l/sulfur_source,21
http://example.com/n4l/subspecies_taxon,1808
http://example.com/n4l/subspecies,1942
http://example.com/n4l/contain_cellular_inclusion_bodies,194
http://example.com/n4l/has_16s_sequence_description,410
http://example.com/n4l/dna_dna_homology,44
http://example.com/n4l/polyamines,57
http://example.com/n4l/gram_type,56
http://example.com/n4l/gram_variable,62
http://example.com/n4l/spore_morphology,130
http://example.com/n4l/fermentation_weak,31
http://example.com/n4l/not_utilized_as_energy_source,24
http://example.com/n4l/antibiotic_production,23
http://example.com/n4l/type_status,7694
"http://example.com/n4l/oxygen,_co2,_and_h2_requirements",186
http://example.com/n4l/isolation_source_and_habitat,202
http://example.com/n4l/ex_id,255
http://example.com/n4l/fermentation_variable,62
http://example.com/n4l/pressure_requirements_and_tolerance,15
http://example.com/n4l/metabolic_shifts_due_to_light,31
http://example.com/n4l/generation_doubling_time,14
http://example.com/n4l/missing_from_current_db,93
http://example.com/n4l/subclass_taxon,220
http://example.com/n4l/subclass,220
http://example.com/n4l/metabolic_end_products_produces,101
