?p	?count
<http://example.com/n4l/note>	1555
<http://example.com/n4l/rid_(effective)>	345
<http://example.com/n4l/na_cl_(grows)>	766
<http://example.com/n4l/isolation_source>	3778
<http://example.com/n4l/temperature_optimum>	2696
<http://example.com/n4l/are_used_as_electron_donors>	238
<http://example.com/n4l/colony_shape>	2082
<http://example.com/n4l/colony_margin>	1225
<http://example.com/n4l/name_id>	5921
<http://example.com/n4l/positive_enzyme_activities>	2870
<http://example.com/n4l/cellular_morphology_(shape)>	4179
<http://example.com/n4l/motility>	3638
<http://example.com/n4l/cellular_morphology_(dimension_1)>	3461
<http://example.com/n4l/utilized_variably_as_carbon_source>	71
<http://example.com/n4l/type_strain_designation>	4092
<http://example.com/n4l/na_cl_optimum>	1054
<http://example.com/n4l/name>	5839
<http://example.com/n4l/colony_opacity>	967
<http://example.com/n4l/ex_id_(or_tx_id)>	5454
<http://example.com/n4l/oxidization_positive>	346
<http://example.com/n4l/genome_sequence_and_gene_presence>	158
<http://example.com/n4l/colony_appearance,_texture,_odor,_and_consistency>	527
<http://example.com/n4l/negative_enzyme_activities>	2554
<http://example.com/n4l/metabolic_end_products>	1081
<http://example.com/n4l/spore_forming?>	2583
<http://example.com/n4l/oxygen,_h2_and_co2_requirements>	3242
<http://example.com/n4l/media_(grows)>	1286
<http://example.com/n4l/not_utilized_as_carbon_source>	1175
<http://example.com/n4l/gram_positive_negative>	3535
<http://example.com/n4l/cellular_morphology_(dimension_2)>	2809
<http://example.com/n4l/colony_elevation>	1712
<http://example.com/n4l/temperature>	709
<http://example.com/n4l/colony_color>	2654
<http://example.com/n4l/hydrolysis_negative>	1885
<http://example.com/n4l/temperature_range>	2484
<http://example.com/n4l/reduction_positive>	330
<http://example.com/n4l/temperature_(grows)>	702
<http://example.com/n4l/culture_collection_numbers>	4516
<http://example.com/n4l/not_fermented>	612
<http://example.com/n4l/broad_metabolic_characteristics>	1879
<http://example.com/n4l/mol_g+c_content_(no_method)>	2817
<http://example.com/n4l/na_cl_(does_not_grow)>	952
<http://example.com/n4l/acid_fastness>	244
<http://example.com/n4l/flagella_observations>	1510
<http://example.com/n4l/fatty_acids>	2486
<http://example.com/n4l/generation_time>	169
<http://example.com/n4l/common_assays_(imvic_tests,_milk_tests,_others)>	2003
<http://example.com/n4l/cell_wall_content>	940
<http://example.com/n4l/growth_factors_and_nutritional_requirements>	1037
<http://example.com/n4l/degradation_negative>	656
<http://example.com/n4l/polar_lipids>	567
<http://example.com/n4l/nitrate_reduction>	2236
<http://example.com/n4l/p_h_optimum>	1855
<http://example.com/n4l/hydrolysis_positive>	1644
<http://example.com/n4l/pathogenicity_and_hemolysis>	850
<http://example.com/n4l/contain_cellular_inclusion_bodies>	371
<http://example.com/n4l/mol_g+c_content_(tm)>	540
<http://example.com/n4l/na_cl_range>	1297
<http://example.com/n4l/cellular_morphology_(occurrence)>	1523
<http://example.com/n4l/colony_morphology>	2484
<http://example.com/n4l/cell_wall_and_membrane_characteristics_and_capsules>	611
<http://example.com/n4l/macromorphology_in_liquid_media>	300
<http://example.com/n4l/spore_morphology_(shape)>	412
<http://example.com/n4l/no_acid_or_gas_is_produced_from>	29
<http://example.com/n4l/antimicrobial_sensitivity>	1076
<http://example.com/n4l/degradation_positive>	550
<http://example.com/n4l/p_h_(does_not_grow)>	330
<http://example.com/n4l/utilized_as_carbon_source>	1515
<http://example.com/n4l/p_h_range>	1891
