ID	label
ID	LABEL
pubmed.39465541:001	16S rRNA gene
pubmed.39465541:002	acetate
pubmed.39465541:003	anaerobic respiration
pubmed.39465541:004	bacterium
pubmed.39465541:005	C16:0
pubmed.39465541:006	C17:0
pubmed.39465541:007	C18:0
pubmed.39465541:008	C18:1 trans9
pubmed.39465541:009	candidate phylum Marine Group A
pubmed.39465541:010	Candidatus Marinimicrobia
pubmed.39465541:011	carbon
pubmed.39465541:012	carbon dioxide
pubmed.39465541:013	cell shape
pubmed.39465541:014	cell wall formation
pubmed.39465541:015	cellular fatty acids
pubmed.39465541:016	chemoheterotrophic
pubmed.39465541:017	co-cultivation
pubmed.39465541:018	coccoids
pubmed.39465541:019	conserved protein sequences
pubmed.39465541:020	d-lactate
pubmed.39465541:021	deep aquifers
pubmed.39465541:022	deep subsurface aquifer
pubmed.39465541:023	end products
pubmed.39465541:024	energy
pubmed.39465541:025	exogenous cell wall fragments
pubmed.39465541:026	Fe(III)
pubmed.39465541:027	Fidelibacter multiformis
pubmed.39465541:028	Fidelibacteraceae
pubmed.39465541:029	Fidelibacterales
pubmed.39465541:030	Fidelibacteria
pubmed.39465541:031	Fidelibacterota
pubmed.39465541:032	formation water
pubmed.39465541:033	G+C content
pubmed.39465541:034	genomic DNA
pubmed.39465541:035	genus
pubmed.39465541:036	Gram-negative
pubmed.39465541:037	Gram-negative bacterium
pubmed.39465541:038	hydrogen
pubmed.39465541:039	hydrogen-scavenging methanogenic archaeon
pubmed.39465541:040	IA91T
pubmed.39465541:041	irregular rod-shaped
pubmed.39465541:042	isolated
pubmed.39465541:043	Marine Group A (MG-A, SAR406 or Ca. Marinimicrobia)
pubmed.39465541:044	Marine Group A, SAR406
pubmed.39465541:045	methanogenic archaeon
pubmed.39465541:046	muropeptides
pubmed.39465541:047	nitrate
pubmed.39465541:048	nitrite
pubmed.39465541:049	obligatory anaerobic
pubmed.39465541:050	optimum growth
pubmed.39465541:051	peptidoglycan
pubmed.39465541:052	phenotypic and phylogenomic characteristics
pubmed.39465541:053	phylogenetic analysis
pubmed.39465541:054	phylum
pubmed.39465541:055	replication
pubmed.39465541:056	rod-shaped
pubmed.39465541:057	sediments
pubmed.39465541:058	species
pubmed.39465541:059	strain IA91T
pubmed.39465541:060	sulphate
pubmed.39465541:061	temperature range
pubmed.39465541:062	transcription
pubmed.39465541:063	translation
pubmed.39465541:064	yeast extract
pubmed.39465541:065	yeast extract
pubmed.39465541:066	yeast extract degradation
pubmed.39465541:067	Marine Group A
pubmed.39465541:068	SAR406
