source	file	column	curie_percentage	curie_count	non_null_count	total_rows
bacdive	edges.tsv	predicate	100.00	1656667	1656667	1656667
bacdive	edges.tsv	relation	100.00	1633852	1633852	1656667
bacdive	nodes.tsv	category	100.00	196168	196168	196168
bacdive	edges.tsv	object	99.99	1656558	1656667	1656667
bacdive	nodes.tsv	id	99.95	196068	196168	196168
bacdive	edges.tsv	subject	92.49	1532282	1656667	1656667
bacdive	edges.tsv	primary_knowledge_source	89.76	1487035	1656667	1656667
bacdive	nodes.tsv	description	0.00	0	0	196168
bacdive	nodes.tsv	iri	0.00	0	0	196168
bacdive	nodes.tsv	name	0.00	0	196167	196168
bacdive	nodes.tsv	object	0.00	0	0	196168
bacdive	nodes.tsv	predicate	0.00	0	0	196168
bacdive	nodes.tsv	provided_by	0.00	0	0	196168
bacdive	nodes.tsv	relation	0.00	0	0	196168
bacdive	nodes.tsv	same_as	0.00	0	0	196168
bacdive	nodes.tsv	subject	0.00	0	0	196168
bacdive	nodes.tsv	subsets	0.00	0	0	196168
bacdive	nodes.tsv	synonym	0.00	0	0	196168
bacdive	nodes.tsv	xref	0.00	0	0	196168
bactotraits	edges.tsv	object	100.00	90768	90768	90768
bactotraits	edges.tsv	predicate	100.00	90768	90768	90768
bactotraits	edges.tsv	relation	100.00	90768	90768	90768
bactotraits	edges.tsv	subject	100.00	90768	90768	90768
bactotraits	nodes.tsv	category	100.00	10026	10026	10026
bactotraits	nodes.tsv	id	100.00	10026	10026	10026
bactotraits	edges.tsv	primary_knowledge_source	0.00	0	90768	90768
bactotraits	nodes.tsv	description	0.00	0	0	10026
bactotraits	nodes.tsv	iri	0.00	0	0	10026
bactotraits	nodes.tsv	name	0.00	0	9990	10026
bactotraits	nodes.tsv	object	0.00	0	0	10026
bactotraits	nodes.tsv	predicate	0.00	0	0	10026
bactotraits	nodes.tsv	provided_by	0.00	0	0	10026
bactotraits	nodes.tsv	relation	0.00	0	0	10026
bactotraits	nodes.tsv	same_as	0.00	0	0	10026
bactotraits	nodes.tsv	subject	0.00	0	0	10026
bactotraits	nodes.tsv	subsets	0.00	0	0	10026
bactotraits	nodes.tsv	synonym	0.00	0	0	10026
bactotraits	nodes.tsv	xref	0.00	0	0	10026
madin_etal	edges.tsv	object	100.00	115397	115397	115397
madin_etal	edges.tsv	predicate	100.00	115397	115397	115397
madin_etal	edges.tsv	relation	100.00	115397	115397	115397
madin_etal	edges.tsv	subject	100.00	115397	115397	115397
madin_etal	nodes.tsv	category	100.00	122454	122454	122495
madin_etal	nodes.tsv	id	100.00	122495	122495	122495
madin_etal	edges.tsv	primary_knowledge_source	0.00	0	0	115397
madin_etal	nodes.tsv	description	0.00	0	0	122495
madin_etal	nodes.tsv	iri	0.00	0	0	122495
madin_etal	nodes.tsv	name	0.00	0	118143	122495
madin_etal	nodes.tsv	object	0.00	0	0	122495
madin_etal	nodes.tsv	predicate	0.00	0	0	122495
madin_etal	nodes.tsv	provided_by	0.00	0	0	122495
madin_etal	nodes.tsv	relation	0.00	0	0	122495
madin_etal	nodes.tsv	same_as	0.00	0	0	122495
madin_etal	nodes.tsv	subject	0.00	0	0	122495
madin_etal	nodes.tsv	subsets	0.00	0	0	122495
madin_etal	nodes.tsv	synonym	0.00	0	0	122495
madin_etal	nodes.tsv	xref	0.00	0	0	122495
