term_id	value_type	lang	note	modified	user
387	DE	en	<p>pertaining to a staining property of some microorganisms. The ability to retain dyes such as basic fuchsin after being washed with acid alcohol. In other words, the ability to resist decolorization after being stained with basic fuchsin.</p>	2014-01-29 15:40:45	2
387	PR	en	<p>/ˈ&aelig;sɪdˌf&aelig;st/</p>	2014-01-29 15:41:19	2
387	ET	en	<p>Latin, from acidus &amp;&nbsp; Old English, from f&aelig;st</p>	2014-01-29 15:41:37	2
387	PS	en	<p>adjective</p>	2014-01-29 15:41:58	2
388	ET	en	<p>Latin, from acidus &amp;&nbsp; Old English, from f&aelig;st</p>	2014-01-29 15:43:00	2
388	DE	en	<p>type of staining which evaluates the ability of a bacterium to retain dyes such as basic fuchsin after being washed with acid alcohol</p>	2014-01-29 15:43:21	2
388	PR	en	<p>/ˈ&aelig;sɪdˌf&aelig;st/</p>	2014-01-29 15:43:37	2
388	PS	en	<p>noun</p>	2014-01-29 15:43:55	2
389	ET	en	<p>Latin, from acidus &amp;&nbsp; Old English, from f&aelig;stnes</p>	2014-01-29 15:44:51	2
389	DE	en	<p>a staining property of some microorganisms. The ability to retain dyes such as basic fuchsin after being washed with acid alcohol. In other words, the ability to resist decolorization after being stained with basic fuchsin.</p>	2014-01-29 15:45:21	2
389	PR	en	<p>/ˈ&aelig;sɪdˌf&aelig;st/</p>	2014-01-29 15:45:47	2
389	PS	en	<p>adjective</p>	2014-01-29 15:46:00	2
465	ET	en	<p>Latin, from acidus &amp; philus</p>	2014-01-29 15:47:12	2
465	DE	en	<p>acid loving organism. an organism which grows optimally under acidic conditions (pH less than six). Acidophiles may grow poorly or not at all at pH 7 or above.</p>	2014-01-29 15:47:28	2
465	PR	en	<p>/əˈsɪdəfɪl/</p>	2014-01-29 15:47:45	2
465	PS	en	<p>noun</p>	2014-01-29 15:48:11	2
466	ET	en	<p>Latin, from acidus &amp; philus</p>	2014-01-29 15:49:44	2
466	DE	en	<p>acid loving organism. an organism which grows optimally under acidic conditions (pH less than six). Acidophiles may grow poorly or not at all at pH 7 or above.</p>	2014-01-29 15:50:01	2
466	PR	en	<p>/əˈsɪdəfɪl/</p>	2014-01-29 15:50:16	2
466	PS	en	<p>noun</p>	2014-01-29 15:50:28	2
467	DE	en	<p>pertaining to optimal growth at a pH below six. See acidophile.pertaining to optimal growth at a pH below six. See acidophile.</p>	2014-01-29 15:51:17	2
467	PS	en	<p>adjective</p>	2014-01-29 15:51:27	2
467	ET	en	<p>Latin, from acidus &amp; philus</p>	2014-01-29 15:51:56	2
467	PR	en	<p>/əˌsɪdəˈfɪlɪk/</p>	2014-01-29 15:52:14	2
468	DE	en	<p>able to tolerate low pH but not growing optimally</p>	2014-01-29 15:52:49	2
468	PS	en	<p>adjective</p>	2014-01-29 15:53:02	2
468	ET	en	<p>Latin, from acidus &amp; dūrāre</p>	2014-01-29 15:53:47	2
323	DE	en	<p>pertaining to spore growth. Growth from the base or point of attachment to the tip. In a chain of spores this would mean the first formed spores would be nearest the base while spores formed later will be distal to the base.</p>	2014-01-29 16:07:11	2
323	ET	en	<p>Greek, from &aacute;kros &amp; petus</p>	2014-01-29 16:07:52	2
323	PS	en	<p>adjective</p>	2014-01-29 16:08:05	2
323	PR	en	<p>/əˈkrɒpɪtl/</p>	2014-01-29 16:08:16	2
321	DE	en	<p>any member of the order Actinomycetales.</p>	2014-01-29 16:08:59	2
321	PR	en	<p>/&aelig;kˌtɪnoʊˈmaɪsit/</p>	2014-01-29 16:09:31	2
321	ET	en	<p>Greek, from aktis &amp; mykēs</p>	2014-01-29 16:10:00	2
321	PS	en	<p>noun</p>	2014-01-29 16:10:11	2
322	PS	en	<p>noun</p>	2014-01-29 16:10:37	2
322	PR	en	<p>/&aelig;kˌtɪnoʊˈmaɪsit/</p>	2014-01-29 16:11:02	2
322	ET	en	<p>Greek, from aktis &amp; mykēs</p>	2014-01-29 16:11:14	2
322	NA	en	<p>any member of the order Actinomycetales.</p>	2014-01-29 16:11:30	2
474	DE	en	<p>attachment, binding, or bonding by microorganisms to various other cells and substratum. May be referring to the ability of a cell to adhere.</p>	2014-01-29 16:12:02	2
474	PS	en	<p>noun</p>	2014-01-29 16:12:18	2
474	PR	en	<p>/&aelig;dˈhiʒən/</p>	2014-01-29 16:12:33	2
474	ET	en	<p>Medieval Latin, from adhēsiōn</p>	2014-01-29 16:13:17	2
185	DE	en	<p>reaching into or existing in the air. High or lofty.</p>	2014-01-29 16:13:54	2
185	PS	en	<p>adjective</p>	2014-01-29 16:14:46	2
185	PR	en	<p>/ˈɛəriəl/</p>	2014-01-29 16:14:57	2
185	ET	en	<p>Latin, from aerius</p>	2014-01-29 16:15:10	2
199	DE	en	<p>a mycelium which projects above the level of the medium. Typically developing after a substrate mycelium. Hydrophobic in nature.</p>	2014-01-29 16:15:35	2
199	PS	en	<p>noun</p>	2014-01-29 16:15:50	2
199	PR	en	<p>/ˈɛəriəl maɪˈsiliəm/</p>	2014-01-29 16:16:04	2
199	ET	en	<p>Latin, from aerius &amp; New Latin, from myc &amp; Greek, from hēlosLatin, from aerius &amp; New Latin, from myc &amp; Greek, from hēlos</p>	2014-01-29 16:16:25	2
352	DE	en	<p>an organism which has the ability to grow in the presence of oxygen. Organisms which, in nature, normally grow in or can only grow in aerobic habitats.</p>	2014-01-29 16:16:50	2
352	PS	en	<p>noun</p>	2014-01-29 16:17:17	2
352	PR	en	<p>/ˈɛəroʊb/</p>	2014-01-29 16:17:29	2
352	ET	en	<p>Greek, from āer &amp; mīkro &amp; b&iacute;os</p>	2014-01-29 16:17:47	2
353	DE	en	<p>an organism which has the ability to grow in the presence of oxygen. Organisms which, in nature, normally grow in or can only grow in aerobic habitats.</p>	2014-01-29 16:24:04	2
353	ET	en	<p>Greek, from āer &amp; mīkro &amp; b&iacute;os</p>	2014-01-29 16:24:26	2
353	PR	en	<p>/ˈɛəroʊb/</p>	2014-01-29 16:24:39	2
353	PS	en	<p>noun</p>	2014-01-29 16:24:50	2
351	DE	en	<ul>\n<li>pertaining to an environment&nbsp; where oxygen is present.</li>\n<li>pertaining to an organism which has the ability to grow in the presence of oxygen.</li>\n</ul>	2014-01-29 16:26:03	2
351	PS	en	<p>adjective</p>	2014-01-29 16:25:35	2
351	ET	en	<p>Greek, from āer &amp; mīkro &amp; b&iacute;os</p>	2014-01-29 16:26:23	2
351	PR	en	<p>/ɛəˈroʊbɪk/</p>	2014-01-29 16:26:39	2
355	DE	en	<p>adverb of aerobic.</p>	2014-01-29 16:27:13	2
355	PS	en	<p>adverb</p>	2014-01-29 16:27:27	2
355	ET	en	<p>Greek, from āer &amp; mīkro &amp; b&iacute;os</p>	2014-01-29 16:27:57	2
366	DE	en	<p>pertaining to anaerobe which can survive or grow in the presence of oxygen. But at suboptimal rates of growth.</p>	2014-01-29 16:28:22	2
366	PS	en	<p>adjective</p>	2014-01-29 16:28:50	2
366	ET	en	<p>Greek, from āer &amp; Latin, from tolerant</p>	2014-01-29 16:29:03	2
569	PS	en	<p>noun</p>	2014-01-29 16:29:46	2
569	PR	en	<p>/ˈɛskyəlɪn/</p>	2014-01-29 16:30:00	2
569	ET	en	<p>Italian, from esculina</p>	2014-01-29 16:30:13	2
391	DE	en	<p>a complex galactan which is used as a base for many kinds of microbiological media. Agar has two main components: agarose and agaropectin.</p>	2014-01-29 16:30:47	2
391	PS	en	<p>noun</p>	2014-01-29 16:31:07	2
391	PR	en	<p>/ˈɑgɑr/</p>	2014-01-29 16:31:19	2
391	ET	en	<p>Malay, from agaragar</p>	2014-01-29 16:31:37	2
