?subject	?predicate	?minimum_value	?maximum_value	?spot_value	?unit
<http://example.com/n4l/ex.10622_nm.10622>	<http://example.com/n4l/temperature_optimum>			37	Cel
<http://example.com/n4l/ex.10622_nm.10622>	<http://example.com/n4l/temperature_optimum>			37	Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_(does_not_grow)>			40	Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_(does_not_grow)>			40	Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_(does_not_grow)>			4	Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_(does_not_grow)>			40	Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_(does_not_grow)>			4	Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_(does_not_grow)>			4	Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_(grows)>			11	Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_(grows)>			11	Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_(grows)>			37	Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_(grows)>			37	Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_(grows)>			11	Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_(grows)>			37	Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_range>	22	28		Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_range>	22	28		Cel
<http://example.com/n4l/nm.10206>	<http://example.com/n4l/temperature_range>	22	28		Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_(does_not_grow)>			14	Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_(does_not_grow)>			37	Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_(does_not_grow)>			37	Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_(does_not_grow)>			14	Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_(does_not_grow)>			37	Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_(does_not_grow)>			14	Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_optimum>	22	28		Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_optimum>	22	28		Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_optimum>	22	28		Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_range>			17	Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_range>			33	Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_range>			33	Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_range>			33	Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_range>			17	Cel
<http://example.com/n4l/nm.10208>	<http://example.com/n4l/temperature_range>			17	Cel
<http://example.com/n4l/nm.10298>	<http://example.com/n4l/temperature_range>	8	30		Cel
<http://example.com/n4l/nm.10298>	<http://example.com/n4l/temperature_range>	8	30		Cel
<http://example.com/n4l/nm.10298>	<http://example.com/n4l/temperature_range>	8	30		Cel
<http://example.com/n4l/nm.10581>	<http://example.com/n4l/temperature_range>	45	70		Cel
<http://example.com/n4l/nm.10581>	<http://example.com/n4l/temperature_range>	45	70		Cel
<http://example.com/n4l/nm.10581>	<http://example.com/n4l/temperature_range>	45	70		Cel
<http://example.com/n4l/nm.1063>	<http://example.com/n4l/temperature_optimum>			37	Cel
<http://example.com/n4l/nm.1063>	<http://example.com/n4l/temperature_optimum>			37	Cel
<http://example.com/n4l/nm.1063>	<http://example.com/n4l/temperature_optimum>			37	Cel
<http://example.com/n4l/nm.10631>	<http://example.com/n4l/temperature_optimum>			37	Cel
<http://example.com/n4l/nm.10631>	<http://example.com/n4l/temperature_optimum>			37	Cel
<http://example.com/n4l/nm.10631>	<http://example.com/n4l/temperature_optimum>			37	Cel
<http://example.com/n4l/nm.10631>	<http://example.com/n4l/temperature_range>	10	35		Cel
<http://example.com/n4l/nm.10631>	<http://example.com/n4l/temperature_range>	10	35		Cel
<http://example.com/n4l/nm.10631>	<http://example.com/n4l/temperature_range>	10	35		Cel
<http://example.com/n4l/nm.10696>	<http://example.com/n4l/temperature_optimum>	25	35		Cel
