# curie_map:
#   MICRO: http://purl.obolibrary.org/obo/MICRO_
#   obo: http://w3id.org/sssom/unknown_prefix/obo/
#   oio: http://www.geneontology.org/formats/oboInOwl#
#   owl: http://www.w3.org/2002/07/owl#
#   rdf: http://www.w3.org/1999/02/22-rdf-syntax-ns#
#   rdfs: http://www.w3.org/2000/01/rdf-schema#
#   semapv: https://w3id.org/semapv/vocab/
#   skos: http://www.w3.org/2004/02/skos/core#
#   sssom: https://w3id.org/sssom/
# license: https://w3id.org/sssom/license/unspecified
# mapping_set_id: https://w3id.org/sssom/mappings/25dac066-3ea6-40ff-a471-3b5d86822271
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	mapping_tool	confidence	subject_match_field	object_match_field	match_string
obo:METPO_0000030	'Halophile'	skos:closeMatch	MICRO:0001314	halophilic	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	halophilic
obo:METPO_0000039	'Neutrophile'	skos:closeMatch	MICRO:0001546	neutrophilic	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	neutrophilic
obo:METPO_0000041	'Acid Tolerant'	skos:closeMatch	MICRO:0001547	alkaliphilic	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	alkaliphilic
obo:METPO_0000046	'Aerobe'	skos:closeMatch	MICRO:0001516	obligate aerobe	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	strict aerobe
obo:METPO_0000046	'Aerobe'	skos:closeMatch	MICRO:0001516	obligate aerobe	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	obligate aerobe
obo:METPO_0000047	'Anaerobe'	skos:closeMatch	MICRO:0001519	obligate anaerobe	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	obligate anaerobe
obo:METPO_0000047	'Anaerobe'	skos:closeMatch	MICRO:0001519	obligate anaerobe	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	strict anaerobe
obo:METPO_0000047	'Anaerobe'	skos:closeMatch	MICRO:0001519	obligate anaerobe	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	obligate anaerobe
obo:METPO_0000049	'Facultative aerobe'	skos:closeMatch	MICRO:0000503	facultatively anaerobic	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	facultative anaerobe
obo:METPO_0000049	'Facultative aerobe'	skos:closeMatch	MICRO:0001520	facultative anaerobe	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	facultative anaerobe
obo:METPO_0000050	'Microaerophile'	skos:closeMatch	MICRO:0001515	microaerobe	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	microaerobe
obo:METPO_0000054	'Obligate aerobe'	skos:closeMatch	MICRO:0001514	aerobe	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	aerobe
obo:METPO_0000054	'Obligate aerobe'	skos:closeMatch	MICRO:0001516	obligate aerobe	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	strict aerobe
obo:METPO_0000055	'Obligate anaerobe'	skos:closeMatch	MICRO:0001517	anaerobe	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	anaerobe
obo:METPO_0000055	'Obligate anaerobe'	skos:closeMatch	MICRO:0001519	obligate anaerobe	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	oio:hasRelatedSynonym	strict anaerobe
obo:METPO_0000058	'Autotroph'	skos:closeMatch	MICRO:0001456	autotrophic	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	autotrophic
obo:METPO_0000061	'Heterotroph'	skos:closeMatch	MICRO:0001474	heterotrophic	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	heterotrophic
obo:METPO_0000064	'Lithotroph'	skos:closeMatch	MICRO:0001459	lithotrophic	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	lithotrophic
obo:METPO_0000066	'Phototroph'	skos:closeMatch	MICRO:0001457	phototrophic	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	phototrophic
obo:METPO_0000067	'Chemotroph'	skos:closeMatch	MICRO:0001458	chemotrophic	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	chemotrophic
obo:METPO_0000071	'Mixotroph'	skos:closeMatch	MICRO:0001475	mixotrophic	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	mixotrophic
obo:METPO_0000073	'Chemoorganoheterotroph'	skos:closeMatch	MICRO:0001481	chemoorganoheterotrophic	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	chemoorganoheterotrophic
obo:METPO_0000074	'Chemolithoautotroph'	skos:closeMatch	MICRO:0001477	chemolithoautotrophic	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	chemolithoautotrophic
obo:METPO_0000126	'Piezophile'	skos:closeMatch	MICRO:0000485	barophilic	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	barophilic
obo:METPO_0000126	'Piezophile'	skos:closeMatch	MICRO:0001359	barophile	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	barophile
obo:METPO_0000163	'Temperature Optimum very low'	skos:closeMatch	MICRO:0001449	psychrophile	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	psychrophile
obo:METPO_0000164	'Temperature Optimum low'	skos:closeMatch	MICRO:0001310	psychrotolerant	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	psychrotolerant
obo:METPO_0000164	'Temperature Optimum low'	skos:closeMatch	MICRO:0001449	psychrophile	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	psychrophile
obo:METPO_0000169	'Temperature Optimum high'	skos:closeMatch	MICRO:0001537	thermophile	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	thermophile
obo:METPO_0000170	'Temperature Range very low'	skos:closeMatch	MICRO:0001449	psychrophile	semapv:LexicalMatching	oaklib	0.5	oio:hasExactSynonym	rdfs:label	psychrophile
