original_predicate,normalized_predicate
http://example.com/n4l/per_volume_units,http://example.com/n4l/per_volume_units
http://example.com/n4l/preparation,http://example.com/n4l/preparation
http://example.com/n4l/per_volume_amount,http://example.com/n4l/per_volume_amount
http://example.com/n4l/chemical_taxon.rank,http://example.com/n4l/chemical_taxon_rank
http://example.com/n4l/reference,http://example.com/n4l/reference
http://example.com/n4l/available,http://example.com/n4l/available
http://example.com/n4l/uri,http://example.com/n4l/uri
http://example.com/n4l/markup,http://example.com/n4l/markup
http://example.com/n4l/abbreviation,http://example.com/n4l/abbreviation
http://example.com/n4l/description,http://example.com/n4l/description
http://example.com/n4l/sortOrder,http://example.com/n4l/sort_order
http://example.com/n4l/n4lid,http://example.com/n4l/n4l_id
http://example.com/n4l/filename,http://example.com/n4l/filename
http://example.com/n4l/refid,http://example.com/n4l/refid
http://example.com/n4l/substance_name.name,http://example.com/n4l/substance_name_name
http://example.com/n4l/substance_name.taxon,http://example.com/n4l/substance_name_taxon
http://example.com/n4l/id,http://example.com/n4l/id
http://example.com/n4l/url,http://example.com/n4l/url
http://example.com/n4l/note,http://example.com/n4l/note
http://example.com/n4l/substance_taxonomy.parent,http://example.com/n4l/substance_taxonomy_parent
http://example.com/n4l/substance_taxonomy.child,http://example.com/n4l/substance_taxonomy_child
http://example.com/n4l/substance_taxon.rank,http://example.com/n4l/substance_taxon_rank
http://example.com/n4l/NCBI_TaxID,http://example.com/n4l/ncbi_tax_id
http://example.com/n4l/Name,http://example.com/n4l/name
http://example.com/n4l/Rank,http://example.com/n4l/rank
http://example.com/n4l/year,http://example.com/n4l/year
http://example.com/n4l/pubmedid,http://example.com/n4l/pubmedid
http://example.com/n4l/doi,http://example.com/n4l/doi
http://example.com/n4l/pubmedcentralid,http://example.com/n4l/pubmedcentralid
http://example.com/n4l/Valid_Date,http://example.com/n4l/valid_date
http://example.com/n4l/Effective_Date,http://example.com/n4l/effective_date
http://example.com/n4l/class_taxon,http://example.com/n4l/class_taxon
http://example.com/n4l/root_taxon,http://example.com/n4l/root_taxon
http://example.com/n4l/order_taxon,http://example.com/n4l/order_taxon
http://example.com/n4l/Taxon_N4LID,http://example.com/n4l/n4l_taxon_id
http://example.com/n4l/type_exemplars,http://example.com/n4l/type_exemplars
http://example.com/n4l/index,http://example.com/n4l/index
http://example.com/n4l/subspecies_taxon,http://example.com/n4l/subspecies_taxon
http://example.com/n4l/domain,http://example.com/n4l/domain
http://example.com/n4l/Nomenclatural_Type_Exemplar,http://example.com/n4l/nomenclatural_type_exemplar
http://example.com/n4l/phylum_taxon,http://example.com/n4l/phylum_taxon
http://example.com/n4l/Authority,http://example.com/n4l/authority
http://example.com/n4l/genus_taxon,http://example.com/n4l/genus_taxon
http://example.com/n4l/suborder,http://example.com/n4l/suborder
http://example.com/n4l/Exemplar_N4LID,http://example.com/n4l/n4l_exemplar_id
http://example.com/n4l/strains,http://example.com/n4l/strains
http://example.com/n4l/class,http://example.com/n4l/class
http://example.com/n4l/illegitimate,http://example.com/n4l/illegitimate
http://example.com/n4l/validation,http://example.com/n4l/validation
http://example.com/n4l/order,http://example.com/n4l/order
