ID	LABEL	TYPE	bacdive key	notes	bacdive count	subproperty of	DOMAIN	RANGE
ID	LABEL	TYPE				SP %	DOMAIN	RANGE
http://example.com/1	organism	owl:Class						
http://example.com/2	chemical	owl:Class						
http://example.com/10	assimilates	owl:ObjectProperty	assimilation		66265	http://example.com/3	http://example.com/1	http://example.com/2
http://example.com/11	builds acid from	owl:ObjectProperty	builds acid from		205695	http://example.com/3		
http://example.com/12	builds base from	owl:ObjectProperty	builds base from		74	http://example.com/3		
http://example.com/13	builds gas from	owl:ObjectProperty	builds gas from		407	http://example.com/3		
http://example.com/14	uses as carbon source	owl:ObjectProperty	carbon source		71507	http://example.com/3		
http://example.com/15	degrades	owl:ObjectProperty	degradation		13255	http://example.com/3		
http://example.com/16	uses as electron acceptor	owl:ObjectProperty	electron acceptor		582	http://example.com/3		
http://example.com/17	uses as electron donor	owl:ObjectProperty	electron donor		741	http://example.com/3		
http://example.com/18	uses as energy source	owl:ObjectProperty	energy source		14524	http://example.com/3		
http://example.com/19	ferments	owl:ObjectProperty	fermentation		58780	http://example.com/3		
http://example.com/20	uses for growth	owl:ObjectProperty	growth		9148	http://example.com/3		
http://example.com/21	hydrolyzes	owl:ObjectProperty	hydrolysis		69121	http://example.com/3		
http://example.com/22	uses as nitrogen source	owl:ObjectProperty	nitrogen source		2747	http://example.com/3		
http://example.com/23	uses in other way	owl:ObjectProperty	other		176	http://example.com/3		
http://example.com/24	oxidizes	owl:ObjectProperty	oxidation		5290	http://example.com/3		
http://example.com/25	reduces	owl:ObjectProperty	reduction		13758	http://example.com/3		
http://example.com/26	requires for growth	owl:ObjectProperty	required for growth		159	http://example.com/3		
http://example.com/27	uses for respiration	owl:ObjectProperty	respiration		8438	http://example.com/3		
http://example.com/28	uses as sulfur source	owl:ObjectProperty	sulfur source		7	http://example.com/3		
http://example.com/29	does not use for aerobic catabolization	owl:ObjectProperty	aerobic catabolization			http://example.com/3		
http://example.com/3	organism interacts with chemical	owl:ObjectProperty		bacdive keys should have positive and negative variants				
http://example.com/30	does not use for aerobic growth	owl:ObjectProperty	aerobic growth			http://example.com/3		
http://example.com/31	does not use for anaerobic catabolization	owl:ObjectProperty	anaerobic catabolization			http://example.com/3		
http://example.com/32	does not use for anaerobic growth	owl:ObjectProperty	anaerobic growth			http://example.com/3		
http://example.com/33	does not use for anaerobic growth in the dark	owl:ObjectProperty	anaerobic growth in the dark			http://example.com/3		
http://example.com/34	does not use for anaerobic growth with light	owl:ObjectProperty	anaerobic growth with light			http://example.com/3		
http://example.com/35	does not assimilate	owl:ObjectProperty	assimilation			http://example.com/3		
http://example.com/36	does not build acid from	owl:ObjectProperty	builds acid from			http://example.com/3		
http://example.com/37	does not build base from	owl:ObjectProperty	builds base from			http://example.com/3		
http://example.com/38	does not build gas from	owl:ObjectProperty	builds gas from			http://example.com/3		
http://example.com/39	does not use as carbon source	owl:ObjectProperty	carbon source			http://example.com/3		
http://example.com/4	uses for aerobic catabolization	owl:ObjectProperty	aerobic catabolization		49	http://example.com/3		
http://example.com/40	does not degrade	owl:ObjectProperty	degradation			http://example.com/3		
http://example.com/41	does not use as electron acceptor	owl:ObjectProperty	electron acceptor			http://example.com/3		
http://example.com/42	does not use as electron donor	owl:ObjectProperty	electron donor			http://example.com/3		
http://example.com/43	does not use as energy source	owl:ObjectProperty	energy source			http://example.com/3		
http://example.com/44	does not ferment	owl:ObjectProperty	fermentation			http://example.com/3		
http://example.com/45	does not use for growth	owl:ObjectProperty	growth			http://example.com/3		
http://example.com/46	does not hydrolyze	owl:ObjectProperty	hydrolysis			http://example.com/3		
http://example.com/47	does not use as nitrogen source	owl:ObjectProperty	nitrogen source			http://example.com/3		
http://example.com/48	does not use in other way	owl:ObjectProperty	other			http://example.com/3		
http://example.com/49	does not oxidize	owl:ObjectProperty	oxidation			http://example.com/3		
http://example.com/5	uses for aerobic growth	owl:ObjectProperty	aerobic growth		278	http://example.com/3		
http://example.com/50	does not reduce	owl:ObjectProperty	reduction			http://example.com/3		
http://example.com/51	is not required for growth	owl:ObjectProperty	required for growth			http://example.com/3		
http://example.com/52	does not use for respiration	owl:ObjectProperty	respiration			http://example.com/3		
http://example.com/53	does not use as sulfur source	owl:ObjectProperty	sulfur source			http://example.com/3		
http://example.com/6	uses for anaerobic catabolization	owl:ObjectProperty	anaerobic catabolization		18	http://example.com/3		
http://example.com/7	uses for anaerobic growth	owl:ObjectProperty	anaerobic growth		233	http://example.com/3		
http://example.com/8	uses for anaerobic growth in the dark	owl:ObjectProperty	anaerobic growth in the dark		19	http://example.com/3		
http://example.com/9	uses for anaerobic growth with light	owl:ObjectProperty	anaerobic growth with light		36	http://example.com/3		
