file	column	curie_percentage	curie_count	non_null_count	total_rows
edges.tsv	predicate	100.00	1656667	1656667	1656667
edges.tsv	relation	100.00	1633852	1633852	1656667
nodes.tsv	category	100.00	196168	196168	196168
edges.tsv	object	99.99	1656558	1656667	1656667
nodes.tsv	id	99.95	196068	196168	196168
edges.tsv	subject	92.49	1532282	1656667	1656667
edges.tsv	primary_knowledge_source	89.76	1487035	1656667	1656667
nodes.tsv	description	0.00	0	0	196168
nodes.tsv	iri	0.00	0	0	196168
nodes.tsv	name	0.00	0	196167	196168
nodes.tsv	object	0.00	0	0	196168
nodes.tsv	predicate	0.00	0	0	196168
nodes.tsv	provided_by	0.00	0	0	196168
nodes.tsv	relation	0.00	0	0	196168
nodes.tsv	same_as	0.00	0	0	196168
nodes.tsv	subject	0.00	0	0	196168
nodes.tsv	subsets	0.00	0	0	196168
nodes.tsv	synonym	0.00	0	0	196168
nodes.tsv	xref	0.00	0	0	196168
