prefix	standard	likely_iri	notes
biolink	yes	https://w3id.org/biolink/vocab/	Biolink Model vocabulary
RO	yes	http://purl.obolibrary.org/obo/RO_	Relation Ontology
NCBITaxon	yes	http://purl.obolibrary.org/obo/NCBITaxon_	NCBI Taxonomy
CHEBI	yes	http://purl.obolibrary.org/obo/CHEBI_	Chemical Entities of Biological Interest
EC	yes	https://identifiers.org/ec-code/	Enzyme Commission
KEGG	yes	https://identifiers.org/kegg/	KEGG Database
CAS-RN	yes	http://identifiers.org/cas/	Chemical Abstracts Service
BAO	yes	http://www.bioassayontology.org/bao#BAO_	BioAssay Ontology
NCIT	yes	http://purl.obolibrary.org/obo/NCIT_	NCI Thesaurus
rdfs	yes	http://www.w3.org/2000/01/rdf-schema#	RDF Schema
METPO	verify	http://purl.obolibrary.org/obo/METPO_	Microbial trait ontology - should be standard
strain	no	http://w3id.org/kg-microbe/strain/	Local strain identifiers - NEEDS MAPPING
medium	no	http://w3id.org/kg-microbe/medium/	Growth media - NEEDS MAPPING
assay	no	http://w3id.org/kg-microbe/assay/	Assay methods - NEEDS MAPPING
isolation_source	no	http://w3id.org/kg-microbe/isolation_source/	Isolation sources - NEEDS MAPPING
pathways	no	http://w3id.org/kg-microbe/pathways/	Biological pathways - NEEDS MAPPING
pathogen	no	http://w3id.org/kg-microbe/pathogen/	Pathogen types - NEEDS MAPPING
salinity	no	http://w3id.org/kg-microbe/salinity/	Salinity measures - NEEDS MAPPING
bacdive	no	https://bacdive.dsmz.de/	BacDive identifiers - NEEDS MAPPING
