column	prefix	count
category	biolink	1
id	CAS-RN	1
id	CHEBI	1
id	EC	1
id	KEGG	1
id	METPO	1
id	NCBITaxon	1
id	assay	1
id	isolation_source	1
id	medium	1
id	pathogen	1
id	pathways	1
id	salinity	1
id	strain	1
object	CAS-RN	1
object	CHEBI	1
object	EC	1
object	METPO	1
object	NCBITaxon	1
object	assay	1
object	medium	1
object	pathogen	1
object	pathways	1
object	salinity	1
object	strain	1
predicate	biolink	1
primary_knowledge_source	bacdive	1
relation	BAO	1
relation	NCIT	1
relation	RO	1
relation	rdfs	1
subject	CAS-RN	1
subject	CHEBI	1
subject	EC	1
subject	KEGG	1
subject	NCBITaxon	1
subject	assay	1
subject	isolation_source	1
subject	strain	1
