ID	label	TYPE	parent class	TYPE	description	definition source	comment	biolink equivalent	confirmed exact synonym	literature mining synonyms	madin synonym or field	synonym source	bacdive keyword synonym	synonym source	bactotraits synonym	synonym source
ID	LABEL	TYPE	SC %	TYPE	A IAO:0000115	>A IAO:0000119	A rdfs:comment	AI skos:closeMatch	A oboInOwl:hasExactSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	>AI IAO:0000119 SPLIT=|	A oboInOwl:hasRelatedSynonym SPLIT=|	>AI IAO:0000119	A oboInOwl:hasRelatedSynonym SPLIT=|	>AI IAO:0000119
METPO:1000511	pH adaptation	owl:Class	phenotype	owl:Class	A combination of cellular processes that permits survival and growth under specific hydrogen ion concentrations.											
METPO:1000232	pH delta	owl:Class	phenotype	owl:Class	A measure of the breadth of hydrogen ion concentrations that a microorganism can tolerate, calculated as the difference between the maximum and minimum viable pH values											
METPO:1000478	pH delta high	owl:Class	pH delta	owl:Class	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a wide range between 5 and 9 pH units. Values ranging from 5 to 9 pH.										pHd_5_9	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000474	pH delta low	owl:Class	pH delta	owl:Class	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a range between 1 and 2 pH units. Values ranging from 1 to 2 pH.										pHd_1_2	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000475	pH delta mid1	owl:Class	pH delta	owl:Class	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a range between 2 and 3 pH units. Values ranging from 2 to 3 pH.										pHd_2_3	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000476	pH delta mid2	owl:Class	pH delta	owl:Class	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a range between 3 and 4 pH units. Values ranging from 3 to 4 pH.										pHd_3_4	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000477	pH delta mid3	owl:Class	pH delta	owl:Class	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a range between 4 and 5 pH units. Values ranging from 4 to 5 pH.										pHd_4_5	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000473	pH delta very low	owl:Class	pH delta	owl:Class	A growth tolerance metric measuring the span of pH conditions that support an organism's growth, with a narrow range less than 1 pH unit. Values with maximum value of 1 pH.										pHd_<1	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
METPO:1000233	pH optimum (growth range)	owl:Class	phenotype	owl:Class	The specific pH at which an organism exhibits maximum growth rate											
METPO:1000331	pH optimum (metabolic efficiency)	owl:Class	phenotype	owl:Class	The specific hydrogen ion concentration at which a microorganism achieves its maximum growth rate and metabolic efficiency.											
METPO:1000458	pH optimum high	owl:Class	pH optimum (metabolic efficiency)	owl:Class	A pH optimum manifested as maximum microbial growth at hydrogen ion concentrations between pH 8 and 14, characteristic of alkaliphilic or extremely alkaliphilic organisms. Values ranging from 8 to 14 pH.				Alkaliphile|Alkali Tolerant|Extreme Alkaliphile						pHO_8_to_14	https://ordar.otelo.univ-lorraine.fr/files/ORDAR-53/BactoTraits_databaseV2_Jun2022.csv
