card_id	name	type	ontology_curies	ontology_urls	description
acidophilic	acidophilic	binary	OMP:0005009	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0005009	A population growth phenotype that applies to microorganisms whose optimal growth occurs between pH 0 and 5.5.
aerotolerant	aerotolerant	boolean	MICRO:0000502	https://www.ebi.ac.uk/ols/ontologies/micro/terms?obo_id=MICRO%3A0000502	A prokaryotic metabolic quality where the organism grows in the absence of oxygen. Can grow or live in the presence of oxygen.
biosafety-level	biosafety level	factor	NCIT:C164457	https://www.ebi.ac.uk/ols/ontologies/ncit/terms?obo_id=NCIT%3AC164457	A coded value specifying an assessment of the potential risk associated with the handling of the biospecimen.
cell-color-yellow-pigment	cell color: yellow pigment	boolean	OMP:0000116	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000116	A colony pigmentation phenotype where colonies are pigmented.
cell-color	cell color	factor	OMP:0000116	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000116	A colony pigmentation phenotype where colonies are pigmented.
cell-length	cell length	µm	OMP:0000322	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000322	cell length phenotype
cell-length-maximum	cell length maximum	µm	OMP:0000322	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000322	cell length phenotype
cell-length-minimum	cell length minimum	µm	OMP:0000322	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000322	cell length phenotype
cell-shape	cell shape	factor	OMP:0000073	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000073	A cell morphology phenotype where the trait in question is the shape of a cell.
cell-width	cell width	µm	OMP:0000317	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000317	cell diameter phenotype
cell-width-maximum	cell width maximum	µm	OMP:0000317	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000317	cell diameter phenotype
cell-width-minimum	cell width minimum	µm	OMP:0000317	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000317	cell diameter phenotype
coding-density	coding density	%	SIO:001276; mesh:D059646; SNOMED:258755000	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000317; https://www.ebi.ac.uk/ols/ontologies/mesh/terms?obo_id=mesh%3AD059646; https://www.ebi.ac.uk/ols/ontologies/snomed/terms?obo_id=SNOMED%3A258755000	a coding sequence is a sequence of nucleotides which encode a RNA or protein product..
enzyme-activity	enzyme activity	boolean	SNOMED:424017009	https://www.ebi.ac.uk/ols/ontologies/snomed/terms?obo_id=SNOMED%3A424017009	Enzyme activity finding
estimated-gene-count	estimated gene count	genes	OBI:0002568; gene; NCIT:C25498	https://www.ebi.ac.uk/ols/ontologies/obi/terms?obo_id=OBI%3A0002568; https://www.ebi.ac.uk/ols4/ontologies/go/properties/http%253A%252F%252Fwww.geneontology.org%252Fformats%252FoboInOwl%2523gene; https://www.ebi.ac.uk/ols/ontologies/ncit/terms?obo_id=NCIT%3AC25498	The counting of features (typically, genes) within aligned sequence data, and organization of these counts into one or more tables.
estimated-genome-size	estimated genome size	bp	GENEPIO:0001561	https://www.ebi.ac.uk/ols/ontologies/genepio/terms?obo_id=GENEPIO%3A0001561	The assembly genome size is the sum of all lengths of a sequence assembly&#39;s contigs.
flagellum-arrangement	flagellum arrangement	factor	OMP:0000078	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000078	A flagellum phenotype where the trait in question is the location of the flagellum on an organism.
gc-percentage	GC percentage	%	mesh:D001482	https://www.ebi.ac.uk/ols/ontologies/mesh/terms?obo_id=mesh%3AD001482	The relative amounts of the PURINES and PYRIMIDINES in a nucleic acid.
gene-count	gene count	genes	OBI:0002568; gene	https://www.ebi.ac.uk/ols/ontologies/obi/terms?obo_id=OBI%3A0002568; https://www.ebi.ac.uk/ols4/ontologies/go/properties/http%253A%252F%252Fwww.geneontology.org%252Fformats%252FoboInOwl%2523gene	The counting of features (typically, genes) within aligned sequence data, and organization of these counts into one or more tables.
genome-size	genome size	bp	GENEPIO:0001561	https://www.ebi.ac.uk/ols/ontologies/genepio/terms?obo_id=GENEPIO%3A0001561	The assembly genome size is the sum of all lengths of a sequence assembly&#39;s contigs.
gram-negative	gram negative	boolean	OMP:0000189	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000189	A gram stain phenotype where a cell or cells do not retain crystal violet stain when decolorized with an organic solvent such as ethanol.
gram-positive	gram positive	boolean	OMP:0000188	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000188	A gram stain phenotype where a cell or cells retain crystal violet stain when decolorized with an organic solvent such as ethanol.
indole-test	indole test	boolean	MICRO:0000430	https://www.ebi.ac.uk/ols/ontologies/micro/terms?obo_id=MICRO%3A0000430	Metabolic test for tryptophanase [L-tryptophan indole-lyase (deaminating)] activity. Measures the formation of indole from tryptophan using the enzyme Tryptophanase. Indole is detected by the addition of Kovac&#39;s reagent (isoamy alchohol, para-dimethylaminobenzaldehyde, and concentrated HCl). Indole forms a complex with para-dimethylaminobenzaldehyde, resulting a red color. A negative result is yellow. In some API tests, James&#39; reagent (a proprietary mixture of HCl, water, and 2-methoxy-4-dimethylamino benzaldehyde) is used instead of Kovac&#39;s reagent, as it has a longer shelf life. Tryptophanase catalyzes the following reaction: Tryptophan + H2O &lt;=&gt; indole + pyruvate + ammonia
methyl-red-test	methyl red test	boolean	SNOMED:5894006	https://www.ebi.ac.uk/ols/ontologies/snomed/terms?obo_id=SNOMED%3A5894006	Methyl red test (procedure)
facultative-anaerobe	facultative anaerobe	boolean	OMP:0000087	https://www.ebi.ac.uk/ols/ontologies/omp/terms?obo_id=OMP%3A0000087	A microbial phenotype that describes a microorganism that does not require oxygen gas (O2) for growth but will utilize O2 in metabolic reactions when it is present.
