external_curie	prefix	ontology_name	native_label	has_metpo_mapping	metpo_id	metpo_label	kgx_role	example_cards	llm_metpo_id	llm_metpo_label	llm_match_type	llm_notes
EC1.1.1.1	EC	Enzyme Commission	alcohol dehydrogenase	no			object	enzyme activity: alcohol dehydrogenase (EC1.1.1.1)			not_needed	EC numbers serve directly as objects in KGX edges
EC1.1.1.244	EC	Enzyme Commission	methanol dehydrogenase	no			object	enzyme activity: methanol dehydrogenase (EC1.1.1.244)			not_needed	EC numbers serve directly as objects in KGX edges
EC1.11.1.6	EC	Enzyme Commission	catalase	no			object	enzyme activity: catalase (EC1.11.1.6)			not_needed	EC numbers serve directly as objects in KGX edges
EC1.12.99.6	EC	Enzyme Commission	hydrogenase	no			object	enzyme activity: hydrogenase (EC1.12.99.6)			not_needed	EC numbers serve directly as objects in KGX edges
EC1.14.14.9	EC	Enzyme Commission	carbohydrates	no			object	enzyme activity: carbohydrates (EC1.14.14.9)			not_needed	EC numbers serve directly as objects in KGX edges
EC1.18.6.1	EC	Enzyme Commission	nitrogenase	no			object	enzyme activity: nitrogenase (EC1.18.6.1)			not_needed	EC numbers serve directly as objects in KGX edges
EC1.2.4.2	EC	Enzyme Commission	oxoglutarate dehydrogenase	no			object	enzyme activity: oxoglutarate dehydrogenase (EC1.2.4.2)			not_needed	EC numbers serve directly as objects in KGX edges
EC1.4.1.4	EC	Enzyme Commission	glutamate dehydrogenase	no			object	enzyme activity: glutamate dehydrogenase (EC1.4.1.4)			not_needed	EC numbers serve directly as objects in KGX edges
EC1.7.1.4	EC	Enzyme Commission	nitrite reductase	no			object	enzyme activity: nitrite reductase (EC1.7.1.4)			not_needed	EC numbers serve directly as objects in KGX edges
EC1.7.99.4	EC	Enzyme Commission	nitrate reductase	no			object	enzyme activity: nitrate reductase (EC1.7.99.4)			not_needed	EC numbers serve directly as objects in KGX edges
EC1.9.3.1	EC	Enzyme Commission	cytochrome oxidase	no			object	enzyme activity: cytochrome oxidase (EC1.9.3.1); enzyme activity: cytochrome-c oxidase (EC1.9.3.1)			not_needed	EC numbers serve directly as objects in KGX edges
