card_id	trait_name	mapping_kind	base_category	substrate_label	predicate_positive_id	predicate_positive_label	predicate_negative_id	predicate_negative_label	substrate_chebi_ids	process_curies	matched_process_metpo	status	trait_format	curie_count	usable_external_curies
acidophilic	acidophilic	base								OMP:0005009	METPO:1003002|alkaphilic; METPO:1003003|acidophilic; METPO:1003005|facultatively alkaphilic; METPO:1003007|facultatively acidophilic; METPO:1003009|alkalotolerant	resolved	uncomposed_boolean	1	
aerotolerant	aerotolerant	base								MICRO:0000502	METPO:1000609|aerotolerant	resolved	uncomposed_boolean	1	
biosafety-level	biosafety level	base								NCIT:C164457	METPO:1001101|biosafety level; METPO:1001101|biosafety level	resolved	uncomposed_factor	1	
cell-color-yellow-pigment	cell color: yellow pigment	composed	cell color	yellow pigment						OMP:0000116	METPO:1003030|yellow pigmented	resolved_with_notes	composed_boolean	1	
cell-color	cell color	base								OMP:0000116	METPO:1003021|pigmentation	resolved	uncomposed_factor	1	
cell-length	cell length	base								OMP:0000322	METPO:2000721|has cell length value	resolved	uncomposed_numeric	1	
cell-length-maximum	cell length maximum	base								OMP:0000322	METPO:2000724|has maximum cell length value	resolved	uncomposed_numeric	1	
cell-length-minimum	cell length minimum	base								OMP:0000322	METPO:2000723|has minimum cell length value	resolved	uncomposed_numeric	1	
cell-shape	cell shape	base								OMP:0000073	METPO:1000666|cell shape	resolved	uncomposed_factor	1	
cell-width	cell width	base								OMP:0000317	METPO:2000722|has cell width value	resolved	uncomposed_numeric	1	
cell-width-maximum	cell width maximum	base								OMP:0000317	METPO:2000726|has maximum cell width value	resolved	uncomposed_numeric	1	
cell-width-minimum	cell width minimum	base								OMP:0000317	METPO:2000725|has minimum cell width value	resolved	uncomposed_numeric	1	
coding-density	coding density	base								SIO:001276; SNOMED:258755000; mesh:D059646	METPO:2000716|has coding density value	resolved	uncomposed_numeric	3	
enzyme-activity	enzyme activity	base								SNOMED:424017009		missing_process_term	uncomposed_boolean	1	
estimated-gene-count	estimated gene count	base								NCIT:C25498; OBI:0002568; gene	METPO:2000714|has estimated gene count value	resolved	uncomposed_numeric	3	
estimated-genome-size	estimated genome size	base								GENEPIO:0001561	METPO:2000712|has estimated genome size value	resolved	uncomposed_numeric	1	
flagellum-arrangement	flagellum arrangement	base								OMP:0000078	METPO:1005031|peritrichous flagellation	resolved	uncomposed_factor	1	
gc-percentage	GC percentage	base								mesh:D001482	METPO:2000715|has GC percentage value	resolved	uncomposed_numeric	1	
gene-count	gene count	base								OBI:0002568; gene	METPO:2000713|has gene count value	resolved	uncomposed_numeric	2	
genome-size	genome size	base								GENEPIO:0001561	METPO:2000711|has genome size value	resolved	uncomposed_numeric	1	
gram-negative	gram negative	base								OMP:0000189	METPO:1000699|gram negative; METPO:1000699|gram negative	resolved	uncomposed_boolean	1	
gram-positive	gram positive	base								OMP:0000188	METPO:1000698|gram positive	resolved	uncomposed_boolean	1	
indole-test	indole test	base								MICRO:0000430	METPO:1005010|indole test	resolved	uncomposed_boolean	1	
methyl-red-test	methyl red test	base								SNOMED:5894006	METPO:1005013|methyl red test	resolved	uncomposed_boolean	1	
