# KGX edge templates for MetaTraits composed traits
# Subject is left blank — fill with strain/genome CURIE per source database
# Generated: 2026-02-12
# Tool: metpo/scripts/curie_join_metatraits.py v0.2.0
# Pattern: <subject> --[predicate_id]--> <object_id>
#   e.g.: NCBITaxon:562 --[METPO:2000011 ferments]--> CHEBI:17234 (glucose)
# Use negative_predicate_id for negative assay results
#   e.g.: NCBITaxon:562 --[METPO:2000037 does not ferment]--> CHEBI:17057 (cellobiose)
#
metatraits_card_id	metatraits_trait	predicate_id	predicate_label	object_id	object_label	negative_predicate_id	negative_predicate_label	knowledge_level	agent_type	primary_knowledge_source
aerobic-catabolization-quinic-acid	aerobic catabolization: (-)-quinic acid	METPO:2000032	uses for aerobic catabolization	CHEBI:17521	(-)-quinic acid	METPO:2000021	does not use for aerobic catabolization	knowledge_assertion	manual_agent	infores:metatraits
aerobic-catabolization-2-oxoglutarate	aerobic catabolization: 2-oxoglutarate	METPO:2000032	uses for aerobic catabolization	CHEBI:30916	2-oxoglutarate	METPO:2000021	does not use for aerobic catabolization	knowledge_assertion	manual_agent	infores:metatraits
aerobic-catabolization-4-hydroxybutyrate	aerobic catabolization: 4-hydroxybutyrate	METPO:2000032	uses for aerobic catabolization	CHEBI:16724	4-hydroxybutyrate	METPO:2000021	does not use for aerobic catabolization	knowledge_assertion	manual_agent	infores:metatraits
aerobic-catabolization-acetate	aerobic catabolization: acetate	METPO:2000032	uses for aerobic catabolization	CHEBI:30089	acetate	METPO:2000021	does not use for aerobic catabolization	knowledge_assertion	manual_agent	infores:metatraits
aerobic-catabolization-alpha-d-glucose	aerobic catabolization: alpha-D-glucose	METPO:2000032	uses for aerobic catabolization	CHEBI:17925	alpha-D-glucose	METPO:2000021	does not use for aerobic catabolization	knowledge_assertion	manual_agent	infores:metatraits
aerobic-catabolization-cellobiose	aerobic catabolization: cellobiose	METPO:2000032	uses for aerobic catabolization	CHEBI:17057	cellobiose	METPO:2000021	does not use for aerobic catabolization	knowledge_assertion	manual_agent	infores:metatraits
aerobic-catabolization-cis-aconitate	aerobic catabolization: cis-aconitate	METPO:2000032	uses for aerobic catabolization	CHEBI:16383	cis-aconitate	METPO:2000021	does not use for aerobic catabolization	knowledge_assertion	manual_agent	infores:metatraits
aerobic-catabolization-d-fructose	aerobic catabolization: D-fructose	METPO:2000032	uses for aerobic catabolization	CHEBI:15824	D-fructose	METPO:2000021	does not use for aerobic catabolization	knowledge_assertion	manual_agent	infores:metatraits
aerobic-catabolization-d-galactose	aerobic catabolization: D-galactose	METPO:2000032	uses for aerobic catabolization	CHEBI:12936	D-galactose	METPO:2000021	does not use for aerobic catabolization	knowledge_assertion	manual_agent	infores:metatraits
aerobic-catabolization-dihydrogen	aerobic catabolization: dihydrogen	METPO:2000032	uses for aerobic catabolization	CHEBI:18276	dihydrogen	METPO:2000021	does not use for aerobic catabolization	knowledge_assertion	manual_agent	infores:metatraits
