# curie_map:
#   METPO: https://w3id.org/metpo/
#   metatraits: https://metatraits.embl.de/traits#
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: metatraits-metpo-curie-join-2026-02-12
# mapping_date: 2026-02-12
# mapping_tool: metpo/scripts/curie_join_metatraits.py
# mapping_tool_version: 0.2.0
# mapping_provider: https://github.com/berkeleybop/metpo
# license: https://creativecommons.org/publicdomain/zero/1.0/
# comment: CURIE-based join (no fuzzy matching). Composed traits use two-part model: process (METPO) + substrate (CHEBI).
#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	subject_source	object_source	comment
metatraits:acidophilic	acidophilic	skos:closeMatch	METPO:1003002	alkaphilic	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: OMP:0005009
metatraits:acidophilic	acidophilic	skos:closeMatch	METPO:1003003	acidophilic	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: OMP:0005009
metatraits:acidophilic	acidophilic	skos:closeMatch	METPO:1003005	facultatively alkaphilic	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: OMP:0005009
metatraits:acidophilic	acidophilic	skos:closeMatch	METPO:1003007	facultatively acidophilic	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: OMP:0005009
metatraits:acidophilic	acidophilic	skos:closeMatch	METPO:1003009	alkalotolerant	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: OMP:0005009
metatraits:aerobic-catabolization	aerobic catabolization	skos:closeMatch	METPO:1000800	respiration	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: GO:0009060
metatraits:aerobic-catabolization	aerobic catabolization	skos:closeMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.9	metatraits	METPO	Shared CURIE: GO:0009060
metatraits:aerobic-catabolization-2-oxoglutarate	aerobic catabolization: 2-oxoglutarate	skos:closeMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: 2-oxoglutarate (CHEBI:30916)
metatraits:aerobic-catabolization-2-oxoglutarate	aerobic catabolization: 2-oxoglutarate	skos:closeMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: 2-oxoglutarate (CHEBI:30916)
metatraits:aerobic-catabolization-4-hydroxybutyrate	aerobic catabolization: 4-hydroxybutyrate	skos:closeMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	metatraits	METPO	Process CURIE: GO:0009060 | Substrate: 4-hydroxybutyrate (CHEBI:16724)
