# curie_map:
#   METPO: http://purl.obolibrary.org/obo/METPO_
#   metatraits: https://metatraits.embl.de/traits#
#   skos: http://www.w3.org/2004/02/skos/core#
#   semapv: https://w3id.org/semapv/vocab/
# mapping_set_id: metatraits-metpo-2026-02-03
# mapping_date: 2026-02-03
# mapping_tool: metpo/scripts/create_metatraits_mappings.py
# mapping_provider: https://github.com/berkeleybop/metpo
# license: https://creativecommons.org/publicdomain/zero/1.0/
# comment: Mappings between MetaTraits trait cards and METPO terms (from OWL ontology)
#
subject_id	subject_label	predicate_id	object_id	object_label	mapping_justification	confidence	comment
metatraits:acidophilic	acidophilic	skos:exactMatch	METPO:1003003	acidophilic	semapv:LexicalMatching	1.0	Exact normalized label match
metatraits:acidophilic	acidophilic	skos:relatedMatch	METPO:1003002	alkaphilic	semapv:MappingChaining	0.85	Both reference OMP:0005009
metatraits:acidophilic	acidophilic	skos:relatedMatch	METPO:1003005	facultatively alkaphilic	semapv:MappingChaining	0.85	Both reference OMP:0005009
metatraits:acidophilic	acidophilic	skos:relatedMatch	METPO:1003007	facultatively acidophilic	semapv:MappingChaining	0.85	Both reference OMP:0005009
metatraits:acidophilic	acidophilic	skos:relatedMatch	METPO:1003009	alkalotolerant	semapv:MappingChaining	0.85	Both reference OMP:0005009
metatraits:aerobic-catabolization	aerobic catabolization	skos:closeMatch	METPO:2000021	does not use for aerobic catabolization	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:aerobic-catabolization	aerobic catabolization	skos:closeMatch	METPO:2000032	uses for aerobic catabolization	semapv:LexicalMatching	0.95	MetaTraits name matches METPO synonym
metatraits:aerobic-catabolization	aerobic catabolization	skos:relatedMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization	aerobic catabolization	skos:relatedMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-2-oxoglutarate	aerobic catabolization: 2-oxoglutarate	skos:relatedMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-2-oxoglutarate	aerobic catabolization: 2-oxoglutarate	skos:relatedMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-4-hydroxybutyrate	aerobic catabolization: 4-hydroxybutyrate	skos:relatedMatch	METPO:1000800	respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
metatraits:aerobic-catabolization-4-hydroxybutyrate	aerobic catabolization: 4-hydroxybutyrate	skos:relatedMatch	METPO:1000801	Aerobic respiration	semapv:MappingChaining	0.85	Both reference GO:0009060
