substrate_label	card_count	example_cards	metatraits_chebi_id	chebi_label_from_oak	label_match	kgm_chebi_id	kgm_chebi_label	kgm_label_match	kgm_matches_metatraits	audit_status
(+)-D-arabitol	2	assimilation-d-arabitol; builds-acid-from-d-arabitol	CHEBI:18333	D-arabinitol	mismatch			not_found	n/a	mismatch
(+)-D-fucose	1	builds-acid-from-d-fucose	CHEBI:28847	D-fucose	mismatch			not_found	n/a	mismatch
(+)-D-galactose	4	assimilation-d-galactose; builds-acid-from-d-galactose; carbon-source-d-galactose			no_curie			not_found	n/a	no_curie
(+)-D-glucosamine	1	utilizes-d-glucosamine			no_curie			not_found	n/a	no_curie
(+)-D-glucose	2	builds-acid-from-d-glucose; builds-gas-from-d-glucose	CHEBI:17634	D-glucose	mismatch			not_found	n/a	mismatch
(+)-D-glycogen	1	builds-acid-from-d-glycogen			no_curie			not_found	n/a	no_curie
(+)-D-mannose	2	assimilation-d-mannose; utilizes-d-mannose			no_curie			not_found	n/a	no_curie
(+)-D-xylose	2	assimilation-d-xylose; utilizes-d-xylose			no_curie			not_found	n/a	no_curie
(+)-L-aspartate	2	assimilation-l-aspartate; utilizes-l-aspartate			no_curie			not_found	n/a	no_curie
(+)-L-glutamate	1	utilizes-l-glutamate			no_curie			not_found	n/a	no_curie
(+)-L-lyxitol	2	carbon-source-l-lyxitol; utilizes-l-lyxitol	CHEBI:18403	L-arabinitol	mismatch			not_found	n/a	mismatch
(+)-L-ornithine	2	aerobic-growth-l-ornithine; utilizes-l-ornithine	CHEBI:15729	L-ornithine	mismatch			not_found	n/a	mismatch
(+)-L-rhamnose	2	builds-acid-from-l-rhamnose; utilizes-l-rhamnose			no_curie			not_found	n/a	no_curie
(-)-D-fructose	5	assimilation-d-fructose; builds-acid-from-d-fructose; builds-gas-from-d-fructose	CHEBI:48095	keto-D-fructose	mismatch			not_found	n/a	mismatch
(-)-D-glucose	1	builds-acid-from-d-glucose	CHEBI:17634	D-glucose	mismatch			not_found	n/a	mismatch
(-)-D-rhamnose	3	builds-acid-from-d-rhamnose; carbon-source-d-rhamnose; degradation-d-rhamnose			no_curie			not_found	n/a	no_curie
(-)-D-ribose	2	assimilation-d-ribose; builds-acid-from-d-ribose	CHEBI:16988	D-ribose	mismatch			not_found	n/a	mismatch
(-)-D-sorbitol	1	builds-acid-from-d-sorbitol	CHEBI:17924	D-glucitol	mismatch			not_found	n/a	mismatch
(-)-L-sorbose	1	builds-acid-from-l-sorbose	CHEBI:17266	L-sorbose	mismatch			not_found	n/a	mismatch
(-)-L-xylose	1	builds-acid-from-l-xylose	CHEBI:65328	L-xylose	mismatch			not_found	n/a	mismatch
(-)-quinic acid	7	aerobic-catabolization-quinic-acid; assimilation-quinic-acid; carbon-source-quinic-acid	CHEBI:17521	(-)-quinic acid	exact			not_found	n/a	verified
(2)-D-fructose	1	utilizes-2-d-fructose			no_curie			not_found	n/a	no_curie
(2)-D-lactose	3	carbon-source-2-d-lactose; energy-source-2-d-lactose; fermentation-2-d-lactose			no_curie			not_found	n/a	no_curie
(E)-4-Aminostyryl acetate	1	produces-e-4-aminostyryl-acetate			no_curie			not_found	n/a	no_curie
(R)-amygdalin	4	assimilation-r-amygdalin; builds-acid-from-r-amygdalin; carbon-source-r-amygdalin	CHEBI:17019	(R)-amygdalin	exact			not_found	n/a	verified
(R)-lactate	6	assimilation-r-lactate; carbon-source-r-lactate; growth-r-lactate	CHEBI:16004	(R)-lactate	exact			not_found	n/a	verified
(R)-malic acid	5	assimilation-r-malic-acid; carbon-source-r-malic-acid; energy-source-r-malic-acid	CHEBI:30796	(R)-malic acid	exact			not_found	n/a	verified
(R)-mandelate	3	assimilation-r-mandelate; carbon-source-r-mandelate; growth-r-mandelate	CHEBI:32382	(R)-mandelate	exact			not_found	n/a	verified
(S)-azetidine-2-carboxylic acid	1	produces-s-azetidine-2-carboxylic-acid	CHEBI:6198	(S)-azetidine-2-carboxylic acid	exact			not_found	n/a	verified
(S)-lactate	10	assimilation-s-lactate; builds-acid-from-s-lactate; builds-base-from-s-lactate	CHEBI:16651	(S)-lactate	exact			not_found	n/a	verified
(S)-malic acid	4	assimilation-s-malic-acid; carbon-source-s-malic-acid; energy-source-s-malic-acid	CHEBI:30797	(S)-malic acid	exact			not_found	n/a	verified
(S)-mandelic acid	3	assimilation-s-mandelic-acid; carbon-source-s-mandelic-acid; growth-s-mandelic-acid	CHEBI:32800	(S)-mandelic acid	exact			not_found	n/a	verified
1 % sodium lactate	7	assimilation-1-sodium-lactate; builds-acid-from-1-sodium-lactate; carbon-source-1-sodium-lactate			no_curie			not_found	n/a	no_curie
1% sodium chloride	1	growth-1-sodium-chloride	CHEBI:26710	sodium chloride	mismatch			not_found	n/a	mismatch
1,1,2,2-tetrachloroethane	1	reduction-1-1-2-2-tetrachloroethane	CHEBI:36026	1,1,2,2-tetrachloroethane	exact			not_found	n/a	verified
1,1,2-trichloroethane	1	reduction-1-1-2-trichloroethane	CHEBI:36018	1,1,2-trichloroethane	exact			not_found	n/a	verified
1,2,3-trichloropropane	1	reduction-1-2-3-trichloropropane	CHEBI:34036	1,2,3-Trichloropropane	exact			not_found	n/a	verified
1,2-butandiol	5	anaerobic-growth-1-2-butandiol; assimilation-1-2-butandiol; electron-acceptor-1-2-butandiol	CHEBI:17654	electron acceptor	mismatch			not_found	n/a	mismatch
1,2-dichloroethane	2	degradation-1-2-dichloroethane; reduction-1-2-dichloroethane	CHEBI:27789	1,2-dichloroethane	exact			not_found	n/a	verified
1,2-dichloropropane	1	reduction-1-2-dichloropropane	CHEBI:82163	rac-1,2-dichloropropane	mismatch			not_found	n/a	mismatch
1,2-propandiol	6	assimilation-1-2-propandiol; carbon-source-1-2-propandiol; electron-donor-1-2-propandiol	CHEBI:15022	electron donor	mismatch			not_found	n/a	mismatch
1,3-beta-d-glucan	4	assimilation-1-3-beta-d-glucan; builds-acid-from-1-3-beta-d-glucan; degradation-1-3-beta-d-glucan	CHEBI:37671	(1->3)-beta-D-glucan	mismatch			not_found	n/a	mismatch
1,4-propandiol	1	carbon-source-1-4-propandiol			no_curie			not_found	n/a	no_curie
1-chlorobutane	1	degradation-1-chlorobutane			no_curie			not_found	n/a	no_curie
1-chloropropane	1	degradation-1-chloropropane			no_curie			not_found	n/a	no_curie
1-methylphenanthrene	1	carbon-source-1-methylphenanthrene	CHEBI:35860	1-methylphenanthrene	exact			not_found	n/a	verified
