METPO:1000678	oval shaped
METPO:1000481	NaCl delta mid2
METPO:1001002	growth temperature observation
METPO:1000802	Anaerobic respiration
METPO:1000883	cell length very small
METPO:1000664	organoheterotrophic
METPO:1001023	pH observation
METPO:1000476	pH delta mid2
METPO:1000614	psychrophilic
METPO:1000304	temperature optimum
METPO:1000672	dumbbell shaped
METPO:1001009	NaCl range observation
METPO:1003031	carotenoid pigmentation
METPO:1000605	facultatively anaerobic
METPO:1000127	GC content
METPO:1000696	triangular shaped
METPO:1000685	star shaped
METPO:1000443	temperature optimum mid1
METPO:1000467	NaCl optimum mid2
METPO:1000604	microaerophilic
METPO:1000673	ellipsoidal
METPO:1001104	biosafety level 3
METPO:1000652	mixotrophic
METPO:1000334	NaCl range
METPO:1000624	non halophilic
METPO:1000442	temperature optimum low
METPO:1000059	phenotype
METPO:1000646	hydrogenotrophic
METPO:1000611	strictly anaerobic
METPO:1000649	lithotrophic
METPO:1001017	growth oxygen observation
METPO:1000232	pH delta
METPO:1000486	temperature delta mid2
METPO:1000648	lithoheterotrophic
METPO:1000701	motility
METPO:1000472	NaCl range high
METPO:1000621	haloalkaliphilic
METPO:1000706	gliding
METPO:1000473	pH delta very low
METPO:1000536	optimum phenotype with numerical limits
METPO:1000658	photolithotrophic
METPO:1000612	facultative oxygen preference
METPO:1000468	NaCl optimum high
METPO:1000634	chemoautolithotrophic
METPO:1003029	white pigmented
METPO:1000650	methanotrophic
METPO:1000803	Oxidative phosphorylation
METPO:1000695	tailed shaped
METPO:1000615	mesophilic
METPO:1000480	NaCl delta mid1
