ref,year,pubmedid,prot,protStatementCount,org,rank,ncbiTaxonIRI,doi,kgMicrobeAssertionCount,orgName
http://example.com/n4l/rid.1,1994,8123560,http://example.com/n4l/rid.1_nm.8176,31.0,http://example.com/n4l/nm.8176,species,http://purl.obolibrary.org/obo/NCBITaxon_28251,10.1099/00207713-44-1-24,16.0,Ornithobacterium rhinotracheale
http://example.com/n4l/rid.1000,1987,,http://example.com/n4l/rid.1000_nm.6556,6.0,http://example.com/n4l/nm.6556,species,http://purl.obolibrary.org/obo/NCBITaxon_113565,10.1016/S0723-2020(87)80063-2,4.0,Actinoplanes globisporus|Amorphosporangium globisporum
http://example.com/n4l/rid.10007,2009,21304669,http://example.com/n4l/rid.10007_nm.8337,33.0,http://example.com/n4l/nm.8337,species,http://purl.obolibrary.org/obo/NCBITaxon_29549,10.4056/sigs.46736,8.0,Rhodothermus marinus|Rhodothermus obamensis
http://example.com/n4l/rid.10008,2009,21304662,http://example.com/n4l/rid.10008_nm.9505,33.0,http://example.com/n4l/nm.9505,species,http://purl.obolibrary.org/obo/NCBITaxon_283811,10.4056/sigs.47643,21.0,Stackebrandtia nassauensis
http://example.com/n4l/rid.10009,2009,21304671,http://example.com/n4l/rid.10009_nm.7760,37.0,http://example.com/n4l/nm.7760,species,http://purl.obolibrary.org/obo/NCBITaxon_125,10.4056/sigs.51657,,Pirella staleyi|Pirellula staleyi|Planctomyces staleyi
http://example.com/n4l/rid.1001,1986,,http://example.com/n4l/rid.1001_nm.7341,26.0,http://example.com/n4l/nm.7341,species,http://purl.obolibrary.org/obo/NCBITaxon_76728,10.1016/S0723-2020(86)80149-7,1.0,Actinosporangium vitaminophilum|Streptomyces vitaminophileus|Streptomyces vitaminophilus
http://example.com/n4l/rid.10010,2009,21304670,http://example.com/n4l/rid.10010_nm.8390,12.0,http://example.com/n4l/nm.8390,species,http://purl.obolibrary.org/obo/NCBITaxon_34105,10.4056/sigs.48727,20.0,Streptobacillus moniliformis
http://example.com/n4l/rid.10067,2009,19625151,http://example.com/n4l/rid.10067_nm.15005,9.0,http://example.com/n4l/nm.15005,species,http://purl.obolibrary.org/obo/NCBITaxon_431675,10.1016/j.syapm.2009.06.005,4.0,Idiomarina sediminum|Pseudidiomarina sediminum
http://example.com/n4l/rid.10069,2009,19577874,http://example.com/n4l/rid.10069_nm.15009,30.0,http://example.com/n4l/nm.15009,species,http://purl.obolibrary.org/obo/NCBITaxon_604332,10.1016/j.syapm.2009.05.002,6.0,Meiothermus rufus
http://example.com/n4l/rid.1007,2001,11783691,http://example.com/n4l/rid.1007_nm.8382,30.0,http://example.com/n4l/nm.8382,species,http://purl.obolibrary.org/obo/NCBITaxon_109328,,8.0,Leptotrichia trevisanii
http://example.com/n4l/rid.10071,2009,19851724,http://example.com/n4l/rid.10071_nm.15011,41.0,http://example.com/n4l/nm.15011,species,http://purl.obolibrary.org/obo/NCBITaxon_669462,10.1007/s12275-009-0270-z,,Paenibacillus pinihumi
http://example.com/n4l/rid.10085,2010,19648349,http://example.com/n4l/rid.10085_nm.15036,38.0,http://example.com/n4l/nm.15036,species,http://purl.obolibrary.org/obo/NCBITaxon_551788,10.1099/ijs.0.011379-0,10.0,Caldicoprobacter oshimai
http://example.com/n4l/rid.10086,2010,19648324,http://example.com/n4l/rid.10086_nm.15037,34.0,http://example.com/n4l/nm.15037,species,http://purl.obolibrary.org/obo/NCBITaxon_502567,10.1099/ijs.0.011171-0,17.0,Streptococcus porci
http://example.com/n4l/rid.1009,2003,12910388,http://example.com/n4l/rid.1009_nm.4569,30.0,http://example.com/n4l/nm.4569,species,http://purl.obolibrary.org/obo/NCBITaxon_184064,10.1007/s00792-003-0320-0,3.0,Thermodesulfobium narugense
http://example.com/n4l/rid.10092,2010,19648350,http://example.com/n4l/rid.10092_nm.15045,46.0,http://example.com/n4l/nm.15045,species,http://purl.obolibrary.org/obo/NCBITaxon_552063,10.1099/ijs.0.006981-0,19.0,Salinarimonas rosea
http://example.com/n4l/rid.10103,2010,19648322,http://example.com/n4l/rid.10103_nm.15060,22.0,http://example.com/n4l/nm.15060,species,http://purl.obolibrary.org/obo/NCBITaxon_455360,10.1099/ijs.0.011460-0,11.0,Thalassobaculum salexigens
http://example.com/n4l/rid.10107,2010,19648348,http://example.com/n4l/rid.10107_nm.15065,15.0,http://example.com/n4l/nm.15065,species,http://purl.obolibrary.org/obo/NCBITaxon_336989,10.1099/ijs.0.011395-0,9.0,Effluviibacter roseus|Pontibacter roseus
http://example.com/n4l/rid.10112,2010,19648325,http://example.com/n4l/rid.10112_nm.15071,42.0,http://example.com/n4l/nm.15071,species,http://purl.obolibrary.org/obo/NCBITaxon_1122941,10.1099/ijs.0.008060-0,16.0,Pedobacter glucosidilyticus
http://example.com/n4l/rid.10113,2010,19648352,http://example.com/n4l/rid.10113_nm.15072,32.0,http://example.com/n4l/nm.15072,species,http://purl.obolibrary.org/obo/NCBITaxon_501497,10.1099/ijs.0.009449-0,3.0,Thermodesulfatator atlanticus
http://example.com/n4l/rid.1017,1986,,http://example.com/n4l/rid.1017_nm.8203,6.0,http://example.com/n4l/nm.8203,species,http://purl.obolibrary.org/obo/NCBITaxon_1014,,13.0,Weeksella virosa
http://example.com/n4l/rid.1019,1984,,http://example.com/n4l/rid.1019_nm.4589,31.0,http://example.com/n4l/nm.4589,species,http://purl.obolibrary.org/obo/NCBITaxon_42422,,1.0,Halobacteroides halobius
http://example.com/n4l/rid.1020,1995,,http://example.com/n4l/rid.1020_nm.901,46.0,http://example.com/n4l/nm.901,species,http://purl.obolibrary.org/obo/NCBITaxon_525,10.1016/S0723-2020(11)80453-4,,Acidiphilium facile|Acidiphilium facilis|Acidocella facilis
http://example.com/n4l/rid.1026,1995,,http://example.com/n4l/rid.1026_nm.2843,33.0,http://example.com/n4l/nm.2843,species,http://purl.obolibrary.org/obo/NCBITaxon_44012,,6.0,Ferrimonas balearica
