branch	branch_id	ontology	coverage_pct	covered_leaves	total_leaves	avg_similarity
quality	METPO:1000188	METPO	100.0	177	177	0.7612858556977297
quality	METPO:1000188	snomed	61.5819209039548	109	177	0.6175547320300858
quality	METPO:1000188	ncit	61.5819209039548	109	177	0.6088000016983974
quality	METPO:1000188	SNOMEDCT	57.6271186440678	102	177	0.6372484267494074
quality	METPO:1000188	micro	50.282485875706215	89	177	0.7134492564004755
phenotype	METPO:1000059	METPO	100.0	169	169	0.75721543421468
phenotype	METPO:1000059	snomed	61.53846153846154	104	169	0.6079609341194855
phenotype	METPO:1000059	ncit	60.35502958579882	102	169	0.6031813598555149
phenotype	METPO:1000059	SNOMEDCT	57.396449704142015	97	169	0.6244792192170175
phenotype	METPO:1000059	micro	52.662721893491124	89	169	0.7134492564004755
cell shape	METPO:1000666	METPO	100.0	30	30	1.0
cell shape	METPO:1000666	pato	80.0	24	30	0.600619906928769
cell shape	METPO:1000666	snomed	80.0	24	30	0.6119943606621256
cell shape	METPO:1000666	OCHV	80.0	24	30	0.6273590260726782
cell shape	METPO:1000666	SNOMEDCT	73.33333333333333	22	30	0.6276020275040264
cell shape	METPO:1000666	RCD	66.66666666666666	20	30	0.6181091846420047
cell shape	METPO:1000666	ncit	63.33333333333333	19	30	0.6139608217925576
cell shape	METPO:1000666	NCIT	56.666666666666664	17	30	0.6288594082441333
cell shape	METPO:1000666	PATO	56.666666666666664	17	30	0.6051265448893475
cell shape	METPO:1000666	NIFSTD	56.666666666666664	17	30	0.706387326770455
trophic type	METPO:1000631	METPO	100.0	29	29	1.0
trophic type	METPO:1000631	MPO	93.10344827586206	27	29	1.0
trophic type	METPO:1000631	micro	58.620689655172406	17	29	0.8482321143459693
observation	METPO:1001000	snomed	100.0	20	20	0.6330173560616584
observation	METPO:1001000	afo	100.0	20	20	0.61747651436247
observation	METPO:1001000	omit	100.0	20	20	0.6190820599483835
observation	METPO:1001000	schemaorg_http	100.0	20	20	0.655311143566083
observation	METPO:1001000	schemaorg_https	100.0	20	20	0.655311143566083
observation	METPO:1001000	mesh	100.0	20	20	0.6166696329413583
observation	METPO:1001000	ncit	100.0	20	20	0.6173322407622928
observation	METPO:1001000	enm	100.0	20	20	0.7175063623842136
observation	METPO:1001000	METPO	100.0	20	20	0.7594519659412272
observation	METPO:1001000	RH-MESH	100.0	20	20	0.6553111435660831
temperature phenotype with numerical limits	METPO:1000533	snomed	100.0	19	19	0.6083841745691779
temperature phenotype with numerical limits	METPO:1000533	foodon	100.0	19	19	0.5247636588925976
temperature phenotype with numerical limits	METPO:1000533	ncit	100.0	19	19	0.6109862475452373
temperature phenotype with numerical limits	METPO:1000533	METPO	100.0	19	19	0.7659955443660993
temperature phenotype with numerical limits	METPO:1000533	SNOMEDCT	100.0	19	19	0.5978201297139835
temperature phenotype with numerical limits	METPO:1000533	to	89.47368421052632	17	19	0.5555348141467679
temperature phenotype with numerical limits	METPO:1000533	afo	89.47368421052632	17	19	0.6169701474906266
temperature phenotype with numerical limits	METPO:1000533	pato	84.21052631578947	16	19	0.5582998034769638
temperature phenotype with numerical limits	METPO:1000533	fbcv	84.21052631578947	16	19	0.6503283309366344
temperature phenotype with numerical limits	METPO:1000533	ncro	84.21052631578947	16	19	0.656140581232493
growth range phenotype with numerical limits	METPO:1000535	ncit	100.0	17	17	0.6083672249978541
growth range phenotype with numerical limits	METPO:1000535	METPO	100.0	17	17	0.750053902698942
growth range phenotype with numerical limits	METPO:1000535	afo	88.23529411764706	15	17	0.6063320304590942
growth range phenotype with numerical limits	METPO:1000535	snomed	70.58823529411765	12	17	0.6022348093561373
growth range phenotype with numerical limits	METPO:1000535	NCIT	64.70588235294117	11	17	0.6343594655865742
growth range phenotype with numerical limits	METPO:1000535	SWEET	52.94117647058824	9	17	0.7840891572305265
growth range phenotype with numerical limits	METPO:1000535	go	52.94117647058824	9	17	0.5622222222222222
growth range phenotype with numerical limits	METPO:1000535	labo	52.94117647058824	9	17	0.5355291824332072
growth range phenotype with numerical limits	METPO:1000535	mi	52.94117647058824	9	17	0.5374192562015059
growth range phenotype with numerical limits	METPO:1000535	obcs	52.94117647058824	9	17	0.5374192562015059
pH phenotype with numerical limits	METPO:1000531	ncit	100.0	16	16	0.5685808281737523
pH phenotype with numerical limits	METPO:1000531	METPO	100.0	16	16	0.6992460766471467
pH phenotype with numerical limits	METPO:1000531	go	62.5	10	16	0.5380555555555556
pH phenotype with numerical limits	METPO:1000531	MEDDRA	50.0	8	16	0.6531335957668245
delta phenotype with numerical limits	METPO:1000534	ncit	100.0	15	15	0.5713604209754514
