?class	?labels	?synonyms	?definitions
<http://purl.jp/bio/10/gmo/GMO_000001>	"培地 | Medium"	"培養培地 | Growth medium | Culture medium"	"Culture medium | A culture medium"
<http://purl.jp/bio/10/gmo/GMO_000002>	"Component"		"Culture media ingredients | Medium component"
<http://purl.jp/bio/10/gmo/GMO_000003>	"Defined medium | 決定培地 | Defind medium"	"Chemically defined medium | Artificial medium"	
<http://purl.jp/bio/10/gmo/GMO_000004>	"Undefined medium | 非決定培地 | Undefind medium"	"Complex medium"	
<http://purl.jp/bio/10/gmo/GMO_000005>	"Obsolete:_Inorganic compound"		
<http://purl.jp/bio/10/gmo/GMO_000006>	"Obsolete:_Organic compound"		
<http://purl.jp/bio/10/gmo/GMO_000007>	"Obsolete: Natural product"		
<http://purl.jp/bio/10/gmo/GMO_000008>	"Obsolete: Solidifying components"		
<http://purl.jp/bio/10/gmo/GMO_000009>	"Obsolete: Water"		
<http://purl.jp/bio/10/gmo/GMO_000010>	"Obsolete: Component consisting of chemical compounds"		
<http://purl.jp/bio/10/gmo/GMO_000011>	"Extract | エキス"		
<http://purl.jp/bio/10/gmo/GMO_000012>	"Peptone | ペプトン"		"Hydrolyzed protein"
<http://purl.jp/bio/10/gmo/GMO_000013>	"Juice"		
<http://purl.jp/bio/10/gmo/GMO_000014>	"Obsolete: Food"		
<http://purl.jp/bio/10/gmo/GMO_000015>	"Obsolete: Defined components"		
<http://purl.jp/bio/10/gmo/GMO_000016>	"Obsolete: Undefined components"		
<http://purl.jp/bio/10/gmo/GMO_000017>	"Obsolete: Defined simple components"		
<http://purl.jp/bio/10/gmo/GMO_000018>	"Defined complex components"		
<http://purl.jp/bio/10/gmo/GMO_000019>	"Prepared culture medium | 培養培地"		
<http://purl.jp/bio/10/gmo/GMO_000020>	"Medium type"		
<http://purl.jp/bio/10/gmo/GMO_000021>	"Medium type based on consistency"		
<http://purl.jp/bio/10/gmo/GMO_000022>	"Medium type based on nutritional components"		
<http://purl.jp/bio/10/gmo/GMO_000023>	"Medium type based on functional use or application"		
<http://purl.jp/bio/10/gmo/GMO_000024>	"Liquid media"		
<http://purl.jp/bio/10/gmo/GMO_000025>	"Solid media"		
<http://purl.jp/bio/10/gmo/GMO_000026>	"Semi-solid agar"		
<http://purl.jp/bio/10/gmo/GMO_000027>	"Biphasic media"		
<http://purl.jp/bio/10/gmo/GMO_000028>	"Basal medium"		
<http://purl.jp/bio/10/gmo/GMO_000029>	"Enriched medium"		
<http://purl.jp/bio/10/gmo/GMO_000030>	"Selective medium"		
<http://purl.jp/bio/10/gmo/GMO_000031>	"Enrichment medium "		
<http://purl.jp/bio/10/gmo/GMO_000032>	"Differential medium"		
<http://purl.jp/bio/10/gmo/GMO_000033>	"Transport medium"		
<http://purl.jp/bio/10/gmo/GMO_000034>	"Anaerobic medium"		
<http://purl.jp/bio/10/gmo/GMO_000035>	"Semi-complex medium"		
<http://purl.jp/bio/10/gmo/GMO_000036>	"抗生物質 | Obsolete: Antibiotics"		
<http://purl.jp/bio/10/gmo/GMO_000037>	"Role"		
<http://purl.jp/bio/10/gmo/GMO_000038>	"Buffer | 緩衝液"		
<http://purl.jp/bio/10/gmo/GMO_000039>	"Component property"		
<http://purl.jp/bio/10/gmo/GMO_000040>	"Inorganic compound"		
<http://purl.jp/bio/10/gmo/GMO_000041>	"Organic compound"		
<http://purl.jp/bio/10/gmo/GMO_000042>	"Nutrient source | 栄養源"		
<http://purl.jp/bio/10/gmo/GMO_000043>	"Antimicrobial agent"		
<http://purl.jp/bio/10/gmo/GMO_000044>	"Solvating media  | 溶媒 | Solvating media"	"Solvent"	
<http://purl.jp/bio/10/gmo/GMO_000045>	"Vitamin"		
<http://purl.jp/bio/10/gmo/GMO_000046>	"Defined component"		
<http://purl.jp/bio/10/gmo/GMO_000047>	"Undefined component"		
<http://purl.jp/bio/10/gmo/GMO_000048>	"Solidifying component"	"Gelling agent"	
<http://purl.jp/bio/10/gmo/GMO_000049>	"Simple component"		
<http://purl.jp/bio/10/gmo/GMO_000050>	"Complex component"		"A medium ingredient which is composed of more than one GMO component"
<http://purl.jp/bio/10/gmo/GMO_000051>	"Solution"		
<http://purl.jp/bio/10/gmo/GMO_000052>	"pH indicator"		
<http://purl.jp/bio/10/gmo/GMO_000053>	"Redox indicator | 酸化還元指示薬"	"Oxidation-reduction indicator"	
<http://purl.jp/bio/10/gmo/GMO_000054>	"pH independent redox indicator | pH非依存性酸化還元指示薬"		
<http://purl.jp/bio/10/gmo/GMO_000055>	"pH dependent redox indicator | pH依存性酸化還元指示薬"		
<http://purl.jp/bio/10/gmo/GMO_000056>	"Selective agent"		"A role in a medium as a selective agent to prevent growth of microorganisms other than the target"
<http://purl.jp/bio/10/gmo/GMO_000057>	"Defoaming agent"	"Bubble absorbing agent"	
<http://purl.jp/bio/10/gmo/GMO_000058>	"Unit of measurement used in the formula of a medium"		
<http://purl.jp/bio/10/gmo/GMO_000059>	"gram per liter"		
<http://purl.jp/bio/10/gmo/GMO_000060>	"milligram per liter"		
<http://purl.jp/bio/10/gmo/GMO_000061>	"microgram per liter"		
<http://purl.jp/bio/10/gmo/GMO_000062>	"Nitrogen source | 窒素源"		
<http://purl.jp/bio/10/gmo/GMO_000063>	"Carbon source | 炭素源"		
<http://purl.jp/bio/10/gmo/GMO_000064>	"Reducing agent"		
<http://purl.jp/bio/10/gmo/GMO_000065>	"Trace metal"		
<http://purl.jp/bio/10/gmo/GMO_000066>	"Protective agent"		"Neutralize and/or absorb toxic metabolites produced by bacterial growth."
<http://purl.jp/bio/10/gmo/GMO_000067>	"Growth factor | 発育因子"		
<http://purl.jp/bio/10/gmo/GMO_000068>	"Thickening agent | 増粘安定剤"		
<http://purl.jp/bio/10/gmo/GMO_000069>	"U"		
<http://purl.jp/bio/10/gmo/GMO_000070>	"U/ml"		
<http://purl.jp/bio/10/gmo/GMO_000071>	"vial"		
<http://purl.jp/bio/10/gmo/GMO_000072>	"drop"		
