?class	?labels	?synonyms	?definitions
<https://purl.dsmz.de/schema/MISO_1>	"Engineered"		
<https://purl.dsmz.de/schema/MISO_1_1>	"Agriculture"		
<https://purl.dsmz.de/schema/MISO_1_10>	"Waste"		
<https://purl.dsmz.de/schema/MISO_1_10_307>	"Domestic waste"		
<https://purl.dsmz.de/schema/MISO_1_10_308>	"Dust (Ash)"		
<https://purl.dsmz.de/schema/MISO_1_10_309>	"Industrial waste"		
<https://purl.dsmz.de/schema/MISO_1_10_310>	"Solid waste"		
<https://purl.dsmz.de/schema/MISO_1_10_311>	"Waste gas"		
<https://purl.dsmz.de/schema/MISO_1_10_312>	"Wastewater"		
<https://purl.dsmz.de/schema/MISO_1_10_56>	"Landfill"		
<https://purl.dsmz.de/schema/MISO_1_10_57>	"Solid animal waste"		
<https://purl.dsmz.de/schema/MISO_1_10_58>	"Solid plant waste"		
<https://purl.dsmz.de/schema/MISO_1_10_61>	"Activated sludge"		
<https://purl.dsmz.de/schema/MISO_1_10_62>	"Coalbed water"		
<https://purl.dsmz.de/schema/MISO_1_10_63>	"Industrial wastewater"		
<https://purl.dsmz.de/schema/MISO_1_10_64>	"Sewage sludge"		
<https://purl.dsmz.de/schema/MISO_1_10_65>	"Water treatment plant"		
<https://purl.dsmz.de/schema/MISO_1_11>	"Other engineered environment"		
<https://purl.dsmz.de/schema/MISO_1_11_313>	"Painting"		
<https://purl.dsmz.de/schema/MISO_1_11_59>	"Currency"		
<https://purl.dsmz.de/schema/MISO_1_11_60>	"Mine"		
<https://purl.dsmz.de/schema/MISO_1_1_1>	"Field"		
<https://purl.dsmz.de/schema/MISO_1_1_2>	"Garden"		
<https://purl.dsmz.de/schema/MISO_1_1_3>	"Grove (Orchard)"		
<https://purl.dsmz.de/schema/MISO_1_1_303>	"Greenhouse"		
<https://purl.dsmz.de/schema/MISO_1_1_334>	"Park (City)"		
<https://purl.dsmz.de/schema/MISO_1_1_354>	"Paddy (Ricefield)"		
<https://purl.dsmz.de/schema/MISO_1_1_4>	"Livestock (Husbandry)"		
<https://purl.dsmz.de/schema/MISO_1_1_5>	"Meadow"		
<https://purl.dsmz.de/schema/MISO_1_1_6>	"Plantation"		
<https://purl.dsmz.de/schema/MISO_1_1_7>	"Vineyard"		
<https://purl.dsmz.de/schema/MISO_1_2>	"Biodegradation"		
<https://purl.dsmz.de/schema/MISO_1_2_12>	"Garden dump"		
<https://purl.dsmz.de/schema/MISO_1_2_333>	"Decomposing material"		
<https://purl.dsmz.de/schema/MISO_1_2_8>	"Anaerobic digestor"		
<https://purl.dsmz.de/schema/MISO_1_2_9>	"Composting"		
<https://purl.dsmz.de/schema/MISO_1_3>	"Bioreactor"		
<https://purl.dsmz.de/schema/MISO_1_4>	"Bioremediation"		
<https://purl.dsmz.de/schema/MISO_1_4_15>	"Ex situ"		
<https://purl.dsmz.de/schema/MISO_1_4_16>	"In situ"		
<https://purl.dsmz.de/schema/MISO_1_4_304>	"Biofilter"		
<https://purl.dsmz.de/schema/MISO_1_5>	"Built environment"		
<https://purl.dsmz.de/schema/MISO_1_5_17>	"Air conditioner"		
<https://purl.dsmz.de/schema/MISO_1_5_18>	"City"		
<https://purl.dsmz.de/schema/MISO_1_5_19>	"Clean room"		
