?class	?labels	?synonyms	?definitions
<http://purl.jp/bio/10/mpo#MPO_00000>	"Microbial phenotype"		"A microbial phenotype is an observable characteristic of a microbe"
<http://purl.jp/bio/10/mpo#MPO_00001>	"Organism"		
<http://purl.jp/bio/10/mpo#MPO_00010>	"Location"		
<http://purl.jp/bio/10/mpo#MPO_00011>	"Sampling location"		
<http://purl.jp/bio/10/mpo#MPO_00012>	"Habitat"		
<http://purl.jp/bio/10/mpo#MPO_00101>	"Growth temperature"		
<http://purl.jp/bio/10/mpo#MPO_00102>	"Optimal growth temperature"		
<http://purl.jp/bio/10/mpo#MPO_00103>	"Maximum growth temperature"		
<http://purl.jp/bio/10/mpo#MPO_00104>	"Minimum growth temperature"		
<http://purl.jp/bio/10/mpo#MPO_00105>	"Maximum optimal growth temperature"		
<http://purl.jp/bio/10/mpo#MPO_00106>	"Minimum optimal growth temperature"		
<http://purl.jp/bio/10/mpo#MPO_00107>	"Growth pH"		
<http://purl.jp/bio/10/mpo#MPO_00108>	"Optimal growth pH"		"Optimal growth pH of a microbe"
<http://purl.jp/bio/10/mpo#MPO_00109>	"Maximum growth pH"		
<http://purl.jp/bio/10/mpo#MPO_00110>	"Minimum growth pH"		
<http://purl.jp/bio/10/mpo#MPO_00111>	"Maximum optimal growth pH"		
<http://purl.jp/bio/10/mpo#MPO_00112>	"Minimum optimal growth pH"		
<http://purl.jp/bio/10/mpo#MPO_00113>	"Growth salinity"		
<http://purl.jp/bio/10/mpo#MPO_00114>	"Optimal growth salinity"		
<http://purl.jp/bio/10/mpo#MPO_00115>	"Maximum growth salinity"		
<http://purl.jp/bio/10/mpo#MPO_00116>	"Minimum growth salinity"		
<http://purl.jp/bio/10/mpo#MPO_00117>	"Maximum optimal growth salinity"		
<http://purl.jp/bio/10/mpo#MPO_00118>	"Minimum optimal growth salinity"		
<http://purl.jp/bio/10/mpo#MPO_00119>	"Growth pressure"		
<http://purl.jp/bio/10/mpo#MPO_00120>	"Optimal growth pressure"		
<http://purl.jp/bio/10/mpo#MPO_00121>	"Maximum growth pressure"		
<http://purl.jp/bio/10/mpo#MPO_00122>	"Minimum growth pressure"		
<http://purl.jp/bio/10/mpo#MPO_00123>	"Maximum optimal growth pressure"		
<http://purl.jp/bio/10/mpo#MPO_00124>	"Minimum optimal growth pressure"		
<http://purl.jp/bio/10/mpo#MPO_00125>	"Depth of Water"		
<http://purl.jp/bio/10/mpo#MPO_00126>	"Cell size"		
<http://purl.jp/bio/10/mpo#MPO_00127>	"Width"		
<http://purl.jp/bio/10/mpo#MPO_00128>	"Length"		
<http://purl.jp/bio/10/mpo#MPO_00129>	"Minimum width"		
<http://purl.jp/bio/10/mpo#MPO_00130>	"Maximum width"		
<http://purl.jp/bio/10/mpo#MPO_00131>	"Minimum length"		
<http://purl.jp/bio/10/mpo#MPO_00132>	"Maximum length"		
<http://purl.jp/bio/10/mpo#MPO_00133>	"Growth illuminance"		
<http://purl.jp/bio/10/mpo#MPO_00134>	"Optimal growth illuminance"		
<http://purl.jp/bio/10/mpo#MPO_00135>	"Minimum Growth illuminance"		
<http://purl.jp/bio/10/mpo#MPO_00136>	"Maximum growth illuminance"		
<http://purl.jp/bio/10/mpo#MPO_00137>	"Minimum optimal growth illuminance"		
<http://purl.jp/bio/10/mpo#MPO_00138>	"Maximum optimal growth illuminance"		
<http://purl.jp/bio/10/mpo#MPO_00139>	"Growth radiation"		
