?class	?labels	?synonyms	?definitions
<http://purl.obolibrary.org/obo/CHEBI_24431>	"chemical entity"		"A chemical entity is a physical entity of interest in chemistry including molecular entities, parts thereof, and chemical substances."
<http://purl.obolibrary.org/obo/CHEBI_24432>	"biological role"		"A role played by the molecular entity or part thereof within a biological context."
<http://purl.obolibrary.org/obo/CHEBI_25944>	"pesticide"		"Strictly, a substance intended to kill pests. In common usage, any substance used for controlling, preventing, or destroying animal, microbiological or plant pests."
<http://purl.obolibrary.org/obo/CHEBI_33232>	"application"		"Intended use of the molecular entity or part thereof by humans."
<http://purl.obolibrary.org/obo/CHEBI_33281>	"antimicrobial agent"	"microbiocides | antimicrobial"	"A substance that kills or slows the growth of microorganisms, including bacteria, viruses, fungi and protozoans."
<http://purl.obolibrary.org/obo/CHEBI_50906>	"role"		"A role is a particular behaviour which a material entity may exhibit."
<http://purl.obolibrary.org/obo/GO_0000003>	"reproduction"	"reproductive physiological process"	"The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms."
<http://purl.obolibrary.org/obo/GO_0001539>	"cilium or flagellum-dependent cell motility"	"ciliary/flagellar motility | ciliary or bacterial-type flagellar motility"	"Note that we deem eukaryotic cilia and microtubule-based flagella to be equivalent, while the bacterial- and archaeal-type flagella have a different structure. The former are microtubule-based structures that lash back and forth and are present only in eukaryotes, while the latter achieve motility by rotation. Bacterial- and archaeal-type flagella are superficially similar but have a different molecular composition and fine structure. These three structures never co-exist in the same organism. Therefore, GO:0001539 'cilium or flagellum-dependent cell motility' is in the subset of terms that should not be used for direct gene product annotation. Instead, select a child term. Direct annotations to GO:0001539 'cilium or flagellum-dependent cell motility' may be amended during annotation QC. | Cell motility due to movement of eukaryotic cilia or bacterial-type flagella or archaeal-type flagella."
<http://purl.obolibrary.org/obo/GO_0005575>	"cellular_component"	"cellular component | subcellular entity"	"The part of a cell or its extracellular environment in which a gene product is located. A gene product may be located in one or more parts of a cell and its location may be as specific as a particular macromolecular complex, that is, a stable, persistent association of macromolecules that function together. | Note that, in addition to forming the root of the cellular component ontology, this term is recommended for use for the annotation of gene products whose cellular component is unknown. Note that when this term is used for annotation, it indicates that no information was available about the cellular component of the gene product annotated as of the date the annotation was made; the evidence code ND, no data, is used to indicate this."
<http://purl.obolibrary.org/obo/GO_0005623>	"cell"		"The basic structural and functional unit of all organisms. Includes the plasma membrane and any external encapsulating structures such as the cell wall and cell envelope."
