?class	?labels	?synonyms	?definitions
<http://doi.org/10.1601/AcidProduction>	"Acid production"		
<http://doi.org/10.1601/Acidophile>	"Acidophile"		
<http://doi.org/10.1601/Aerobe>	"Aerobe"		
<http://doi.org/10.1601/Aerobic>	"Aerobic"		
<http://doi.org/10.1601/AerobicAcidProduction>	"Aerobic acid production"		
<http://doi.org/10.1601/AerotolerantAnaerobe>	"Aerotolerant anaerobe"		
<http://doi.org/10.1601/Air>	"Air"		
<http://doi.org/10.1601/Alkalophile>	"Alkalophile"		
<http://doi.org/10.1601/AnabolicReaction>	"Energy source"		
<http://doi.org/10.1601/Anaerobe>	"Anaerobe"		
<http://doi.org/10.1601/AnaerobicRespiration>	"Anaerobic respiration"		
<http://doi.org/10.1601/Anoxic>	"Anoxic"		
<http://doi.org/10.1601/AntimicrobialPhenotype>	"Antimicrobial phenotype"		
<http://doi.org/10.1601/AntimicrobialPhenotypeVsAntimicrobialGroupConstraint>	"Antimicrobial Phenotype Vs Antimicrobial Group Constraint | T2: Strain has {?templateProperty} to a chemical entity, but that chemical entity is not member of an antimicrobial group."		
<http://doi.org/10.1601/AntimicrobialPhenotypeVsMixture>	"Antimicrobial phenotype vs mixture | T3: Strain has {?templateProperty} to a mixture (not including media), but that mixture contains a chemical entity is not member of an antimicrobial group."		
<http://doi.org/10.1601/Assimilation>	"Assimilate"		
<http://doi.org/10.1601/AssimilationAcidAndGasProduction>	"Assimilation acid and gas production | T4: Strain has {?templateProperty} and {?otherTemplateProperty} of the same substance."		
<http://doi.org/10.1601/AtomicObservation>	"Atomic observation"		
<http://doi.org/10.1601/Carboxysome>	"Carboxysome"		
<http://doi.org/10.1601/CatabolicReaction>	"Catabolic reaction"		
<http://doi.org/10.1601/CellShapeModifier>	"Cell shape modifier"		
<http://doi.org/10.1601/CellShapeObservation>	"Shape observation"		
<http://doi.org/10.1601/CellularActivity>	"Cellular activity"		
<http://doi.org/10.1601/CellularActivityVsMembershipOfSubstanceGroup>	"Cellular activity vs membership of substance group | T18: Strain can not have property {?templateProperty} of a substance that is member of a group over property {?otherTemplateProperty}."		
<http://doi.org/10.1601/CellularActivityVsNoMembershipOfSubstanceGroup>	"Cellular activity vs substance group membership | T16: Strain can not have observation ({?templateProperty}) of a substance {?type} that is not member of {?otherTemplateProperty}."		
<http://doi.org/10.1601/Colony>	"Colony"		
<http://doi.org/10.1601/Condition>	"Condition"		
<http://doi.org/10.1601/DirectObservation>	"Direct observation"		
<http://doi.org/10.1601/Disc>	"Disk"		
<http://doi.org/10.1601/DisjointnessCellularActivityAndSubstance>	"disjointness cellular activity and substance | T12: Strain can not have property {?templateProperty} of {?valueType} substance."		
<http://doi.org/10.1601/DisjointnessOfGrowthObservation>	"Disjointness of growth observation | T1: Given strain can not have ({?templateProperty}) and ({?secondTemplateProperty}) under condition property {?otherTemplateProperty}"		
<http://doi.org/10.1601/DisjointnessOfGrowthObservationsTemperatureCondition>	"T50: Strain can not have observations ({?templateProperty} and {?secondTemplateProperty}) under the same {?valueType} conditions. | Disjointness of growth observations temperature condition"		
<http://doi.org/10.1601/DisjointnessOfOptimalGrowthInTwoConditions>	"T34: Strain can not have observation ({?templateProperty},{?otherTemplateProperty}) and observation ({?secondTemplateProperty}, {?thirdTemplateProperty}).  | Disjointness of optimal growth in two conditions"		
<http://doi.org/10.1601/DisjointnessOfPhenotype>	"Disjointness of phenotype | T9: Strain {?this} can not have {?valueType} and {?defaultValue} phenotype."		
<http://doi.org/10.1601/DisjointnessOfPhenotypeAndCellularActivityOfSubstance>	"Disjointness of phenotype and cellular activity of substance | T13: Given strain can not have {?valueType} phenotype and observation ({?templateProperty}, {?defaultValue})."		
<http://doi.org/10.1601/DisjointnessOfPhenotypeAndGrowthCondition>	"T7: Strain can not have  {?valueType} phenotype and observation ({?templateProperty}, {?otherTemplateProperty}). | Disjointness of phenotype and growth condition"		
<http://doi.org/10.1601/DisjointnessOfSubstanceGroup>	"Disjointness of substance group | T20: A strain has an observation for a substance that can not be member of {?templateProperty} and {?otherTemplateProperty} groups."		
<http://doi.org/10.1601/DocumentResource>	"Document resource"		
<http://doi.org/10.1601/ExperimentalEnvironment>	"Environment"		
<http://doi.org/10.1601/ExtremeHighTemperatureCondition>	"Extreme high temperature condition"		
<http://doi.org/10.1601/ExtremeLowTemperatureCondition>	"Extreme low temperature condition"		
<http://doi.org/10.1601/ExtremePsychrophile>	"Extreme psychrophile"		
<http://doi.org/10.1601/FacultativeAnaerobe>	"Facultative anaerobe"		
