kind_of_utilization_tested	count
builds acid from	456877
hydrolysis	84138
carbon source	76452
assimilation	76322
fermentation	73720
reduction	32655
degradation	19189
energy source	16876
growth	12139
respiration	11593
null	8576
oxidation	5618
nitrogen source	3000
builds gas from	2184
electron donor	819
electron acceptor	639
aerobic growth	305
anaerobic growth	237
required for growth	215
other	176
builds base from	75
aerobic catabolization	49
anaerobic growth with light	44
anaerobic catabolization	23
anaerobic growth in the dark	19
sulfur source	18
