extension	count	category	notes
.xml	9988	Ontology/Data	XML data and ontology files (mostly OBO Foundry ontologies)
.txt	425	Documentation/Data	Text files
.ttl	277	Ontology	Turtle RDF ontology files
.md	172	Documentation	Markdown documentation
.log	163	Temporary	Log files - cleanup candidate
.tsv	116	Data	Tab-separated value files (METPO data and mappings)
.rdf	116	Ontology	RDF ontology files
.yaml	94	Config/Data	YAML configuration and data files
.owl	91	Ontology	OWL ontology files
.py	69	Source Code	Python source files (project code, not dependencies)
.pdf	47	Documentation	PDF documents (papers, references)
.json	34	Data/Config	JSON data and configuration files
.obo	25	Ontology	OBO ontology files
.DS_Store	23	Temporary	macOS metadata - cleanup candidate, add to .gitignore
.sparql	19	Query	SPARQL query files
.sh	18	Source Code	Shell scripts
.csv	16	Data	Comma-separated value files
.rq	14	Query	SPARQL query files (alternate extension)
.xlsx	9	Data	Excel spreadsheet files
.xsd	8	Schema	XML Schema Definition files
.dmp	8	Debug	Memory dump files - cleanup candidate
.db	6	Database	Database files (ChromaDB, lexical indices)
.png	7	Media	Image files (figures, diagrams)
.ipynb	6	Notebook	Jupyter notebook files
.gitkeep	5	Config	Git placeholder files for empty directories
.ru	4	Config	Rack configuration files
.bson	4	Data	Binary JSON files
.xsl	3	Source Code	XSLT stylesheet files
.Makefile	3	Build	Makefile build scripts
.gz	3	Archive	Compressed files
.yml	2	Config	YAML configuration files (alternate extension)
.jsonl	2	Data	JSON Lines files
.gitignore	2	Config	Git ignore configuration files
.env	2	Config	Environment variable files - verify not committed with secrets
.zip	1	Archive	ZIP compressed file
.toml	1	Config	TOML configuration file (pyproject.toml)
.template	1	Templates	Template file
.sql	1	Source Code	SQL database script
.sc	1	Source Code	Scala or SuperCollider file
.prt	1	Data	Part file
.ofn	1	Ontology	OWL Functional Syntax file
.mhtml	1	Documentation	MHTML web archive file
.lock	1	Config	Lock file for package manager
.html	1	Documentation	HTML file
.example	1	Config	Example configuration file
.docx	1	Documentation	Microsoft Word document
.css	1	Source Code	Cascading style sheet
.bat	1	Source Code	Windows batch file
.bak	1	Temporary	Backup file - cleanup candidate
