substrate	count	percent_of_docs_with_data
glucose	2840	60.63
maltose	2160	46.11
mannose	2006	42.83
sucrose	1956	41.76
fructose	1943	41.48
galactose	1634	34.88
arabinose	1623	34.65
mannitol	1453	31.02
cellobiose	1392	29.72
trehalose	1388	29.63
alanine	1336	28.52
xylose	1265	27.01
lactose	1180	25.19
glycerol	1020	21.78
rhamnose	995	21.24
ribose	992	21.18
acetate	981	20.94
raffinose	966	20.62
melibiose	897	19.15
N-acetylgulcosamine	848	18.10
sorbitol	778	16.61
salicin	759	16.20
lactate	740	15.80
succinate	740	15.80
malate	730	15.58
glutamate	679	14.50
citrate	671	14.33
proline	650	13.88
pyruvate	649	13.86
gluconic acid	613	13.09
Tween 80	560	11.96
glycogen	540	11.53
propionate	536	11.44
serine	519	11.08
aspartate	446	9.52
Tween 40	443	9.46
dextrin	424	9.05
asparagine	368	7.86
fucose	368	7.86
histidine	339	7.24
arabitol	286	6.11
threonine	276	5.89
leucine	276	5.89
adonitol	270	5.76
arginine	264	5.64
myo-inositol	252	5.38
Tween 20	238	5.08
ornithine	232	4.95
formic acid	210	4.48
gelatin	206	4.40
xylitol	203	4.33
malonate	189	4.04
3-hydroxybutyrate	187	3.99
pyruvic acid methyl ester	185	3.95
ethanol	180	3.84
phenylalanine	177	3.78
alaninamide	166	3.54
methyl beta-D-glucoside	161	3.44
adipate	160	3.42
valerate	149	3.18
inosine	148	3.16
uridine	141	3.01
glycine	137	2.92
5-ketogluconate	135	2.88
galacturonic acid	128	2.73
Tween 60	124	2.65
glucosamine	122	2.60
H2_CO2	114	2.43
thymidine	113	2.41
alpha-ketovaleric acid	110	2.35
alpha-cyclodextrin	108	2.31
phenylacetate	107	2.28
methyl pyruvate	106	2.26
urea	99	2.11
3-hydroxybenzoate	95	2.03
2-ketogluconate	92	1.96
caprate	90	1.92
putrescine	85	1.81
glucuronamide	75	1.60
quinic acid	75	1.60
tryptophan	68	1.45
2,3-butanediol	66	1.41
urocanic acid	61	1.30
hyrdoxyproline	61	1.30
4-hydroxbenzoate	56	1.20
itaconate	52	1.11
butanol	47	1.00
galactonic acid	44	0.94
carnitine	38	0.81
trimethylamine	34	0.73
suberic acid	33	0.70
methanol	33	0.70
dimethylamine	32	0.68
phenethylamine	31	0.66
2-aminethanol	30	0.64
methylamine	30	0.64
trisodium citrate	28	0.60
gamma-aminobutyric acid	16	0.34
2-butanol	16	0.34
2-propanol	11	0.23
dimethyl_sulfide	11	0.23
H2_methanol	6	0.13
cyclopentanol	5	0.11
isobutanol	2	0.04
1-butanol	2	0.04
propanol	1	0.02
carbon_monoxide	1	0.02
