Field Name	Unique Values	Unpacked Unique	Coverage %	Data Type	Subtype	Namespace	Notes
org_name	116703		94.61	identifier	text		taxonomic name
genome_size	87039		63.00	continuous	integer		
tax_id	49155		100.00	identifier	integer	NCBITaxon	
species_tax_id	21500		100.00	identifier	integer	NCBITaxon	
species	21500		100.00	identifier	text		taxonomic name
ref_id	20276		93.60	identifier	integer	internal	foreign key to references collection
gc_content	9752		17.05	continuous	float		
coding_genes	5888		10.17	continuous	count		gene count
carbon_substrates	3977	107	2.72	list			comma-space delimited, quoted compounds, underscore pairs
genus	2884		99.09	identifier	text		taxonomic name
doubling_h	650		0.66	continuous	float		
family	480		98.56	identifier	text		taxonomic name
growth_tmp	340		7.93	continuous	float		
d2_lo	245		2.90	continuous	float		cell dimension (μm)
order	211		98.92	identifier	text		taxonomic name
optimum_tmp	188		8.82	continuous	float		
pathways	160	81	9.28	list			comma-space delimited, hierarchical underscores
d1_lo	151		2.89	continuous	float		cell dimension (μm)
tRNA_genes	150		7.47	continuous	count		gene count
optimum_ph	130		2.67	continuous	float		
d2_up	120		1.20	continuous	float		cell dimension (μm)
class	94		98.85	identifier	text		taxonomic name
phylum	74		99.95	identifier	text		taxonomic name
isolation_source	74		30.16	categorical	text		hierarchical underscores
d1_up	71		1.04	continuous	float		cell dimension (μm)
data_source	26		100.00	identifier	text		source database name
cell_shape	19		16.44	categorical	text		
rRNA16S_genes	17		4.20	continuous	count		gene count
metabolism	7		20.07	categorical	text		
range_tmp	7		5.11	categorical	text		
range_salinity	7		0.54	categorical	text		
motility	5		13.21	categorical	text		
superkingdom	2		100.00	identifier	text		taxonomic name
gram_stain	2		25.65	categorical	text		
sporulation	2		11.07	categorical	text		
