category	rank	value	count	percent_of_total
most_common	1	NA	143987	83.56
most_common	2	bacillus	17793	10.33
most_common	3	coccus	7007	4.07
most_common	4	spiral	1363	0.79
most_common	5	vibrio	743	0.43
most_common	6	filament	660	0.38
most_common	7	coccobacillus	612	0.36
most_common	8	pleomorphic	64	0.04
most_common	9	fusiform	33	0.02
most_common	10	square	19	0.01
most_common	11	disc 	17	0.01
most_common	12	irregular	6	0.00
most_common	13	flask	5	0.00
most_common	14	star	4	0.00
most_common	15	spindle	3	0.00
most_common	16	branced	3	0.00
most_common	17	tailed	2	0.00
most_common	18	ring	1	0.00
most_common	19	spirochete	1	0.00
most_common	20	triangular	1	0.00
rarest	1	NA	143987	83.56
rarest	2	bacillus	17793	10.33
rarest	3	coccus	7007	4.07
rarest	4	spiral	1363	0.79
rarest	5	vibrio	743	0.43
rarest	6	filament	660	0.38
rarest	7	coccobacillus	612	0.36
rarest	8	pleomorphic	64	0.04
rarest	9	fusiform	33	0.02
rarest	10	square	19	0.01
rarest	11	disc 	17	0.01
rarest	12	irregular	6	0.00
rarest	13	flask	5	0.00
rarest	14	star	4	0.00
rarest	15	spindle	3	0.00
rarest	16	branced	3	0.00
rarest	17	tailed	2	0.00
rarest	18	ring	1	0.00
rarest	19	spirochete	1	0.00
rarest	20	triangular	1	0.00
