category	rank	value	count	percent_of_total
most_common	1	NA	137737	79.93
most_common	2	aerobic	12062	7.00
most_common	3	facultative	8567	4.97
most_common	4	anaerobic	7232	4.20
most_common	5	obligate aerobic	3569	2.07
most_common	6	microaerophilic	2735	1.59
most_common	7	obligate anaerobic	421	0.24
most_common	8	strictly anaerobic	1	0.00
rarest	1	NA	137737	79.93
rarest	2	aerobic	12062	7.00
rarest	3	facultative	8567	4.97
rarest	4	anaerobic	7232	4.20
rarest	5	obligate aerobic	3569	2.07
rarest	6	microaerophilic	2735	1.59
rarest	7	obligate anaerobic	421	0.24
rarest	8	strictly anaerobic	1	0.00
