carbon_substrates_element	count	percentage
glucose	2840	5.95
maltose	2160	4.53
mannose	2006	4.20
sucrose	1956	4.10
fructose	1943	4.07
galactose	1634	3.42
arabinose	1623	3.40
mannitol	1453	3.05
cellobiose	1392	2.92
trehalose	1388	2.91
alanine	1336	2.80
xylose	1265	2.65
lactose	1180	2.47
glycerol	1020	2.14
rhamnose	995	2.09
ribose	992	2.08
acetate	981	2.06
raffinose	966	2.02
melibiose	897	1.88
N-acetylgulcosamine	848	1.78
sorbitol	778	1.63
salicin	759	1.59
lactate	740	1.55
succinate	740	1.55
malate	730	1.53
glutamate	679	1.42
citrate	671	1.41
proline	650	1.36
pyruvate	649	1.36
gluconic acid	613	1.28
Tween 80	560	1.17
glycogen	540	1.13
propionate	536	1.12
serine	519	1.09
aspartate	446	0.93
Tween 40	443	0.93
dextrin	424	0.89
asparagine	368	0.77
fucose	368	0.77
histidine	339	0.71
arabitol	286	0.60
threonine	276	0.58
leucine	276	0.58
adonitol	270	0.57
arginine	264	0.55
myo-inositol	252	0.53
Tween 20	238	0.50
ornithine	232	0.49
formic acid	210	0.44
gelatin	206	0.43
xylitol	203	0.43
malonate	189	0.40
3-hydroxybutyrate	187	0.39
pyruvic acid methyl ester	185	0.39
ethanol	180	0.38
phenylalanine	177	0.37
alaninamide	166	0.35
methyl beta-D-glucoside	161	0.34
adipate	160	0.34
valerate	149	0.31
inosine	148	0.31
uridine	141	0.30
glycine	137	0.29
5-ketogluconate	135	0.28
galacturonic acid	128	0.27
Tween 60	124	0.26
glucosamine	122	0.26
H2_CO2	114	0.24
thymidine	113	0.24
alpha-ketovaleric acid	110	0.23
alpha-cyclodextrin	108	0.23
phenylacetate	107	0.22
methyl pyruvate	106	0.22
urea	99	0.21
3-hydroxybenzoate	95	0.20
2-ketogluconate	92	0.19
caprate	90	0.19
putrescine	85	0.18
glucuronamide	75	0.16
quinic acid	75	0.16
tryptophan	68	0.14
2,3-butanediol	66	0.14
urocanic acid	61	0.13
hyrdoxyproline	61	0.13
4-hydroxbenzoate	56	0.12
itaconate	52	0.11
butanol	47	0.10
galactonic acid	44	0.09
carnitine	38	0.08
trimethylamine	34	0.07
suberic acid	33	0.07
methanol	33	0.07
dimethylamine	32	0.07
phenethylamine	31	0.06
2-aminethanol	30	0.06
methylamine	30	0.06
trisodium citrate	28	0.06
gamma-aminobutyric acid	16	0.03
2-butanol	16	0.03
2-propanol	11	0.02
dimethyl_sulfide	11	0.02
H2_methanol	6	0.01
cyclopentanol	5	0.01
isobutanol	2	0.00
1-butanol	2	0.00
propanol	1	0.00
carbon_monoxide	1	0.00
