isolation_source	count	percentage	pct_of_total
host_animal_endotherm	14895	28.66	8.64
host_animal_endotherm_nasopharyngeal	7851	15.10	4.56
soil	3833	7.37	2.22
host_animal_endotherm_intestinal	3724	7.16	2.16
host_animal_endotherm_blood	2332	4.49	1.35
food	2012	3.87	1.17
host_plant	1492	2.87	0.87
water_marine	1436	2.76	0.83
host	1374	2.64	0.80
host_animal_ectotherm	1333	2.56	0.77
host_animal_endotherm_oral	1055	2.03	0.61
sediment_marine	756	1.45	0.44
water_fresh	741	1.43	0.43
host_plant_root-associated	725	1.39	0.42
host_animal_endotherm_intratissue	625	1.20	0.36
wastewater	563	1.08	0.33
water	543	1.04	0.32
host_animal_endotherm_surface	513	0.99	0.30
built_environment_surfaces	464	0.89	0.27
water_groundwater_surface	460	0.88	0.27
water_hotspring	453	0.87	0.26
water_hypersaline	419	0.81	0.24
host_animal_endotherm_vagina	349	0.67	0.20
host_animal	329	0.63	0.19
bioreactor/digester	283	0.54	0.16
sediment_fresh	269	0.52	0.16
milk	238	0.46	0.14
host_animal_endotherm_feces	230	0.44	0.13
food_fermented	212	0.41	0.12
sediment_marine_hydrothermal	177	0.34	0.10
sludge	176	0.34	0.10
sediment	176	0.34	0.10
rock_deep	176	0.34	0.10
host_animal_endotherm_rumen	151	0.29	0.09
compost	130	0.25	0.08
soil_agricultural	128	0.25	0.07
soil_contaminated	112	0.22	0.06
petroleum	111	0.21	0.06
host_plant_leaf-associated	104	0.20	0.06
host_algae	101	0.19	0.06
water_marine_hydrothermal	84	0.16	0.05
sediment_hypersaline	76	0.15	0.04
soil_forest	70	0.13	0.04
soil_hydrocarbon_contaminated	63	0.12	0.04
soil_arid	57	0.11	0.03
host_plant_rootnodule	53	0.10	0.03
host_fungus	43	0.08	0.02
biofilm	40	0.08	0.02
sediment_brackish	38	0.07	0.02
soil_mineral	37	0.07	0.02
soil_grassland	35	0.07	0.02
soil_organic_peat	34	0.07	0.02
soil_organic_permafrost	30	0.06	0.02
volcanic_active	29	0.06	0.02
water_brackish	28	0.05	0.02
sediment_fresh_alkaline	27	0.05	0.02
water_fresh_alkaline	24	0.05	0.01
soil_saline	22	0.04	0.01
litter	20	0.04	0.01
sediment_marine_deep	19	0.04	0.01
rock	18	0.03	0.01
water_marine_cold	14	0.03	0.01
bioreactor	12	0.02	0.01
soil_marshland	9	0.02	0.01
water_fresh_cold	9	0.02	0.01
hypersaline	7	0.01	0.00
sediment_marine_cold	6	0.01	0.00
water_marine_deep	6	0.01	0.00
rock_surface	5	0.01	0.00
host_plant_vasculature	4	0.01	0.00
water_groundwater	4	0.01	0.00
water_groundwater_deepsubsurface	3	0.01	0.00
plant	1	0.00	0.00
other	1	0.00	0.00
