pathway	count	percentage
nitrate_reduction	3194	19.68
fermentation	2545	15.68
aerobic_chemo_heterotrophy	1000	6.16
nitrogen_fixation	681	4.20
denitrification	671	4.13
nitrite_reduction	641	3.95
sulfate_reduction	496	3.06
Denitrification	484	2.98
iron_reduction	454	2.80
methanogenesis	415	2.56
cellulose_degradation	377	2.32
xylan_degradation	375	2.31
sulfur_reduction	320	1.97
thiosulfate_reduction	312	1.92
hydrocarbon_degradation	272	1.68
nitrate_reduction_to_ammonia	218	1.34
sulfite_reduction	212	1.31
hydrogen_oxidation_dark	197	1.21
aromatic_compound_degradation	174	1.07
thiosulfate_oxidation_dark	162	1.00
aromatic_hydrocarbon_degradation	150	0.92
nitrous_oxide_reduction	143	0.88
aerobic_anoxygenic_phototrophy	136	0.84
chitin_degradation	136	0.84
nitrite_reduction_to_ammonia	135	0.83
photoheterotrophy	124	0.76
arsenate_reduction	108	0.67
anoxygenic_photoautotrophy_sulfur_oxidation	106	0.65
fumarate_reduction	103	0.63
sulfur_oxidation_dark	96	0.59
nitrification	93	0.57
methanogenesis_H2CO2	91	0.56
methanol_oxidation	86	0.53
acetogenesis	79	0.49
sulfide_oxidation_dark	74	0.46
sulfur_oxidation	73	0.45
anoxygenic_photoautotrophy	71	0.44
methylotrophy	70	0.43
methane_oxidation	69	0.43
ligninolysis	68	0.42
urea_degradation	68	0.42
photoautotrophy	68	0.42
autotrophy	65	0.40
heterotrophic	63	0.39
anoxygenic_photoautotrophy_hydrogen_oxidation	58	0.36
iron_oxidation	53	0.33
iron_oxidation_dark	53	0.33
aliphatic_non_methane_hydrocarbon_degradation	52	0.32
chlorate_reduction	45	0.28
manganese_reduction	41	0.25
sulfide_oxidation	37	0.23
hydrogen_oxidation	33	0.20
plastic_degradation	31	0.19
aerobic_heterotrophy	30	0.18
arsenite_oxidation	25	0.15
MTBE_degradation	25	0.15
manganese_oxidation	23	0.14
nitrite_oxidation	18	0.11
methanogenesis_acetoclastic	17	0.10
PAH_degradation	17	0.10
chlorocarbon_degradation	16	0.10
annamox	15	0.09
pah_degradation	15	0.09
thiosulfate_oxidation	14	0.09
pyrite_oxidation	10	0.06
sulfite_oxidation_dark	10	0.06
anoxygenic_photoautotrophy_iron_oxidation	10	0.06
uranyl_reduction	9	0.06
tetrathionate_oxidation	8	0.05
nitric_oxide_reduction	6	0.04
chalcopyrite_oxidation	6	0.04
sphalerite_oxidation	6	0.04
selenate_reduction	6	0.04
carbon_monoxide_oxidation	6	0.04
sulfur_compound_oxidation_dark	5	0.03
thiosulfate_disproportionation	4	0.02
trithionate_oxidation	4	0.02
uraninite_oxidation	4	0.02
PCB_degradation	4	0.02
cellobiose_degradation	4	0.02
Selenate_reduction	4	0.02
sulfite_oxidation	3	0.02
carbonmonoxide_oxidation	3	0.02
aminoacid_degradation	3	0.02
polymer_degradation	3	0.02
carbonmonoxide_reduction	2	0.01
galena_oxidation	2	0.01
uranium_oxidation	2	0.01
lignin_degradation	2	0.01
dithionite_disproportionation	1	0.01
carbonylsulfide_oxidation	1	0.01
carbonylsulfide_reduction	1	0.01
thiocyanate_oxidation	1	0.01
thiocyanate_reduction	1	0.01
pyrrhotite_oxidation	1	0.01
covellite_oxidation	1	0.01
cobalt_reduction	1	0.01
propionate_oxidation	1	0.01
EDTA_degradation	1	0.01
gelatin_degradation	1	0.01
polyisoprene_degradation	1	0.01
DMSP_degradation	1	0.01
RDX_degradation	1	0.01
