rank	ref_id	citation_count	reference_text
1	13521	89563	doi.org/10.1093/nar/gky977
2	19897	18045	doi.org/10.1093/nar/gkw1017
3	705	12530	doi.org/10.1186/s12866-018-1320-7
4	19908	2818	doi.org/10.1093/nar/gkw964
5	19891	2600	doi.org/10.12688/gatesopenres.12772.1
6	151	1336	doi.org/10.1093/nar/gky879
7	755	975	Garrity, Brenner, Krieg and Staley (2009) Bergey's Manual of Systematic Bacteriology, vol. 3
8	760	648	Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2
9	767	624	Garrity, Brenner, Krieg and Staley (2012) Bergey's Manual of Systematic Bacteriology, vol. 5
10	753	410	Garrity, Brenner, Krieg and Staley (2005) Bergey's Manual of Systematic Bacteriology, vol. 2C
