field_name	unique_values	percent_of_total	cardinality
carbon_substrates	3978	2.3	High
cell_shape	20	0.0	Low
class	95	0.1	Low
coding_genes	5889	3.4	High
d1_lo	152	0.1	Medium
d1_up	72	0.0	Low
d2_lo	246	0.1	Medium
d2_up	121	0.1	Medium
data_source	26	0.0	Low
doubling_h	651	0.4	Medium
family	481	0.3	Medium
gc_content	9753	5.7	High
genome_size	87040	50.5	High
genus	2885	1.7	High
gram_stain	3	0.0	Very low
growth_tmp	341	0.2	Medium
isolation_source	75	0.0	Low
metabolism	8	0.0	Very low
motility	6	0.0	Very low
optimum_ph	131	0.1	Medium
optimum_tmp	189	0.1	Medium
order	212	0.1	Medium
org_name	116704	67.7	High
pathways	161	0.1	Medium
phylum	75	0.0	Low
rRNA16S_genes	18	0.0	Low
range_salinity	8	0.0	Very low
range_tmp	8	0.0	Very low
ref_id	20277	11.8	High
species	21500	12.5	High
species_tax_id	21500	12.5	High
sporulation	3	0.0	Very low
superkingdom	2	0.0	Very low
tRNA_genes	151	0.1	Medium
tax_id	49155	28.5	High
