madin_tax_id	madin_org_name	ncbi_valid	ncbi_scientific_name	names_match
1169025	Streptomyces pratensis	yes	Streptomyces pratensis	exact
562	Escherichia coli STEC 1506	yes	Escherichia coli	partial
1392	Bacillus anthracis 2000032967	yes	Bacillus anthracis	partial
1402	Bacillus licheniformis	yes	Bacillus licheniformis	exact
28176	Candidatus Photodesmus katoptron	yes	Candidatus Photodesmus anomalopis	no
666	Vibrio cholerae	yes	Vibrio cholerae	exact
59893	Paenibacillus peoriae LMG 16108	yes	Paenibacillus peoriae	partial
1188236	Mycoplasma arginini 7264	yes	Mycoplasmopsis arginini 7264	no
265883	Hydrogenovibrio thermophilus	yes	Hydrogenovibrio thermophilus	exact
190047	Prochlorococcus sp. EQPAC1	yes	Prochlorococcus marinus str. EQPAC1	no
56458	Xanthomonas sacchari R1	yes	Xanthomonas sacchari	partial
33959	Lactobacillus johnsonii UMNLJ21	yes	Lactobacillus johnsonii	partial
197	Campylobacter jejuni OXC6595	yes	Campylobacter jejuni	partial
745776	NA	yes	Deinococcus gobiensis I-0	no
589382	agromyces_flavus	yes	Agromyces flavus	no
520507	Brucella suis bv. 1 92/29	yes	Brucella suis bv. 1 str. 92/29	no
1385723	Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1	yes	Campylobacter jejuni subsp. jejuni NCTC 11168-Kf1	exact
40479	Mycoplasma capricolum capricolum 14DL0024	yes	Mycoplasma capricolum subsp. capricolum	no
1874826	Novosphingobium sp. GV010	yes	Novosphingobium sp.	partial
41978	ruminococcus_sp	yes	Ruminococcus sp.	no
