prefix	title	main_domain	registry_or_home	primary_repo	distribution_formats	maintenance_status
OMP	Ontology of Microbial Phenotypes	Microbial phenotypes across bacteria, archaea, protists, fungi, viruses	https://bioportal.bioontology.org/ontologies/OMP	http://microbialphenotypes.org/	OWL	Production; last BioPortal upload 2024-03-25
APO	Ascomycete Phenotype Ontology	Phenotypes of ascomycete fungi (e.g., budding yeast)	https://obofoundry.org/ontology/apo.html	https://obofoundry.org/ontology/apo.html	OWL, OBO	Production; BioPortal shows 2025-08-12
FYPO	Fission Yeast Phenotype Ontology	Phenotypes of Schizosaccharomyces pombe	https://ontobee.org/ontology/fypo	https://www.pombase.org/browse-curation/fission-yeast-phenotype-ontology	OWL	Active; Ontobee version 2025-05-09
DDPHENO	Dictyostelium discoideum Phenotype Ontology	Phenotypes of Dictyostelium (amoebozoan; microbial eukaryote)	https://obofoundry.org/ontology/ddpheno.html	https://github.com/obophenotype/dicty-phenotype-ontology	OWL, OBO	Active; Ontobee version 2023-08-26; BioPortal upload 2023-12-14
PHIPO	Pathogen–Host Interaction Phenotype Ontology	Phenotypes observed in pathogen–host interactions	https://obofoundry.org/ontology/phipo.html	https://bioportal.bioontology.org/ontologies/PHIPO	OWL, OBO	Production (BioPortal)
CMPO	Cellular Microscopy Phenotype Ontology	Species-neutral cellular phenotypes (microscopy/high-content screens)	https://www.ebi.ac.uk/cmpo	https://github.com/EBISPOT/CMPO	OWL	Active GitHub presence (EBI SPOT)
MICRO	MicrO	Prokaryotic phenotypic & metabolic characters, media, assays	https://www.ebi.ac.uk/ols4/ontologies/micro	https://github.com/carrineblank/MicrO	OWL	Unknown/low visible recent activity; listed in OLS/FAIRsharing
MCO	Microbial Conditions Ontology	Growth/experimental conditions in microbiology	https://obofoundry.org/ontology/mco.html	https://bioportal.bioontology.org/ontologies/MCO	OWL, OBO	Production; initial release 2019; used in RegulonDB
EUPATH	VEuPathDB Ontology	Application ontology for eukaryotic pathogens, vectors, hosts	https://bioportal.bioontology.org/ontologies/EUPATH	https://github.com/VEuPathDB-ontology/VEuPathDB-ontology	OWL	Active; OWL release 2023-05-30
PATO	Phenotype And Trait Ontology	General phenotypic qualities used across species	https://obofoundry.org/ontology/pato.html	https://github.com/pato-ontology/pato	OWL, OBO, JSON	Active; Ontobee version 2025-05-14
UPHENO	Unified Phenotype Ontology	Cross-species integration layer for phenotype ontologies	https://obophenotype.github.io/upheno/	https://github.com/obophenotype/upheno	OWL	Active; Ontobee version 2025-01-11; uPheno 2.0 work ongoing
MPO	Microbial Phenotype Ontology (RIKEN)	Microbial phenotypes (alternative MPO)	https://bioportal.bioontology.org/ontologies/MPO	http://purl.jp/bio/10/mpo	OWL	Alpha; BioPortal upload 2014-02-20; version 0.74 alpha (2019-06-07)
YPO	Yeast Phenotype Ontology	Phenotypes of budding yeast (historical)	https://obofoundry.org/ontology/ypo.html	https://www.yeastgenome.org/ontology/phenotype/ypo	OBO/OWL (legacy)	Deprecated; superseded by APO
ARO	Antibiotic Resistance Ontology	AMR genes/mechanisms and associated resistance phenotypes	https://obofoundry.org/ontology/aro.html	https://github.com/arpcard/aro	OWL	Active; BioPortal update 2025-05-30; ongoing CARD integration
OHMI	Ontology of Host–Microbiome Interactions	Host–microbiome entities and relations (phenotype-adjacent)	https://bioportal.bioontology.org/ontologies/OHMI	https://obofoundry.org/ontology/ohmi.html	OWL	Production; last BioPortal upload 2019-09-23
OPL	Ontology for Parasite LifeCycle	Parasite lifecycle stages and context (often co-annotated with phenotypes)	https://bioportal.bioontology.org/ontologies/OPL	https://obofoundry.org/ontology/opl.html	OWL	Active/low-change; BioPortal upload 2023-08-31
METPO	Microbial Ecophysiological Trait & Phenotype Ontology	Microbial ecophysiological traits & phenotypes (preferred/tolerated conditions, etc.)	https://bioportal.bioontology.org/ontologies/METPO	https://github.com/berkeleybop/metpo	OWL	Beta; BioPortal creation 2025-09-23
