p	count
rdfs:label	1012191
https://w3id.org/biolink/vocab/associated_with	12679
https://w3id.org/biolink/vocab/associated_with_resistance_to	5593
https://w3id.org/biolink/vocab/associated_with_sensitivity_to	9729
https://w3id.org/biolink/vocab/capable_of	112085
https://w3id.org/biolink/vocab/category	1012199
https://w3id.org/biolink/vocab/consumes	254218
https://w3id.org/biolink/vocab/has_phenotype	194265
https://w3id.org/biolink/vocab/location_of	624
https://w3id.org/biolink/vocab/occurs_in	53414
https://w3id.org/biolink/vocab/produces	6645
https://w3id.org/biolink/vocab/provided_by	1012198
https://w3id.org/biolink/vocab/subclass_of	1006719
https://w3id.org/biolink/vocab/synonym	101879
https://w3id.org/biolink/vocab/xref	893867
