?s	?count
<http://purl.obolibrary.org/obo/NCBITaxon_562>	203
<http://purl.obolibrary.org/obo/NCBITaxon_1759536>	141
<http://purl.obolibrary.org/obo/NCBITaxon_412384>	133
<http://purl.obolibrary.org/obo/NCBITaxon_287>	129
<http://purl.obolibrary.org/obo/NCBITaxon_1716077>	126
<http://purl.obolibrary.org/obo/NCBITaxon_1156576>	125
<http://purl.obolibrary.org/obo/NCBITaxon_233316>	123
<http://purl.obolibrary.org/obo/NCBITaxon_1280>	122
<http://purl.obolibrary.org/obo/NCBITaxon_1121859>	121
<http://purl.obolibrary.org/obo/NCBITaxon_1962348>	121
<http://purl.obolibrary.org/obo/NCBITaxon_1409>	119
<http://purl.obolibrary.org/obo/NCBITaxon_420404>	119
<http://purl.obolibrary.org/obo/NCBITaxon_529>	118
<http://purl.obolibrary.org/obo/NCBITaxon_615>	117
<http://purl.obolibrary.org/obo/NCBITaxon_1121026>	114
<http://purl.obolibrary.org/obo/NCBITaxon_543890>	113
<http://purl.obolibrary.org/obo/NCBITaxon_1428657>	112
<http://purl.obolibrary.org/obo/NCBITaxon_1639108>	108
<http://purl.obolibrary.org/obo/NCBITaxon_379347>	107
<http://purl.obolibrary.org/obo/NCBITaxon_56055>	107
<http://purl.obolibrary.org/obo/NCBITaxon_1352>	105
<http://purl.obolibrary.org/obo/NCBITaxon_626774>	105
<http://purl.obolibrary.org/obo/NCBITaxon_411153>	105
<http://purl.obolibrary.org/obo/NCBITaxon_1423>	104
<https://www.example.org/UNKNOWN/strain:bacdive_158570>	104
<http://purl.obolibrary.org/obo/NCBITaxon_2182385>	104
<http://purl.obolibrary.org/obo/NCBITaxon_796890>	104
<http://purl.obolibrary.org/obo/NCBITaxon_573>	103
<http://purl.obolibrary.org/obo/NCBITaxon_2044859>	102
<https://www.example.org/UNKNOWN/strain:bacdive_132580>	102
<https://www.example.org/UNKNOWN/strain:bacdive_132550>	101
<http://purl.obolibrary.org/obo/NCBITaxon_320787>	101
<https://www.example.org/UNKNOWN/strain:bacdive_132342>	100
<http://purl.obolibrary.org/obo/NCBITaxon_1840411>	100
<http://purl.obolibrary.org/obo/NCBITaxon_1282>	98
<http://purl.obolibrary.org/obo/NCBITaxon_574349>	98
<http://purl.obolibrary.org/obo/NCBITaxon_1775170>	98
<https://www.example.org/UNKNOWN/strain:bacdive_158543>	97
<http://purl.obolibrary.org/obo/NCBITaxon_1938559>	96
<http://purl.obolibrary.org/obo/NCBITaxon_1349792>	96
<http://purl.obolibrary.org/obo/NCBITaxon_74386>	96
<http://purl.obolibrary.org/obo/NCBITaxon_1755582>	96
<http://purl.obolibrary.org/obo/NCBITaxon_1730526>	95
<http://purl.obolibrary.org/obo/NCBITaxon_1867410>	95
<http://purl.obolibrary.org/obo/NCBITaxon_66371>	95
<http://purl.obolibrary.org/obo/NCBITaxon_470864>	95
<http://purl.obolibrary.org/obo/NCBITaxon_1778675>	94
<http://purl.obolibrary.org/obo/NCBITaxon_1295612>	94
<http://purl.obolibrary.org/obo/NCBITaxon_2305183>	93
<http://purl.obolibrary.org/obo/NCBITaxon_1630594>	93
<http://purl.obolibrary.org/obo/NCBITaxon_217511>	93
<http://purl.obolibrary.org/obo/NCBITaxon_1210932>	93
<http://purl.obolibrary.org/obo/NCBITaxon_1593234>	93
<https://www.example.org/UNKNOWN/strain:bacdive_140994>	93
<http://purl.obolibrary.org/obo/NCBITaxon_1775174>	93
<http://purl.obolibrary.org/obo/NCBITaxon_398743>	93
<http://purl.obolibrary.org/obo/NCBITaxon_28901>	92
<http://purl.obolibrary.org/obo/NCBITaxon_1166323>	92
<http://purl.obolibrary.org/obo/NCBITaxon_1972704>	92
<http://purl.obolibrary.org/obo/NCBITaxon_1121027>	91
<http://purl.obolibrary.org/obo/NCBITaxon_121719>	91
<https://www.example.org/UNKNOWN/strain:bacdive_141013>	91
<http://purl.obolibrary.org/obo/NCBITaxon_2036016>	91
<http://purl.obolibrary.org/obo/NCBITaxon_521158>	91
<http://purl.obolibrary.org/obo/NCBITaxon_1642469>	90
<http://purl.obolibrary.org/obo/NCBITaxon_667676>	90
<https://www.example.org/UNKNOWN/strain:bacdive_158780>	90
<http://purl.obolibrary.org/obo/NCBITaxon_663949>	90
<http://purl.obolibrary.org/obo/NCBITaxon_1850347>	90
<http://purl.obolibrary.org/obo/NCBITaxon_2219225>	90
<http://purl.obolibrary.org/obo/NCBITaxon_1351>	89
<https://www.example.org/UNKNOWN/strain:bacdive_159799>	89
<http://purl.obolibrary.org/obo/NCBITaxon_1928082>	89
<http://purl.obolibrary.org/obo/NCBITaxon_1347891>	89
<http://purl.obolibrary.org/obo/NCBITaxon_1925762>	89
<http://purl.obolibrary.org/obo/NCBITaxon_2086464>	89
<http://purl.obolibrary.org/obo/NCBITaxon_1123015>	89
<http://purl.obolibrary.org/obo/NCBITaxon_1294264>	89
<http://purl.obolibrary.org/obo/NCBITaxon_1742264>	89
<http://purl.obolibrary.org/obo/NCBITaxon_405559>	89
<http://purl.obolibrary.org/obo/NCBITaxon_1563703>	89
<https://www.example.org/UNKNOWN/strain:bacdive_159706>	89
<http://purl.obolibrary.org/obo/NCBITaxon_2202339>	89
<http://purl.obolibrary.org/obo/NCBITaxon_1577474>	89
<http://purl.obolibrary.org/obo/NCBITaxon_2058213>	88
<https://www.example.org/UNKNOWN/strain:bacdive_1878>	88
<https://www.example.org/UNKNOWN/strain:bacdive_140703>	88
<http://purl.obolibrary.org/obo/NCBITaxon_2034155>	88
<http://purl.obolibrary.org/obo/NCBITaxon_379895>	88
<http://purl.obolibrary.org/obo/NCBITaxon_1783498>	88
<http://purl.obolibrary.org/obo/NCBITaxon_348442>	88
<https://www.example.org/UNKNOWN/strain:bacdive_140859>	88
<http://purl.obolibrary.org/obo/NCBITaxon_335476>	87
<https://www.example.org/UNKNOWN/strain:bacdive_140344>	87
<http://purl.obolibrary.org/obo/NCBITaxon_474953>	87
<http://purl.obolibrary.org/obo/NCBITaxon_1130724>	87
<http://purl.obolibrary.org/obo/NCBITaxon_1298598>	87
<http://purl.obolibrary.org/obo/NCBITaxon_1123229>	86
<http://purl.obolibrary.org/obo/NCBITaxon_860221>	86
<http://purl.obolibrary.org/obo/NCBITaxon_388950>	86
<http://purl.obolibrary.org/obo/NCBITaxon_1911570>	86
<https://www.example.org/UNKNOWN/strain:bacdive_2966>	86
<http://purl.obolibrary.org/obo/NCBITaxon_1914757>	86
<http://purl.obolibrary.org/obo/NCBITaxon_1384487>	86
<https://www.example.org/UNKNOWN/strain:bacdive_134150>	86
<http://purl.obolibrary.org/obo/NCBITaxon_266123>	86
<http://purl.obolibrary.org/obo/NCBITaxon_526729>	86
<http://purl.obolibrary.org/obo/NCBITaxon_1071679>	86
<http://purl.obolibrary.org/obo/NCBITaxon_335286>	86
<http://purl.obolibrary.org/obo/NCBITaxon_37734>	85
<http://purl.obolibrary.org/obo/NCBITaxon_1655232>	85
<https://www.example.org/UNKNOWN/strain:bacdive_133397>	85
<http://purl.obolibrary.org/obo/NCBITaxon_551989>	85
<http://purl.obolibrary.org/obo/NCBITaxon_1748367>	85
<http://purl.obolibrary.org/obo/NCBITaxon_633417>	85
<http://purl.obolibrary.org/obo/NCBITaxon_940614>	85
<http://purl.obolibrary.org/obo/NCBITaxon_58172>	84
<http://purl.obolibrary.org/obo/NCBITaxon_1775167>	84
<http://purl.obolibrary.org/obo/NCBITaxon_438595>	84
<http://purl.obolibrary.org/obo/NCBITaxon_73010>	84
<http://purl.obolibrary.org/obo/NCBITaxon_1548213>	84
<http://purl.obolibrary.org/obo/NCBITaxon_1267769>	84
<http://purl.obolibrary.org/obo/NCBITaxon_467180>	84
<http://purl.obolibrary.org/obo/NCBITaxon_2126346>	84
<http://purl.obolibrary.org/obo/NCBITaxon_1185766>	84
<http://purl.obolibrary.org/obo/NCBITaxon_1270>	83
<http://purl.obolibrary.org/obo/NCBITaxon_1408>	83
<http://purl.obolibrary.org/obo/NCBITaxon_59201>	83
<http://purl.obolibrary.org/obo/NCBITaxon_550>	83
<http://purl.obolibrary.org/obo/NCBITaxon_1858656>	83
<http://purl.obolibrary.org/obo/NCBITaxon_371601>	83
<https://www.example.org/UNKNOWN/strain:bacdive_17719>	83
<http://purl.obolibrary.org/obo/NCBITaxon_940615>	83
<http://purl.obolibrary.org/obo/NCBITaxon_542300>	83
<https://www.example.org/UNKNOWN/strain:bacdive_532>	83
<http://purl.obolibrary.org/obo/NCBITaxon_1915382>	83
<https://www.example.org/UNKNOWN/strain:bacdive_158494>	83
<http://purl.obolibrary.org/obo/NCBITaxon_217204>	82
<http://purl.obolibrary.org/obo/NCBITaxon_2027858>	82
<http://purl.obolibrary.org/obo/NCBITaxon_70856>	82
<http://purl.obolibrary.org/obo/NCBITaxon_285091>	82
<http://purl.obolibrary.org/obo/NCBITaxon_946336>	82
<http://purl.obolibrary.org/obo/NCBITaxon_531814>	82
<http://purl.obolibrary.org/obo/NCBITaxon_474949>	82
<http://purl.obolibrary.org/obo/NCBITaxon_512382>	82
<http://purl.obolibrary.org/obo/NCBITaxon_1807691>	82
<http://purl.obolibrary.org/obo/NCBITaxon_2083203>	82
<http://purl.obolibrary.org/obo/NCBITaxon_1836499>	82
<http://purl.obolibrary.org/obo/NCBITaxon_1314>	81
<http://purl.obolibrary.org/obo/NCBITaxon_1396>	81
<http://purl.obolibrary.org/obo/NCBITaxon_358>	81
<http://purl.obolibrary.org/obo/NCBITaxon_1494429>	81
<https://www.example.org/UNKNOWN/strain:bacdive_159701>	81
<http://purl.obolibrary.org/obo/NCBITaxon_237679>	81
<http://purl.obolibrary.org/obo/NCBITaxon_1684789>	81
<https://www.example.org/UNKNOWN/strain:bacdive_140499>	81
<https://www.example.org/UNKNOWN/strain:bacdive_140867>	81
<http://purl.obolibrary.org/obo/NCBITaxon_1560006>	81
<http://purl.obolibrary.org/obo/NCBITaxon_1763883>	81
<http://purl.obolibrary.org/obo/NCBITaxon_664787>	81
<http://purl.obolibrary.org/obo/NCBITaxon_1931>	80
<http://purl.obolibrary.org/obo/NCBITaxon_633415>	80
<http://purl.obolibrary.org/obo/NCBITaxon_670>	80
<http://purl.obolibrary.org/obo/NCBITaxon_315405>	80
<http://purl.obolibrary.org/obo/NCBITaxon_1796906>	80
<http://purl.obolibrary.org/obo/NCBITaxon_886293>	80
<http://purl.obolibrary.org/obo/NCBITaxon_462991>	80
<http://purl.obolibrary.org/obo/NCBITaxon_1872678>	80
<http://purl.obolibrary.org/obo/NCBITaxon_525373>	80
<https://www.example.org/UNKNOWN/strain:bacdive_133177>	80
<http://purl.obolibrary.org/obo/NCBITaxon_531815>	80
<http://purl.obolibrary.org/obo/NCBITaxon_1121483>	80
<http://purl.obolibrary.org/obo/NCBITaxon_512383>	80
<http://purl.obolibrary.org/obo/NCBITaxon_1630595>	79
<http://purl.obolibrary.org/obo/NCBITaxon_48076>	79
<http://purl.obolibrary.org/obo/NCBITaxon_2035343>	79
<http://purl.obolibrary.org/obo/NCBITaxon_1158459>	79
<http://purl.obolibrary.org/obo/NCBITaxon_2058179>	79
<http://purl.obolibrary.org/obo/NCBITaxon_1857024>	79
<http://purl.obolibrary.org/obo/NCBITaxon_1914755>	79
<http://purl.obolibrary.org/obo/NCBITaxon_1216008>	79
<http://purl.obolibrary.org/obo/NCBITaxon_991>	79
<http://purl.obolibrary.org/obo/NCBITaxon_1215100>	79
<http://purl.obolibrary.org/obo/NCBITaxon_1507448>	79
<https://www.example.org/UNKNOWN/strain:bacdive_133410>	79
<http://purl.obolibrary.org/obo/NCBITaxon_915099>	79
<http://purl.obolibrary.org/obo/NCBITaxon_1121106>	79
<http://purl.obolibrary.org/obo/NCBITaxon_2202421>	79
<http://purl.obolibrary.org/obo/NCBITaxon_291045>	79
<http://purl.obolibrary.org/obo/NCBITaxon_1949069>	79
<http://purl.obolibrary.org/obo/NCBITaxon_648>	78
<http://purl.obolibrary.org/obo/NCBITaxon_396013>	78
<http://purl.obolibrary.org/obo/NCBITaxon_686624>	78
<http://purl.obolibrary.org/obo/NCBITaxon_328412>	78
<http://purl.obolibrary.org/obo/NCBITaxon_1117647>	78
<http://purl.obolibrary.org/obo/NCBITaxon_1121349>	78
<http://purl.obolibrary.org/obo/NCBITaxon_410837>	78
<http://purl.obolibrary.org/obo/NCBITaxon_2917965>	78
<http://purl.obolibrary.org/obo/NCBITaxon_202261>	78
<http://purl.obolibrary.org/obo/NCBITaxon_370976>	78
<http://purl.obolibrary.org/obo/NCBITaxon_1076620>	78
<http://purl.obolibrary.org/obo/NCBITaxon_474950>	78
<http://purl.obolibrary.org/obo/NCBITaxon_1281780>	78
<https://www.example.org/UNKNOWN/strain:bacdive_1290>	78
<http://purl.obolibrary.org/obo/NCBITaxon_471854>	78
<https://www.example.org/UNKNOWN/strain:bacdive_162600>	78
<http://purl.obolibrary.org/obo/NCBITaxon_1076549>	78
<http://purl.obolibrary.org/obo/NCBITaxon_298>	77
<http://purl.obolibrary.org/obo/NCBITaxon_649349>	77
<http://purl.obolibrary.org/obo/NCBITaxon_1163748>	77
<http://purl.obolibrary.org/obo/NCBITaxon_1710544>	77
<http://purl.obolibrary.org/obo/NCBITaxon_1812349>	77
<http://purl.obolibrary.org/obo/NCBITaxon_748008>	77
<https://www.example.org/UNKNOWN/strain:bacdive_132975>	77
<http://purl.obolibrary.org/obo/NCBITaxon_1303677>	77
<http://purl.obolibrary.org/obo/NCBITaxon_1502156>	77
<http://purl.obolibrary.org/obo/NCBITaxon_1445661>	77
<http://purl.obolibrary.org/obo/NCBITaxon_863227>	77
<http://purl.obolibrary.org/obo/NCBITaxon_444444>	77
<http://purl.obolibrary.org/obo/NCBITaxon_1313>	76
<http://purl.obolibrary.org/obo/NCBITaxon_881260>	76
<https://www.example.org/UNKNOWN/strain:bacdive_133413>	76
<http://purl.obolibrary.org/obo/NCBITaxon_1867956>	76
<http://purl.obolibrary.org/obo/NCBITaxon_288004>	76
<http://purl.obolibrary.org/obo/NCBITaxon_1815558>	76
<http://purl.obolibrary.org/obo/NCBITaxon_470815>	76
<http://purl.obolibrary.org/obo/NCBITaxon_1187080>	76
<https://www.example.org/UNKNOWN/strain:bacdive_133415>	76
<http://purl.obolibrary.org/obo/NCBITaxon_1631968>	76
<https://www.example.org/UNKNOWN/strain:bacdive_133067>	76
<https://www.example.org/UNKNOWN/strain:bacdive_166347>	76
<http://purl.obolibrary.org/obo/NCBITaxon_2771362>	76
<http://purl.obolibrary.org/obo/NCBITaxon_1737446>	76
<https://www.example.org/UNKNOWN/strain:bacdive_166435>	76
<http://purl.obolibrary.org/obo/NCBITaxon_2067813>	76
<http://purl.obolibrary.org/obo/NCBITaxon_1768011>	76
<http://purl.obolibrary.org/obo/NCBITaxon_1549850>	76
<https://www.example.org/UNKNOWN/strain:bacdive_133161>	76
<https://www.example.org/UNKNOWN/strain:bacdive_158623>	76
<http://purl.obolibrary.org/obo/NCBITaxon_2056779>	76
<http://purl.obolibrary.org/obo/NCBITaxon_1759464>	76
<http://purl.obolibrary.org/obo/NCBITaxon_40324>	75
<http://purl.obolibrary.org/obo/NCBITaxon_1574624>	75
<http://purl.obolibrary.org/obo/NCBITaxon_479117>	75
<http://purl.obolibrary.org/obo/NCBITaxon_1354>	75
<http://purl.obolibrary.org/obo/NCBITaxon_1855912>	75
<http://purl.obolibrary.org/obo/NCBITaxon_1133364>	75
<http://purl.obolibrary.org/obo/NCBITaxon_1812810>	75
<http://purl.obolibrary.org/obo/NCBITaxon_252307>	75
<http://purl.obolibrary.org/obo/NCBITaxon_1123061>	75
<http://purl.obolibrary.org/obo/NCBITaxon_1043205>	75
<http://purl.obolibrary.org/obo/NCBITaxon_1911536>	75
<http://purl.obolibrary.org/obo/NCBITaxon_393662>	75
<https://www.example.org/UNKNOWN/strain:bacdive_1770>	75
<http://purl.obolibrary.org/obo/NCBITaxon_758826>	75
<http://purl.obolibrary.org/obo/NCBITaxon_1355755>	75
<http://purl.obolibrary.org/obo/NCBITaxon_866536>	75
<http://purl.obolibrary.org/obo/NCBITaxon_1619310>	75
<https://www.example.org/UNKNOWN/strain:bacdive_159836>	74
<http://purl.obolibrary.org/obo/NCBITaxon_1730378>	74
<http://purl.obolibrary.org/obo/NCBITaxon_863522>	74
<http://purl.obolibrary.org/obo/NCBITaxon_1494430>	74
<http://purl.obolibrary.org/obo/NCBITaxon_2233776>	74
<https://www.example.org/UNKNOWN/strain:bacdive_24046>	74
<http://purl.obolibrary.org/obo/NCBITaxon_2161747>	74
<http://purl.obolibrary.org/obo/NCBITaxon_1618207>	73
<http://purl.obolibrary.org/obo/NCBITaxon_1123501>	73
<http://purl.obolibrary.org/obo/NCBITaxon_592376>	73
<http://purl.obolibrary.org/obo/NCBITaxon_1619308>	73
<http://purl.obolibrary.org/obo/NCBITaxon_332101>	73
<https://www.example.org/UNKNOWN/strain:bacdive_159762>	73
<http://purl.obolibrary.org/obo/NCBITaxon_1776033>	73
<http://purl.obolibrary.org/obo/NCBITaxon_1122929>	73
<http://purl.obolibrary.org/obo/NCBITaxon_419474>	73
<http://purl.obolibrary.org/obo/NCBITaxon_438744>	73
<http://purl.obolibrary.org/obo/NCBITaxon_1921578>	73
<https://www.example.org/UNKNOWN/strain:bacdive_133248>	73
<http://purl.obolibrary.org/obo/NCBITaxon_2055905>	73
<http://purl.obolibrary.org/obo/NCBITaxon_393267>	73
<http://purl.obolibrary.org/obo/NCBITaxon_474951>	73
<http://purl.obolibrary.org/obo/NCBITaxon_571932>	73
<http://purl.obolibrary.org/obo/NCBITaxon_1227947>	73
<https://www.example.org/UNKNOWN/strain:bacdive_140918>	73
<http://purl.obolibrary.org/obo/NCBITaxon_1563158>	73
<http://purl.obolibrary.org/obo/NCBITaxon_225845>	73
<http://purl.obolibrary.org/obo/NCBITaxon_1424080>	73
<http://purl.obolibrary.org/obo/NCBITaxon_1644124>	73
<http://purl.obolibrary.org/obo/NCBITaxon_1524924>	73
<http://purl.obolibrary.org/obo/NCBITaxon_880070>	73
<http://purl.obolibrary.org/obo/NCBITaxon_396015>	72
<http://purl.obolibrary.org/obo/NCBITaxon_33941>	72
<http://purl.obolibrary.org/obo/NCBITaxon_1597969>	72
<http://purl.obolibrary.org/obo/NCBITaxon_591962>	72
<http://purl.obolibrary.org/obo/NCBITaxon_271417>	72
<http://purl.obolibrary.org/obo/NCBITaxon_516702>	72
<https://www.example.org/UNKNOWN/strain:bacdive_140527>	72
<http://purl.obolibrary.org/obo/NCBITaxon_547018>	72
<http://purl.obolibrary.org/obo/NCBITaxon_344736>	72
<http://purl.obolibrary.org/obo/NCBITaxon_1706838>	72
<http://purl.obolibrary.org/obo/NCBITaxon_1658519>	72
<http://purl.obolibrary.org/obo/NCBITaxon_1295137>	72
<http://purl.obolibrary.org/obo/NCBITaxon_363868>	72
<http://purl.obolibrary.org/obo/NCBITaxon_938405>	72
<http://purl.obolibrary.org/obo/NCBITaxon_640948>	72
<https://www.example.org/UNKNOWN/strain:bacdive_140981>	72
<http://purl.obolibrary.org/obo/NCBITaxon_578693>	72
<http://purl.obolibrary.org/obo/NCBITaxon_1207039>	72
<http://purl.obolibrary.org/obo/NCBITaxon_1705607>	72
<http://purl.obolibrary.org/obo/NCBITaxon_627680>	72
