sc,p,oc,count
,https://w3id.org/biolink/vocab/knowledge_source,,"""2960471""^^xsd:integer"
,https://w3id.org/biolink/vocab/primary_knowledge_source,,"""1141101""^^xsd:integer"
,https://w3id.org/biolink/vocab/relation,,"""2964185""^^xsd:integer"
https://w3id.org/biolink/vocab/ActivityAndBehavior,https://w3id.org/biolink/vocab/category,,"""12""^^xsd:integer"
https://w3id.org/biolink/vocab/ActivityAndBehavior,https://w3id.org/biolink/vocab/provided_by,,"""6""^^xsd:integer"
https://w3id.org/biolink/vocab/AnatomicalEntity,https://w3id.org/biolink/vocab/category,,"""600""^^xsd:integer"
https://w3id.org/biolink/vocab/AnatomicalEntity,https://w3id.org/biolink/vocab/location_of,https://w3id.org/biolink/vocab/OrganismTaxon,"""1763""^^xsd:integer"
https://w3id.org/biolink/vocab/AnatomicalEntity,https://w3id.org/biolink/vocab/provided_by,,"""596""^^xsd:integer"
https://w3id.org/biolink/vocab/AnatomicalEntity,https://w3id.org/biolink/vocab/related_to,https://w3id.org/biolink/vocab/AnatomicalEntity,"""631""^^xsd:integer"
https://w3id.org/biolink/vocab/AnatomicalEntity,https://w3id.org/biolink/vocab/related_to,https://w3id.org/biolink/vocab/EnvironmentalFeature,"""8""^^xsd:integer"
https://w3id.org/biolink/vocab/AnatomicalEntity,https://w3id.org/biolink/vocab/subclass_of,https://w3id.org/biolink/vocab/AnatomicalEntity,"""839""^^xsd:integer"
https://w3id.org/biolink/vocab/AnatomicalEntity,https://w3id.org/biolink/vocab/subclass_of,https://w3id.org/biolink/vocab/EnvironmentalFeature,"""9""^^xsd:integer"
https://w3id.org/biolink/vocab/AnatomicalEntity,https://w3id.org/biolink/vocab/subclass_of,https://w3id.org/biolink/vocab/OntologyClass,"""34""^^xsd:integer"
https://w3id.org/biolink/vocab/AnatomicalEntity,https://w3id.org/biolink/vocab/synonym,,"""1839""^^xsd:integer"
https://w3id.org/biolink/vocab/Attribute,https://w3id.org/biolink/vocab/category,,"""3""^^xsd:integer"
https://w3id.org/biolink/vocab/Attribute,https://w3id.org/biolink/vocab/provided_by,,"""3""^^xsd:integer"
https://w3id.org/biolink/vocab/BiologicalProcess,https://w3id.org/biolink/vocab/capable_of,https://w3id.org/biolink/vocab/BiologicalProcess,"""2""^^xsd:integer"
https://w3id.org/biolink/vocab/BiologicalProcess,https://w3id.org/biolink/vocab/category,,"""42618""^^xsd:integer"
https://w3id.org/biolink/vocab/BiologicalProcess,https://w3id.org/biolink/vocab/deprecated,,"""4531""^^xsd:integer"
