id,medium_id,substance_id,substance_name,amount,unit_id,units,note,synonym
1,Trypticase soy agar,CHEBI:17634,#NAME?,2.5,UO_0000021,g,,
2,Trypticase soy agar,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
3,Trypticase soy agar,CHEBI:26710,#NAME?,5,UO_0000021,g,,
4,Trypticase soy agar,N4L.m_p:00004,"Potassium phosphate, dibasic",2.5,UO_0000021,g,,
5,Trypticase soy agar,N4L.m_p:00002,Casitone™ (pancreatic digest of casein),17,UO_0000021,g,,
6,Trypticase soy agar,N4L.m_p:00003,Phytone™ enzymatic digest of soybean meal,3,UO_0000021,g,,
7,Trypticase soy agar (BD & Neogen),N4L.m_p:00002,Casitone™ (pancreatic digest of casein),15,UO_0000021,g,,
8,Trypticase soy agar (BD & Neogen),N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
9,Trypticase soy agar (BD & Neogen),N4L.m_p:00003,Phytone™ enzymatic digest of soybean meal,5,UO_0000021,g,,
10,Trypticase soy agar (BD & Neogen),CHEBI:26710,#NAME?,5,UO_0000021,g,,
11,Trypticase soy agar with NaCl,CHEBI:26710,#NAME?,>5,UO_0000021,g,add 1 g for each .1% NaCl ,
12,Trypticase soy broth,CHEBI:17634,#NAME?,2.5,UO_0000021,g,,
13,Trypticase soy broth,CHEBI:26710,#NAME?,5,UO_0000021,g,,
14,Trypticase soy broth,N4L.m_p:00004,"Potassium phosphate, dibasic",2.5,UO_0000021,g,,
15,Trypticase soy broth,N4L.m_p:00002,Casitone™ (pancreatic digest of casein),17,UO_0000021,g,,
16,Trypticase soy broth,N4L.m_p:00003,Phytone™ enzymatic digest of soybean meal,3,UO_0000021,g,,
17,triple sugar iron agar,N4L.m_p:00001,Bacto™ agar,13,UO_0000021,g,12 in difco,
18,triple sugar iron agar,N4L.m_p:00002,Casitone™ (pancreatic digest of casein),10,UO_0000021,g,,
19,triple sugar iron agar,N4L.m_p:00005,Peptic digest of animal tissue (peptone A),10,UO_0000021,g,,
20,triple sugar iron agar,CHEBI:17716,#NAME?,10,UO_0000021,g,,
21,triple sugar iron agar,CHEBI:17992,#NAME?,10,UO_0000021,g,,
22,triple sugar iron agar,CHEBI:26710,#NAME?,5,UO_0000021,g,,
23,triple sugar iron agar,CHEBI:17634,#NAME?,1,UO_0000021,g,1g dextrose in difco,
24,triple sugar iron agar,N4L.m_p:00007,Ammonium iron(II) sulfate hexahydrate,0.2,UO_0000021,g,ferrous sulfate in difco,
25,triple sugar iron agar,N4L.m_p:00008,Sodium thiosulfate,0.2,UO_0000021,g,.3g in difco,
26,triple sugar iron agar,CHEBI:31991,#NAME?,0.025,UO_0000021,g,.024g in difco,
27,R2A agar,N4L.m_p:00001,Bacto™ agar,15,UO_0000021,g,,
28,R2A agar,N4L.m_p:00006,Yeast extract,0.5,UO_0000021,g,,
29,R2A agar,N4L.m_p:00021,Acidicase™ Peptone,0.5,UO_0000021,g,,
30,R2A agar,CHEBI:17634,#NAME?,0.5,UO_0000021,g,,
31,R2A agar,N4L.m_p:00009,Soluble starch,0.5,UO_0000021,g,,
32,R2A agar,N4L.m_p:00004,"Potassium phosphate, dibasic",0.3,UO_0000021,g,,
33,R2A agar,CHEBI:50144,#NAME?,0.3,UO_0000021,g,,
34,R2A agar,N4L.m_p:00002,Casitone™ (pancreatic digest of casein),0.25,UO_0000021,g,,
35,R2A agar,N4L.m_p:00005,Peptic digest of animal tissue (peptone A),0.25,UO_0000021,g,,
36,R2A agar,CHEBI:32599,#NAME?,0.024,UO_0000021,g,anhydrous,
