provenance,original_subject,organism,predicate,raw_text
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/Sheet2,http://example.com/n4l/nm.13780,http://purl.obolibrary.org/obo/NCBITaxon_415849,http://example.com/n4l/na_cl_(grows),0–2 %
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2389_nm.11254,http://purl.obolibrary.org/obo/NCBITaxon_416016,http://example.com/n4l/na_cl_range,0–2 %
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2300_nm.9703,http://purl.obolibrary.org/obo/NCBITaxon_311194,http://example.com/n4l/na_cl_(does_not_grow),0.5% and 21%
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet2,http://example.com/n4l/rid.2462_nm.11375,http://purl.obolibrary.org/obo/NCBITaxon_430684,http://example.com/n4l/na_cl_(does_not_grow),more than 7 %
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.7157_nm.6166,http://purl.obolibrary.org/obo/NCBITaxon_84757,http://example.com/n4l/na_cl_range,up to 4% (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.4384_nm.8143,http://purl.obolibrary.org/obo/NCBITaxon_59600,http://example.com/n4l/na_cl_optimum,0.02
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/1000_proto_proj,http://example.com/n4l/rid.9216_nm.14469,http://purl.obolibrary.org/obo/NCBITaxon_516700,http://example.com/n4l/na_cl_range,"Moderately halophilic, 0.5-25.0% (w/v)"
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2765_nm.5211,http://purl.obolibrary.org/obo/NCBITaxon_114975,http://example.com/n4l/na_cl_(does_not_grow),more than 14%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/1000_proto_proj,http://example.com/n4l/rid.1734_nm.24412,http://purl.obolibrary.org/obo/NCBITaxon_225985,http://example.com/n4l/na_cl_(grows),0.15
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/1000_proto_proj,http://example.com/n4l/rid.8596_nm.13560,http://purl.obolibrary.org/obo/NCBITaxon_444922,http://example.com/n4l/na_cl_range,2%-5%(w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet2,http://example.com/n4l/rid.2784_nm.5995,http://purl.obolibrary.org/obo/NCBITaxon_111564,http://example.com/n4l/na_cl_(grows),up to 3.0%
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet2,http://example.com/n4l/rid.2590_nm.11522,http://purl.obolibrary.org/obo/NCBITaxon_396322,http://example.com/n4l/na_cl_optimum,6–10 g/L−1
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet3,http://example.com/n4l/nm.4589,http://purl.obolibrary.org/obo/NCBITaxon_42422,http://example.com/n4l/na_cl_optimum,1.5–2.6 M
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2817_nm.9373,http://purl.obolibrary.org/obo/NCBITaxon_269261,http://example.com/n4l/na_cl_range,15–35 g L-1
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.9475_nm.14617,http://purl.obolibrary.org/obo/NCBITaxon_181070,http://example.com/n4l/na_cl_optimum,0.5% (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2496_nm.11429,http://purl.obolibrary.org/obo/NCBITaxon_332095,http://example.com/n4l/na_cl_optimum,20–30 g l−1
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.13487_nm.7926,http://purl.obolibrary.org/obo/NCBITaxon_35839,http://example.com/n4l/na_cl_range,1-15 g/l NaCl
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.8564_nm.13798,http://purl.obolibrary.org/obo/NCBITaxon_392736,http://example.com/n4l/na_cl_(does_not_grow),0.02
http://example.com/n4l/protolog_normalization_categories_with_1000_DB.xlsx/Sheet3,http://example.com/n4l/nm.25453,http://purl.obolibrary.org/obo/NCBITaxon_1168034,http://example.com/n4l/na_cl_range,1–7% (w/v)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/Sheet2,http://example.com/n4l/nm.2482,http://purl.obolibrary.org/obo/NCBITaxon_59754,http://example.com/n4l/na_cl_optimum,between 3 and 10%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.154_nm.1608,http://purl.obolibrary.org/obo/NCBITaxon_34017,http://example.com/n4l/na_cl_range,2 to 8%
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/EffectRIDProtos%28rid.2300_up%29,http://example.com/n4l/rid.2398_nm.10812,http://purl.obolibrary.org/obo/NCBITaxon_1599,http://example.com/n4l/na_cl_(grows),10% (most strains)
http://example.com/n4l/protolog_normalization_categories_with_1000_KMP.xlsx/All%28Sheet1%2C2%2C3%29,http://example.com/n4l/rid.14415_nm.13730,http://purl.obolibrary.org/obo/NCBITaxon_453852,http://example.com/n4l/na_cl_range,0-15%
