split_from,part_index,label_segment,count,verb_3sg,consumes,produces,qualifiers,has_quality,participates_in
"sulfide_oxidation, denitrification",1,denitrification,6,,,,,,denitrification
"hydrocarbon_degradation, Denitrification",1,Denitrification,12,,,,,,denitrification
"sulfur_oxidation, denitrification",1,denitrification,4,,,,,,denitrification
Denitrification,0,Denitrification,468,,,,,,denitrification
"Denitrification, hydrocarbon_degradation, nitrate_reduction",0,Denitrification,1,,,,,,denitrification
denitrification,0,denitrification,657,,,,,,denitrification
"nitrification, Denitrification, nitrification",1,Denitrification,3,,,,,,denitrification
"thiosulfate_oxidation, denitrification",1,denitrification,4,,,,,,denitrification
"acetogenesis, fermentation",1,fermentation,2,,,,,,fermentation
fermentation,0,fermentation,2509,,,,,,fermentation
"fermentation, iron_reduction, fermentation",0,fermentation,1,,,,,,fermentation
"fermentation, iron_reduction, fermentation",2,fermentation,1,,,,,,fermentation
"fermentation, fermentation, arsenate_reduction",0,fermentation,14,,,,,,fermentation
"fermentation, fermentation, arsenate_reduction",1,fermentation,14,,,,,,fermentation
"cellulose_degradation, fermentation",1,fermentation,4,,,,,,fermentation
ligninolysis,0,ligninolysis,68,,,,,,ligninolysis
"autotrophy, nitrification, nitrite_oxidation",1,nitrification,1,,,,,autotrophic,nitrification
"nitrification, autotrophy, nitrification",0,nitrification,1,,,,,autotrophic,nitrification
"nitrification, autotrophy, nitrification",2,nitrification,1,,,,,autotrophic,nitrification
"autotrophy, nitrification",1,nitrification,1,,,,,autotrophic,nitrification
nitrification,0,nitrification,63,,,,,,nitrification
"nitrification, nitrification",0,nitrification,10,,,,,,nitrification
"nitrification, nitrification",1,nitrification,10,,,,,,nitrification
"nitrification, Denitrification, nitrification",0,nitrification,3,,,,,,nitrification
"nitrification, Denitrification, nitrification",2,nitrification,3,,,,,,nitrification
aerobic_anoxygenic_phototrophy,0,aerobic_anoxygenic_phototrophy,136,,,,,"aerobic, aerobic anoxygenic phototrophic",
aerobic_heterotrophy,0,aerobic_heterotrophy,30,,,,aerobic heterotrophic,"aerobic, heterotrophic",
aerobic_chemo_heterotrophy,0,aerobic_chemo_heterotrophy,1000,,,,aerobic chemo heterotrophic,"aerobic, heterotrophic, chemoheterotrophic",
anoxygenic_photoautotrophy,0,anoxygenic_photoautotrophy,71,,,,,"anoxygenic photoautotrophic, photoautotrophic",
"acetogenesis, autotrophy",0,acetogenesis,23,,,acetate,,autotrophic,
autotrophy,0,autotrophy,30,,,,,autotrophic,
"autotrophy, nitrification, nitrite_oxidation",0,autotrophy,1,,,,,autotrophic,
"autotrophy, iron_oxidation, sulfur_oxidation",0,autotrophy,1,,,,,autotrophic,
"autotrophy, sulfur_oxidation",0,autotrophy,2,,,,,autotrophic,
"acetogenesis, autotrophy",1,autotrophy,23,,,,,autotrophic,
"nitrification, autotrophy, nitrification",1,autotrophy,1,,,,,autotrophic,
"autotrophy, nitrogen_fixation",0,autotrophy,6,,,,,autotrophic,
"autotrophy, nitrification",0,autotrophy,1,,,,,autotrophic,
methylotrophy,0,methylotrophy,70,,,,,methylotrophic,
photoautotrophy,0,photoautotrophy,68,,,,,photoautotrophic,
photoheterotrophy,0,photoheterotrophy,124,,,,,photoheterotrophic,
anoxygenic_photoautotrophy_hydrogen_oxidation,0,anoxygenic_photoautotrophy_hydrogen_oxidation,58,oxidizes,hydrogen,,anoxygenic photoautotrophy,,
anoxygenic_photoautotrophy_iron_oxidation,0,anoxygenic_photoautotrophy_iron_oxidation,10,oxidizes,iron,,anoxygenic photoautotrophy,,
anoxygenic_photoautotrophy_sulfur_oxidation,0,anoxygenic_photoautotrophy_sulfur_oxidation,106,oxidizes,sulfur,,anoxygenic photoautotrophy,,
sulfur_compound_oxidation_dark,0,sulfur_compound_oxidation_dark,5,oxidizes,sulfur compound,,dark,,
sulfide_oxidation_dark,0,sulfide_oxidation_dark,74,,,,dark,,
thiosulfate_oxidation_dark,0,thiosulfate_oxidation_dark,162,,,,dark,,
sulfur_oxidation_dark,0,sulfur_oxidation_dark,96,,,,dark,,
