?p	?o
<http://www.w3.org/1999/02/22-rdf-syntax-ns#type>	<http://example.com/n4l_metpo/organism>
<http://www.w3.org/2002/07/owl#sameAs>	<http://example.com/n4l/nm.8094>
<http://www.w3.org/2002/07/owl#sameAs>	<http://example.com/n4l/rid.1156_nm.8274>
<http://www.w3.org/2002/07/owl#sameAs>	<http://example.com/n4l/rid.240_nm.8094>
<http://www.w3.org/2002/07/owl#sameAs>	<http://example.com/n4l/nm.8274>
<http://www.w3.org/2002/07/owl#sameAs>	<http://purl.obolibrary.org/obo/NCBITaxon_991>
<http://example.com/n4l/note>	Effective protolog reference.
<http://example.com/n4l/isolation_source>	from the gills of a diseased salmon.
<http://example.com/n4l/temperature_optimum>	"20°C"
<http://example.com/n4l/temperature_optimum>	"20-30 °C"
<http://example.com/n4l/temperature_optimum>	<http://example.org/pg/13fd99cb-a3cf-47f7-9934-cd38a2b5cbcd>
<http://example.com/n4l/temperature_optimum>	<http://example.org/pg/dddc0107-d9d7-4864-aaa0-1e1f1c295b05>
<http://example.com/n4l/temperature_optimum>	<http://example.org/pg/1fc99dce-94b6-4111-955a-eb31765b14b0>
<http://example.com/n4l/temperature_optimum>	<http://example.org/pg/54960b90-2500-41bd-b740-87df7f526282>
<http://example.com/n4l/colony_shape>	circularm (Flat, thin)
<http://example.com/n4l/colony_margin>	entire, wavy,
<http://example.com/n4l/name_id>	nm.8094
<http://example.com/n4l/name_id>	nm.8274
<http://example.com/n4l/positive_enzyme_activities>	cytochrome oxidase, catalase,
<http://example.com/n4l/positive_enzyme_activities>	Catalase, Deoxyribonuclease, indoxyl acetate esterase,
<http://example.com/n4l/cellular_morphology_(shape)>	rods, parallel/irregular rods, rounded/tapered ends,
<http://example.com/n4l/cellular_morphology_(shape)>	Flexible rods, elongated, coccoid
<http://example.com/n4l/motility>	motile by gliding
<http://example.com/n4l/motility>	Motile by gliding
<http://example.com/n4l/cellular_morphology_(dimension_1)>	"2-5 μm"
<http://example.com/n4l/cellular_morphology_(dimension_1)>	"0.5 to 0.75 μm"
<http://example.com/n4l/type_strain_designation>	Strain N
<http://example.com/n4l/name>	Flavobacterium hydatis
<http://example.com/n4l/name>	Cytophaga aquatilis
