?n	?count
<http://purl.obolibrary.org/obo/NCBITaxon_66429>	1863
<http://purl.obolibrary.org/obo/NCBITaxon_40324>	1398
<http://purl.obolibrary.org/obo/NCBITaxon_1710>	1190
<http://purl.obolibrary.org/obo/NCBITaxon_55404>	1106
<http://purl.obolibrary.org/obo/NCBITaxon_984>	980
<http://purl.obolibrary.org/obo/NCBITaxon_1888>	864
<http://purl.obolibrary.org/obo/NCBITaxon_36823>	840
<http://purl.obolibrary.org/obo/NCBITaxon_2751>	830
<http://purl.obolibrary.org/obo/NCBITaxon_106592>	825
<http://purl.obolibrary.org/obo/NCBITaxon_145262>	810
<http://purl.obolibrary.org/obo/NCBITaxon_408>	810
<http://purl.obolibrary.org/obo/NCBITaxon_436>	780
<http://purl.obolibrary.org/obo/NCBITaxon_43767>	775
<http://purl.obolibrary.org/obo/NCBITaxon_84110>	768
<http://purl.obolibrary.org/obo/NCBITaxon_33034>	756
<http://purl.obolibrary.org/obo/NCBITaxon_59732>	735
<http://purl.obolibrary.org/obo/NCBITaxon_83986>	725
<http://purl.obolibrary.org/obo/NCBITaxon_29466>	690
<http://purl.obolibrary.org/obo/NCBITaxon_28115>	684
<http://purl.obolibrary.org/obo/NCBITaxon_43595>	680
<http://purl.obolibrary.org/obo/NCBITaxon_1275>	680
<http://purl.obolibrary.org/obo/NCBITaxon_34086>	660
<http://purl.obolibrary.org/obo/NCBITaxon_23>	657
<http://purl.obolibrary.org/obo/NCBITaxon_28258>	655
<http://purl.obolibrary.org/obo/NCBITaxon_363408>	645
<http://purl.obolibrary.org/obo/NCBITaxon_28095>	645
<http://purl.obolibrary.org/obo/NCBITaxon_28092>	640
<http://purl.obolibrary.org/obo/NCBITaxon_77097>	630
<http://purl.obolibrary.org/obo/NCBITaxon_1727>	625
<http://purl.obolibrary.org/obo/NCBITaxon_669>	615
<http://purl.obolibrary.org/obo/NCBITaxon_13264>	603
<http://purl.obolibrary.org/obo/NCBITaxon_2035>	600
<http://purl.obolibrary.org/obo/NCBITaxon_103836>	595
<http://purl.obolibrary.org/obo/NCBITaxon_561184>	595
<http://purl.obolibrary.org/obo/NCBITaxon_46171>	595
<http://purl.obolibrary.org/obo/NCBITaxon_159>	582
<http://purl.obolibrary.org/obo/NCBITaxon_28448>	580
<http://purl.obolibrary.org/obo/NCBITaxon_28119>	580
<http://purl.obolibrary.org/obo/NCBITaxon_285560>	580
<http://purl.obolibrary.org/obo/NCBITaxon_1382>	579
<http://purl.obolibrary.org/obo/NCBITaxon_2242>	550
<http://purl.obolibrary.org/obo/NCBITaxon_310300>	548
<http://purl.obolibrary.org/obo/NCBITaxon_2061>	546
<http://purl.obolibrary.org/obo/NCBITaxon_292800>	544
<http://purl.obolibrary.org/obo/NCBITaxon_379347>	534
<http://purl.obolibrary.org/obo/NCBITaxon_33936>	528
<http://purl.obolibrary.org/obo/NCBITaxon_549>	520
<http://purl.obolibrary.org/obo/NCBITaxon_36822>	520
<http://purl.obolibrary.org/obo/NCBITaxon_104>	519
<http://purl.obolibrary.org/obo/NCBITaxon_53501>	516
<http://purl.obolibrary.org/obo/NCBITaxon_553>	515
<http://purl.obolibrary.org/obo/NCBITaxon_1561>	512
<http://purl.obolibrary.org/obo/NCBITaxon_103837>	500
<http://purl.obolibrary.org/obo/NCBITaxon_210>	500
<http://purl.obolibrary.org/obo/NCBITaxon_103732>	500
<http://purl.obolibrary.org/obo/NCBITaxon_44251>	492
<http://purl.obolibrary.org/obo/NCBITaxon_2224>	480
<http://purl.obolibrary.org/obo/NCBITaxon_33888>	472
<http://purl.obolibrary.org/obo/NCBITaxon_2200>	472
<http://purl.obolibrary.org/obo/NCBITaxon_1599>	471
<http://purl.obolibrary.org/obo/NCBITaxon_2054>	471
<http://purl.obolibrary.org/obo/NCBITaxon_334858>	468
<http://purl.obolibrary.org/obo/NCBITaxon_260554>	464
<http://purl.obolibrary.org/obo/NCBITaxon_37929>	464
<http://purl.obolibrary.org/obo/NCBITaxon_33035>	462
<http://purl.obolibrary.org/obo/NCBITaxon_1892>	460
<http://purl.obolibrary.org/obo/NCBITaxon_1661>	460
<http://purl.obolibrary.org/obo/NCBITaxon_44253>	460
<http://purl.obolibrary.org/obo/NCBITaxon_143224>	456
<http://purl.obolibrary.org/obo/NCBITaxon_60547>	452
<http://purl.obolibrary.org/obo/NCBITaxon_215591>	447
<http://purl.obolibrary.org/obo/NCBITaxon_2209>	444
<http://purl.obolibrary.org/obo/NCBITaxon_1258>	441
<http://purl.obolibrary.org/obo/NCBITaxon_2743>	441
<http://purl.obolibrary.org/obo/NCBITaxon_28254>	440
<http://purl.obolibrary.org/obo/NCBITaxon_1629334>	436
<http://purl.obolibrary.org/obo/NCBITaxon_258>	435
<http://purl.obolibrary.org/obo/NCBITaxon_13656>	428
<http://purl.obolibrary.org/obo/NCBITaxon_28042>	424
<http://purl.obolibrary.org/obo/NCBITaxon_68238>	424
<http://purl.obolibrary.org/obo/NCBITaxon_402884>	424
<http://purl.obolibrary.org/obo/NCBITaxon_364030>	423
