subject_category	predicate	object_category	count
OrganismTaxon	consumes	ChemicalSubstance	254217
OrganismTaxon	consumes	ChemicalEntity	253995
OrganismTaxon	has_phenotype	PhenotypicQuality	194265
EnvironmentalFeature	location_of	OrganismTaxon	171819
MolecularActivity	has_participant	ChemicalSubstance	164100
PhenotypicQuality	assesses	OrganismTaxon	119094
OrganismTaxon	capable_of	PhenotypicQuality	102924
ChemicalSubstance	related_to	ChemicalSubstance	93423
ChemicalEntity	has_part	ChemicalEntity	85447
MolecularActivity	has_input	ChemicalSubstance	84663
MolecularActivity	has_output	ChemicalSubstance	84663
OrganismTaxon	capable_of	Enzyme	75587
OrganismTaxon	occurs_in	ChemicalEntity	53414
ChemicalEntity	has_part	ChemicalSubstance	50664
OrganismTaxon	has_phenotype	ActivityAndBehavior	42504
ChemicalSubstance	related_to	ChemicalRole	32481
MolecularActivity	has_participant	ChemicalEntity	31392
MolecularActivity	has_input	ChemicalEntity	16146
MolecularActivity	has_output	ChemicalEntity	16146
OntologyClass	location_of	OrganismTaxon	15534
BiologicalProcess	related_to	BiologicalProcess	14271
OrganismTaxon	associated_with	Attribute	12679
OrganismTaxon	associated_with_sensitivity_to	ChemicalEntity	9729
OrganismTaxon	associated_with_sensitivity_to	ChemicalSubstance	9727
OrganismTaxon	capable_of	BiologicalProcess	9161
MolecularActivity	enabled_by	Enzyme	7783
OrganismTaxon	produces	ChemicalSubstance	6643
ChemicalSubstance	related_to	ChemicalEntity	6324
OrganismTaxon	associated_with_resistance_to	ChemicalEntity	5593
OrganismTaxon	associated_with_resistance_to	ChemicalSubstance	5591
OrganismTaxon	produces	ChemicalEntity	5543
Enzyme	related_to	BiologicalProcess	4728
Enzyme	related_to	MolecularActivity	4728
MolecularActivity	enables	BiologicalProcess	4510
MolecularActivity	enables	MolecularActivity	4510
ChemicalEntity	related_to	ChemicalSubstance	3343
ChemicalEntity	related_to	ChemicalRole	2035
CellularComponent	related_to	CellularComponent	1973
OntologyClass	related_to	OntologyClass	1942
AnatomicalEntity	location_of	OrganismTaxon	1763
ChemicalSubstance	has_chemical_role	ChemicalRole	1077
ChemicalSubstance	has_chemical_role	ChemicalSubstance	1077
ChemicalEntity	has_chemical_role	ChemicalRole	1060
ChemicalEntity	has_chemical_role	ChemicalSubstance	1060
MolecularActivity	related_to	BiologicalProcess	932
ChemicalSubstance	location_of	OrganismTaxon	910
BiologicalProcess	related_to	MolecularActivity	844
AnatomicalEntity	related_to	AnatomicalEntity	631
OrganismTaxon	location_of	OrganismTaxon	624
OrganismTaxon	produces	ChemicalRole	567
MolecularActivity	part_of	BiologicalProcess	500
MolecularActivity	enabled_by	BiologicalProcess	454
BiologicalProcess	enabled_by	BiologicalProcess	435
MolecularActivity	related_to	MolecularActivity	428
ChemicalEntity	related_to	ChemicalEntity	356
ChemicalEntity	occurs_in	PhenotypicQuality	327
ChemicalSubstance	occurs_in	PhenotypicQuality	254
OntologyClass	subPropertyOf	OntologyClass	214
OntologyClass	related_to	ChemicalSubstance	184
BiologicalProcess	related_to	CellularComponent	149
Enzyme	is_assessed_by	PhenotypicQuality	99
PhenotypicQuality	is_assessed_by	PhenotypicQuality	98
OntologyClass	related_to	ChemicalEntity	71
PhenotypicQuality	related_to	BiologicalProcess	65
PhenotypicQuality	related_to	MolecularActivity	65
BiologicalProcess	related_to	OntologyClass	57
MolecularActivity	related_to	CellularComponent	48
OntologyClass	inverseOf	OntologyClass	46
OntologyClass	type	OntologyClass	46
Enzyme	consumes	ChemicalEntity	45
PhenotypicQuality	consumes	ChemicalEntity	44
OntologyClass	related_to	AnatomicalEntity	36
MolecularActivity	enabled_by	PhenotypicQuality	33
OntologyClass	related_to	BiologicalProcess	20
OntologyClass	related_to	OrganismTaxon	17
PhenotypicQuality	consumes	ChemicalSubstance	14
Enzyme	consumes	ChemicalSubstance	12
AnatomicalEntity	related_to	EnvironmentalFeature	8
EnvironmentalFeature	related_to	AnatomicalEntity	6
ChemicalSubstance	related_to	EnvironmentalFeature	5
PhenotypicQuality	capable_of	PhenotypicQuality	5
MolecularActivity	related_to	OntologyClass	4
OntologyClass	related_to	ChemicalRole	4
OntologyClass	related_to	EnvironmentalFeature	3
BiologicalProcess	capable_of	BiologicalProcess	2
OntologyClass	enabled_by	BiologicalProcess	2
EnvironmentalFeature	related_to	ChemicalSubstance	1
