acronym	name	description	homepage	contact	released	administeredBy
NIRS	Non-invasive Respiratory Support Ontology	Managing patients with respiratory failure increasingly involves non-invasive respiratory support (NIRS) as an alternative to traditional ventilation methods. However, despite the rapidly expanding use of NIRS, there is a significant challenge to its best use under all medical circumstances. It lacks a unified ontological structure, complicating guidance on NIRS modalities across healthcare systems. Our goal was to develop an NIRS ontology to support knowledge representation in acute care settings by providing a unified framework that enhances data clarity, interoperability, and clinical decision-making.		Md Fantacher Islam	2025-10-23T00:00:00.000+00:00	https://data.bioontology.org/users/Fantacher
ONTOPSYCARE	Ontology developed during PsyCARE project			Charlet	2025-10-22T00:00:00.000+00:00	https://data.bioontology.org/users/Jean.Charlet
IVAN	IVAN OTERO			IVAN OTERO	2025-10-17T00:00:00.000+00:00	https://data.bioontology.org/users/IVANOTERO
BERVO	The Biological and Environmental Research Variable Ontology	The Biological and Environmental Research Variable Ontology (BERVO) is a model of the experimental variables, conditions, and concepts used in the study of environmental research, including studies in earth science, plant science, and geochemistry.  , None		Harry Caufield	2025-08-05T18:00:28.000-07:00	https://data.bioontology.org/users/caufieldjh
STY1	STY1	TEST STY		nobody	2025-08-14T00:00:00.000+00:00	https://data.bioontology.org/users/alexskr
SHOREBREAK02	shorebreak02	shorebreak02		shorebreak	2025-07-03T00:00:00.000+00:00	https://data.bioontology.org/users/shorebreak002
SHOREBREAK01	shorebreak01	shorebreak01		shorebreak	2025-07-02T00:00:00.000+00:00	https://data.bioontology.org/users/shorebreak002
MWO	NFDI MatWerk Ontology	NFDI-MatWerk aims to establish a digital infrastructure for Materials Science and Engineering (MSE), fostering improved data sharing and collaboration. This repository provides comprehensive documentation for NFDI MatWerk Ontology (MWO) v3.0.0, a foundational framework designed to structure research data and enhance interoperability within the MSE community. To ensure compliance with top-level ontology standards, MWO v3.0.0 is aligned with the Basic Formal Ontology (BFO) and incorporates the modular approach of the NFDIcore mid-level ontology, enriching metadata through standardized classes and properties. The mwo addresses key aspects of MSE research data, including the NFDI-MatWerk community structure, covering task areas, infrastructure use cases, projects, researchers, and organizations. It also describes essential NFDI resources, such as software, workflows, ontologies, publications, datasets, metadata schemas, instruments, facilities, and educational materials. Additionally, mwo represents NFDI-MatWerk services, academic events, courses, and international collaborations. As the foundation for the MSE Knowledge Graph, mwo facilitates efficient data integration and retrieval, promoting collaboration and knowledge representation across MSE domains. This digital transformation enhances data discoverability, reusability, and accelerates scientific exchange, innovation, and discoveries by optimizing research data management and accessibility., The MatWerk ontology represents research data and related activities of the MSE community. The mwo v3 reuses BFO2020 and NFDi core ontologies and focuses on:\nA) Consortium structure: NFDI MatWerk consortium, its structures (task areas, and participant projects), researches, and organizations\nB) NFDI resources: software, data portals, scientific publications, published datasets, and ontologies\nC) NFDI MatWerk services, events, educational cources, and international collabrations\nD) MSE related instruments, materials, processes, and properties.\nFurther infomration can be found at GitHub: https://github.com/ISE-FIZKarlsruhe/mwo		Dr. Hossein Beygi Nasrabadi	2025-03-28T00:00:00.000+00:00	https://data.bioontology.org/users/ho_beygi%40yahoo.com
PHASES	Promoting Health Aging through Semantic Enrichment of Solitude Research	PHASES provides an ontology for integrating research in solitude and gerotranscendence. By integrating these areas of study, we aim to deepen our understanding of each and how they promote healthy aging.		Bill Duncan	2025-07-03T00:00:00.000+00:00	https://data.bioontology.org/users/wdduncan%40gmail.com
ODFA	Ontology of Dental Care-Related Fear and Anxiety	The Ontology of Dental care-related Fear, Anxiety, and/or Phobia (ODFA) contains terms for defining and classifying dental-care related fear, anxiety, and/or phobia (DFA). The ODFA’s concepts and relations facilitate the development of tools and resources capable of enhancing our understanding of the impacts of DFA, and when applied to study data, the ODFA enables the integration and interoperability of data from multiple studies.\r\n\r\nThe ODFA is developed as a subset of the Oral Health and Disease Ontology (http://purl.obolibrary.org/obo/ohd.owl). Issues and new term requests can be submitted at https://github.com/oral-health-and-disease-ontologies/ohd-ontology/issues., the ODFA enables the integration and interoperability of data from multiple studies.\n\nThe ODFA is developed as a subset of the Oral Health and Disease Ontology (http://purl.obolibrary.org/obo/ohd.owl). Issues and new term requests can be submitted at https://github.com/oral-health-and-disease-ontologies/ohd-ontology/issues.		Bill Duncan	2025-09-09T09:21:56.000-07:00	https://data.bioontology.org/users/wdduncan%40gmail.com
