metpo_id	metpo_label	has_definition	has_def_source	best_match_distance	best_match_ontology	best_match_label	best_match_iri	proposed_definition	proposed_def_source	confidence_level	action_needed
METPO:1000186	material entity	True	False	0.0	BFO	material entity	http://purl.obolibrary.org/obo/BFO_0000040			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000304	temperature optimum	True	False	0.2702	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000331	pH optimum	True	False	0.3191	MICRO	pH optimum quality	http://purl.obolibrary.org/obo/MICRO_0001545			high	Auto-propose (distance < 0.35) - but no definition available in match
METPO:1000332	pH range	True	False	0.585	UO	pH	http://purl.obolibrary.org/obo/UO_0000196			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000441	temperature optimum very low	True	False	0.5156	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000442	temperature optimum low	True	False	0.3663	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000444	temperature optimum mid2	True	False	0.5922	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000445	temperature optimum mid3	True	False	0.5731	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000446	temperature optimum mid4	True	False	0.5692	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			medium	Manual review recommended (distance 0.35-0.60) - but no definition available in match
METPO:1000447	temperature optimum high	True	False	0.3202	MICRO	temperature optimum quality	http://purl.obolibrary.org/obo/MICRO_0001311			high	Auto-propose (distance < 0.35) - but no definition available in match
