metpo_id,metpo_label,metpo_parents,query_text,match_id,match_document,match_ontology,match_iri,distance,rank
METPO:1000059,phenotype,quality,phenotype quality,pride:property:http://purl.obolibrary.org/obo/RO_0002330,genomically_related_to,pride,http://purl.obolibrary.org/obo/RO_0002330,1.2639596462249756,1
METPO:1000059,phenotype,quality,phenotype quality,pride:class:http://www.ebi.ac.uk/efo/EFO_0803546,"obsolete_lymphocyte measurement; Quantification of some aspect of lymphocytes, such as function, quantity or composition.",pride,http://www.ebi.ac.uk/efo/EFO_0803546,1.3376100063323975,2
METPO:1000059,phenotype,quality,phenotype quality,pride:property:http://purl.obolibrary.org/obo/RO_0000052,"characteristic of; inheres in; inheres in; inheres_in; a relation between a specifically dependent continuant (the characteristic) and any other entity (the bearer), in which the characteristic depends on the bearer for its existence.; a relation between a specifically dependent continuant (the dependent) and an independent continuant (the bearer), in which the dependent specifically depends on the bearer for its existence; Note that this relation was previously called ""inheres in"", but was changed to be called ""characteristic of"" because BFO2 uses ""inheres in"" in a more restricted fashion. This relation differs from BFO2:inheres_in in two respects: (1) it does not impose a range constraint, and thus it allows qualities of processes, as well as of information entities, whereas BFO2 restricts inheres_in to only apply to independent continuants (2) it is declared functional, i.e. something can only be a characteristic of one thing.",pride,http://purl.obolibrary.org/obo/RO_0000052,1.3646565675735474,3
METPO:1000059,phenotype,quality,phenotype quality,pride:class:http://www.ebi.ac.uk/efo/EFO_0600071,obsolete_blood glutathione peroxidase measurement; blood Gpx measurement; Quantification of glutathione peroxidase in a sample.,pride,http://www.ebi.ac.uk/efo/EFO_0600071,1.3849456310272217,4
METPO:1000059,phenotype,quality,phenotype quality,pride:property:http://purl.obolibrary.org/obo/RO_0002180,has component; has_component; For use in recording has_part with a cardinality constraint.; placeholder relation to indicate normality/abnormality.,pride,http://purl.obolibrary.org/obo/RO_0002180,1.407995581626892,5
METPO:1000060,metabolism,biological process,metabolism biological process,pride:property:http://purl.obolibrary.org/obo/RO_0002330,genomically_related_to,pride,http://purl.obolibrary.org/obo/RO_0002330,1.3434646129608154,1
METPO:1000060,metabolism,biological process,metabolism biological process,pride:property:http://purl.obolibrary.org/obo/RO_0002436,molecularly_interacts_with,pride,http://purl.obolibrary.org/obo/RO_0002436,1.3952584266662598,2
METPO:1000060,metabolism,biological process,metabolism biological process,pride:class:http://www.ebi.ac.uk/efo/EFO_0802090,obsolete_stem Cell Growth Factor-beta measurement; Quantification of stem Cell Growth Factor-beta in a sample.,pride,http://www.ebi.ac.uk/efo/EFO_0802090,1.4640374183654785,3
METPO:1000060,metabolism,biological process,metabolism biological process,pride:class:http://www.ebi.ac.uk/efo/EFO_0600071,obsolete_blood glutathione peroxidase measurement; blood Gpx measurement; Quantification of glutathione peroxidase in a sample.,pride,http://www.ebi.ac.uk/efo/EFO_0600071,1.4653147459030151,4
METPO:1000060,metabolism,biological process,metabolism biological process,pride:class:http://www.ebi.ac.uk/efo/EFO_0803546,"obsolete_lymphocyte measurement; Quantification of some aspect of lymphocytes, such as function, quantity or composition.",pride,http://www.ebi.ac.uk/efo/EFO_0803546,1.495532512664795,5
METPO:1000127,GC content,quality,GC content quality,pride:class:http://www.ebi.ac.uk/efo/EFO_0600071,obsolete_blood glutathione peroxidase measurement; blood Gpx measurement; Quantification of glutathione peroxidase in a sample.,pride,http://www.ebi.ac.uk/efo/EFO_0600071,1.2597286701202393,1
METPO:1000127,GC content,quality,GC content quality,pride:class:http://www.ebi.ac.uk/efo/EFO_0022934,low grade cervical intraepithelial neoplasia; Squamous or glandular cervical intraepithelial neoplasia characterized by the presence of mild dysplastic changes.,pride,http://www.ebi.ac.uk/efo/EFO_0022934,1.3292497396469116,2
METPO:1000127,GC content,quality,GC content quality,pride:class:http://www.ebi.ac.uk/efo/EFO_0802090,obsolete_stem Cell Growth Factor-beta measurement; Quantification of stem Cell Growth Factor-beta in a sample.,pride,http://www.ebi.ac.uk/efo/EFO_0802090,1.3920776844024658,3
METPO:1000127,GC content,quality,GC content quality,pride:class:http://www.ebi.ac.uk/efo/EFO_0022935,high grade vaginal intraepithelial neoplasia; Vaginal intraepithelial neoplasia characterized by the presence of moderate or severe dysplastic changes.,pride,http://www.ebi.ac.uk/efo/EFO_0022935,1.4241561889648438,4
METPO:1000127,GC content,quality,GC content quality,pride:class:http://www.ebi.ac.uk/efo/EFO_0803345,obsolete_carbon dioxide measurement; Quantification of the amount of carbon dioxide gas present in a sample.,pride,http://www.ebi.ac.uk/efo/EFO_0803345,1.4327187538146973,5
METPO:1000186,material entity,,material entity,bcio:class:http://purl.obolibrary.org/obo/CHEBI_50906,chemical realizable; role; A role is particular behaviour which a material entity may exhibit.,bcio,http://purl.obolibrary.org/obo/CHEBI_50906,1.2166306972503662,1
METPO:1000186,material entity,,material entity,pride:property:http://purl.obolibrary.org/obo/BFO_0000051,has part; has part; has_part; a core relation that holds between a whole and its part,pride,http://purl.obolibrary.org/obo/BFO_0000051,1.3005534410476685,2
METPO:1000186,material entity,,material entity,pride:property:http://purl.obolibrary.org/obo/RO_0002180,has component; has_component; For use in recording has_part with a cardinality constraint.; placeholder relation to indicate normality/abnormality.,pride,http://purl.obolibrary.org/obo/RO_0002180,1.3267751932144165,3
METPO:1000186,material entity,,material entity,pride:property:http://purl.obolibrary.org/obo/pr#has_constituent_monomer,"has_constituent_monomer; A relation that holds between a polymer and its constituent monomers. P has_constituent_monomer c if and only if P has_component multiple instances of c and each instance of c is covalently attached to another instance of c.; The constituent monomers need not be covalently attached in an end-to-end manner; that is, polymers with internal connections (e.g., polyubiquitin) can use this relation, as can circular polymers (e.g., plasmids) and multi-branched polymers (e.g., glycans). This relation, as non-transitive, allows one to indicate the number of instances of c.",pride,http://purl.obolibrary.org/obo/pr#has_constituent_monomer,1.3333590030670166,4
METPO:1000186,material entity,,material entity,pride:property:http://purl.obolibrary.org/obo/RO_0000052,"characteristic of; inheres in; inheres in; inheres_in; a relation between a specifically dependent continuant (the characteristic) and any other entity (the bearer), in which the characteristic depends on the bearer for its existence.; a relation between a specifically dependent continuant (the dependent) and an independent continuant (the bearer), in which the dependent specifically depends on the bearer for its existence; Note that this relation was previously called ""inheres in"", but was changed to be called ""characteristic of"" because BFO2 uses ""inheres in"" in a more restricted fashion. This relation differs from BFO2:inheres_in in two respects: (1) it does not impose a range constraint, and thus it allows qualities of processes, as well as of information entities, whereas BFO2 restricts inheres_in to only apply to independent continuants (2) it is declared functional, i.e. something can only be a characteristic of one thing.",pride,http://purl.obolibrary.org/obo/RO_0000052,1.3444806337356567,5
METPO:1000188,quality,,quality,pride:property:http://purl.org/dc/terms/title,title,pride,http://purl.org/dc/terms/title,1.24119234085083,1
