branch	leaf_count	best_ontology	best_coverage_pct	onts_for_50pct	onts_for_90pct	total_onts_with_matches	fragmentation_score
metabolism	12	go	66.66666666666666	1	154	154	EXTREME
biological process	12	go	66.66666666666666	1	154	154	EXTREME
pH growth preference	9	micro	77.77777777777779	1	93	93	EXTREME
quality	177	snomed	61.5819209039548	1	9	503	MODERATE
phenotype	169	snomed	61.53846153846154	1	7	484	MODERATE
halophily preference	9	MPO	88.88888888888889	1	2	58	LOW
cell shape	30	pato	80.0	1	2	283	LOW
growth range phenotype with numerical limits	17	ncit	100.0	1	1	142	CONSOLIDATED
temperature phenotype with numerical limits	19	snomed	100.0	1	1	114	CONSOLIDATED
observation	20	snomed	100.0	1	1	98	CONSOLIDATED
trophic type	29	MPO	93.10344827586206	1	1	34	CONSOLIDATED
optimum phenotype with numerical limits	15	micro	100.0	1	1	99	CONSOLIDATED
salinity phenotype with numerical limits	12	ncit	100.0	1	1	59	CONSOLIDATED
delta phenotype with numerical limits	15	ncit	100.0	1	1	106	CONSOLIDATED
pH phenotype with numerical limits	16	ncit	100.0	1	1	33	CONSOLIDATED
pigmentation	10	pato	100.0	1	1	125	CONSOLIDATED
oxygen preference	10	micro	90.0	1	1	103	CONSOLIDATED
temperature preference	8	micro	100.0	1	1	73	CONSOLIDATED
temperature optimum	7	micro	100.0	1	1	95	CONSOLIDATED
temperature range	7	ncit	100.0	1	1	108	CONSOLIDATED
pH delta	6	ncit	100.0	1	1	23	CONSOLIDATED
pH range	6	ncit	100.0	1	1	27	CONSOLIDATED
temperature delta	5	snomed	100.0	1	1	89	CONSOLIDATED
