metpo_id	metpo_label	xref_iris	xref_labels	mapping_types	distances	ontologies
METPO:1000059	phenotype	['http://purl.obolibrary.org/obo/FYPO_0000001', '<http://doi.org/10.1601/PHPhenotype>', 'http://purl.obolibrary.org/obo/UPHENO_0001001', 'http://purl.obolibrary.org/obo/MGPO_0001001', '<http://doi.org/10.1601/Phenotype>', 'https://w3id.org/biolink/vocab/phenotype_of', 'http://purl.obolibrary.org/obo/PHIPO_0000505', 'http://purl.obolibrary.org/obo/ExO_0000101', 'https://w3id.org/biolink/vocab/has_phenotype', 'http://purl.obolibrary.org/obo/OHMI_0000252', 'https://w3id.org/biolink/vocab/PhenotypicFeature', 'http://purl.obolibrary.org/obo/PHIPO_0000505', 'http://purl.obolibrary.org/obo/UPHENO_0001001', 'http://purl.obolibrary.org/obo/FBcv_0001347', 'https://w3id.org/biolink/vocab/PhenotypicQuality', 'https://w3id.org/biolink/vocab/phenotypic_state', 'http://purl.obolibrary.org/obo/APO_0000192', 'http://purl.obolibrary.org/obo/RO_0016001']	['phenotype', 'PHPhenotype', 'Phenotype', 'Phenotype', 'Phenotype', 'phenotype of', 'phenotype', 'phenotype', 'has phenotype', 'has phenotype', 'phenotypic feature', 'phenotype', 'phenotype', 'phenotype', 'phenotypic quality', 'phenotypic state', 'phenotype assays', 'has phenotype or disease']	['skos:exactMatch', 'skos:closeMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.2383, 0.2569, 0.2569, 0.257, 0.296, 0.4404, 0.4879, 0.5005, 0.5005, 0.5384, 0.5583, 0.5599, 0.5684, 0.5811, 0.5852, 0.5879, 0.5973]	['FYPO', 'DOI', 'UPHENO', 'MGPO', 'DOI', 'BIOLINK', 'PHIPO', 'UNKNOWN', 'BIOLINK', 'OHMI', 'BIOLINK', 'PHIPO', 'UPHENO', 'UNKNOWN', 'BIOLINK', 'BIOLINK', 'APO', 'RO']
METPO:1000060	metabolism	['<http://doi.org/10.1601/Metabolism>', 'http://purl.obolibrary.org/obo/GO_0008152', 'http://purl.obolibrary.org/obo/GO_0008152', 'http://purl.obolibrary.org/obo/APO_0000094']	['Metabolism', 'metabolic process', 'metabolic process', 'metabolism and growth']	['skos:closeMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.1624, 0.484, 0.5418, 0.5806]	['DOI', 'GO', 'GO', 'APO']
METPO:1000186	material entity	['http://purl.obolibrary.org/obo/BFO_0000040', 'http://purl.obolibrary.org/obo/BFO_0000040', 'http://purl.obolibrary.org/obo/BFO_0000040', 'https://w3id.org/biolink/vocab/PhysicalEntity', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000141', 'http://purl.obolibrary.org/obo/BFO_0000040']	['material entity', 'material entity', 'material entity', 'physical entity', 'immaterial entity', 'immaterial entity', 'immaterial entity', 'immaterial entity', 'immaterial entity', 'immaterial entity', 'immaterial entity', 'immaterial entity', 'immaterial entity', 'immaterial entity', 'immaterial entity', 'immaterial entity', 'immaterial entity', 'immaterial entity', 'immaterial entity', 'material entity']	['skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.0, 0.0, 0.0, 0.3607, 0.4127, 0.4127, 0.4127, 0.4127, 0.4127, 0.4127, 0.4127, 0.4127, 0.4127, 0.4127, 0.4127, 0.4127, 0.4127, 0.4127, 0.4128, 0.5307]	['BFO', 'BFO', 'BFO', 'BIOLINK', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO']
METPO:1000188	quality	['http://purl.obolibrary.org/obo/BFO_0000019', 'http://purl.obolibrary.org/obo/BFO_0000019', 'http://purl.obolibrary.org/obo/BFO_0000019', 'http://purl.obolibrary.org/obo/BFO_0000019', 'http://purl.obolibrary.org/obo/BFO_0000019', 'http://purl.obolibrary.org/obo/BFO_0000019', 'http://purl.obolibrary.org/obo/BFO_0000019', 'http://purl.obolibrary.org/obo/BFO_0000019', 'http://purl.obolibrary.org/obo/BFO_0000019', 'http://purl.obolibrary.org/obo/BFO_0000019', 'http://purl.obolibrary.org/obo/PATO_0000001', 'http://purl.obolibrary.org/obo/BFO_0000019', 'http://purl.obolibrary.org/obo/BFO_0000019', 'http://purl.obolibrary.org/obo/BFO_0000019', 'http://purl.obolibrary.org/obo/BFO_0000019', 'http://purl.obolibrary.org/obo/PATO_0000001', 'http://purl.obolibrary.org/obo/BFO_0000019']	['quality', 'quality', 'quality', 'quality', 'quality', 'quality', 'quality', 'quality', 'quality', 'quality', 'quality', 'quality', 'quality', 'quality', 'quality', 'quality', 'quality']	['skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:exactMatch', 'skos:broadMatch']	[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4647]	['BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'BFO', 'PATO', 'BFO', 'BFO', 'BFO', 'BFO', 'PATO', 'BFO']
METPO:1000304	temperature optimum	['http://purl.obolibrary.org/obo/MICRO_0001311']	['temperature optimum quality']	['skos:relatedMatch']	[0.2702]	['MICRO']
METPO:1000331	pH optimum	['http://purl.obolibrary.org/obo/MICRO_0001545', '<https://purl.dsmz.de/schema/OptimumPH>', 'http://purl.obolibrary.org/obo/MICRO_0001549']	['pH optimum quality', 'Optimum pH', 'acidophilic pH optimum']	['skos:relatedMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.3191, 0.4021, 0.5136]	['MICRO', 'D3O', 'MICRO']
METPO:1000332	pH range	['http://purl.obolibrary.org/obo/UO_0000196', 'http://purl.obolibrary.org/obo/UO_0000196', 'http://purl.obolibrary.org/obo/MICRO_0001157']	['pH', 'pH', 'pH']	['skos:broadMatch', 'skos:broadMatch', 'skos:broadMatch']	[0.585, 0.585, 0.585]	['UO', 'UO', 'MICRO']
METPO:1000441	temperature optimum very low	['http://purl.obolibrary.org/obo/MICRO_0001311', '<http://doi.org/10.1601/ExtremeLowTemperatureCondition>']	['temperature optimum quality', 'Extreme low temperature condition']	['skos:broadMatch', 'skos:broadMatch']	[0.5156, 0.5912]	['MICRO', 'DOI']
METPO:1000442	temperature optimum low	['http://purl.obolibrary.org/obo/MICRO_0001311']	['temperature optimum quality']	['skos:broadMatch']	[0.3663]	['MICRO']
METPO:1000444	temperature optimum mid2	['http://purl.obolibrary.org/obo/MICRO_0001311']	['temperature optimum quality']	['skos:broadMatch']	[0.5922]	['MICRO']
METPO:1000445	temperature optimum mid3	['http://purl.obolibrary.org/obo/MICRO_0001311']	['temperature optimum quality']	['skos:broadMatch']	[0.5731]	['MICRO']
METPO:1000446	temperature optimum mid4	['http://purl.obolibrary.org/obo/MICRO_0001311']	['temperature optimum quality']	['skos:broadMatch']	[0.5692]	['MICRO']
METPO:1000447	temperature optimum high	['http://purl.obolibrary.org/obo/MICRO_0001311']	['temperature optimum quality']	['skos:relatedMatch']	[0.3202]	['MICRO']
METPO:1000448	temperature range very low	['<http://doi.org/10.1601/ExtremeLowTemperatureCondition>']	['Extreme low temperature condition']	['skos:broadMatch']	[0.5952]	['DOI']
