metpo_id,metpo_label,metpo_parents,query_text,match_id,match_document,match_ontology,match_iri,distance,rank
METPO:1000059,phenotype,quality,phenotype quality,biolink:class:https://w3id.org/biolink/vocab/PhenotypicQuality,phenotypic quality,biolink,https://w3id.org/biolink/vocab/PhenotypicQuality,0.17550508677959442,1
METPO:1000059,phenotype,quality,phenotype quality,upheno:class:http://purl.obolibrary.org/obo/FYPO_0000001,phenotype,upheno,http://purl.obolibrary.org/obo/FYPO_0000001,0.5149049162864685,2
METPO:1000059,phenotype,quality,phenotype quality,upheno:class:http://purl.obolibrary.org/obo/FYPO_0000136,cellular physical quality phenotype,upheno,http://purl.obolibrary.org/obo/FYPO_0000136,0.550369143486023,3
METPO:1000059,phenotype,quality,phenotype quality,biolink:property:https://w3id.org/biolink/vocab/phenotype_of,phenotype of,biolink,https://w3id.org/biolink/vocab/phenotype_of,0.573906421661377,4
METPO:1000059,phenotype,quality,phenotype quality,upheno:class:http://purl.obolibrary.org/obo/FYPO_0007723,normal cellular physical quality phenotype,upheno,http://purl.obolibrary.org/obo/FYPO_0007723,0.6054002046585083,5
METPO:1000060,metabolism,biological process,metabolism biological process,eco:class:http://purl.obolibrary.org/obo/GO_0008152,metabolic process,eco,http://purl.obolibrary.org/obo/GO_0008152,0.41875070333480835,1
METPO:1000060,metabolism,biological process,metabolism biological process,envo:class:http://purl.obolibrary.org/obo/GO_0008152,metabolic process,envo,http://purl.obolibrary.org/obo/GO_0008152,0.41875070333480835,2
METPO:1000060,metabolism,biological process,metabolism biological process,upheno:class:http://purl.obolibrary.org/obo/GO_0008152,metabolic process; metabolism,upheno,http://purl.obolibrary.org/obo/GO_0008152,0.4814014136791229,3
METPO:1000060,metabolism,biological process,metabolism biological process,eco:class:http://purl.obolibrary.org/obo/GO_0019538,protein metabolic process,eco,http://purl.obolibrary.org/obo/GO_0019538,0.49107974767684937,4
METPO:1000060,metabolism,biological process,metabolism biological process,biolink:class:https://w3id.org/biolink/vocab/BiologicalProcess,biological process,biolink,https://w3id.org/biolink/vocab/BiologicalProcess,0.5208173394203186,5
METPO:1000127,GC content,quality,GC content quality,phipo:property:http://purl.obolibrary.org/obo/pato#cell_quality,cell_quality,phipo,http://purl.obolibrary.org/obo/pato#cell_quality,0.8963717818260193,1
METPO:1000127,GC content,quality,GC content quality,upheno:property:http://purl.obolibrary.org/obo/pato#cell_quality,cell_quality,upheno,http://purl.obolibrary.org/obo/pato#cell_quality,0.8963717818260193,2
METPO:1000127,GC content,quality,GC content quality,oba:class:http://purl.obolibrary.org/obo/PATO_0001396,cellular quality,oba,http://purl.obolibrary.org/obo/PATO_0001396,0.9510414004325867,3
METPO:1000127,GC content,quality,GC content quality,upheno:class:http://purl.obolibrary.org/obo/PATO_0001396,cellular quality,upheno,http://purl.obolibrary.org/obo/PATO_0001396,0.9510414004325867,4
METPO:1000127,GC content,quality,GC content quality,omp:property:http://purl.obolibrary.org/obo/omp#cell_quality,cell_quality; cell_quality,omp,http://purl.obolibrary.org/obo/omp#cell_quality,0.9592897295951843,5
METPO:1000186,material entity,,material entity,upheno:class:http://purl.obolibrary.org/obo/BFO_0000040,material entity,upheno,http://purl.obolibrary.org/obo/BFO_0000040,1.2446552091205376e-06,1
METPO:1000186,material entity,,material entity,biolink:class:https://w3id.org/biolink/vocab/PhysicalEntity,physical entity,biolink,https://w3id.org/biolink/vocab/PhysicalEntity,0.36068961024284363,2
METPO:1000186,material entity,,material entity,eco:class:http://purl.obolibrary.org/obo/BFO_0000141,immaterial entity,eco,http://purl.obolibrary.org/obo/BFO_0000141,0.41241613030433655,3
METPO:1000186,material entity,,material entity,oba:class:http://purl.obolibrary.org/obo/BFO_0000141,immaterial entity,oba,http://purl.obolibrary.org/obo/BFO_0000141,0.41241613030433655,4
METPO:1000186,material entity,,material entity,pco:class:http://purl.obolibrary.org/obo/BFO_0000141,immaterial entity,pco,http://purl.obolibrary.org/obo/BFO_0000141,0.41241613030433655,5
METPO:1000188,quality,,quality,eco:class:http://purl.obolibrary.org/obo/BFO_0000019,quality,eco,http://purl.obolibrary.org/obo/BFO_0000019,0.0,1
METPO:1000188,quality,,quality,oba:class:http://purl.obolibrary.org/obo/BFO_0000019,quality,oba,http://purl.obolibrary.org/obo/BFO_0000019,0.0,2
METPO:1000188,quality,,quality,oba:class:http://purl.obolibrary.org/obo/PATO_0000001,quality,oba,http://purl.obolibrary.org/obo/PATO_0000001,0.0,3
METPO:1000188,quality,,quality,ohmi:class:http://purl.obolibrary.org/obo/BFO_0000019,quality,ohmi,http://purl.obolibrary.org/obo/BFO_0000019,0.0,4
METPO:1000188,quality,,quality,upheno:class:http://purl.obolibrary.org/obo/PATO_0000001,quality,upheno,http://purl.obolibrary.org/obo/PATO_0000001,0.0,5
METPO:1000232,pH delta,pH phenotype with numerical limits|delta phenotype with numerical limits,pH delta pH phenotype with numerical limits delta phenotype with numerical limits,upheno:class:http://purl.obolibrary.org/obo/UPHENO_0049881,response to pH phenotype; Changed response to pH.,upheno,http://purl.obolibrary.org/obo/UPHENO_0049881,0.8298410177230835,1
METPO:1000232,pH delta,pH phenotype with numerical limits|delta phenotype with numerical limits,pH delta pH phenotype with numerical limits delta phenotype with numerical limits,upheno:class:http://purl.obolibrary.org/obo/UPHENO_0049613,regulation of pH phenotype; Changed regulation of pH.,upheno,http://purl.obolibrary.org/obo/UPHENO_0049613,0.8781735897064209,2
METPO:1000232,pH delta,pH phenotype with numerical limits|delta phenotype with numerical limits,pH delta pH phenotype with numerical limits delta phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0005008,"pH effects on population growth phenotype; A population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.",omp,http://purl.obolibrary.org/obo/OMP_0005008,0.8808017373085022,3
METPO:1000232,pH delta,pH phenotype with numerical limits|delta phenotype with numerical limits,pH delta pH phenotype with numerical limits delta phenotype with numerical limits,upheno:class:http://purl.obolibrary.org/obo/UPHENO_0049817,intracellular pH reduction phenotype; Changed intracellular pH reduction.,upheno,http://purl.obolibrary.org/obo/UPHENO_0049817,0.9153783321380615,4
METPO:1000232,pH delta,pH phenotype with numerical limits|delta phenotype with numerical limits,pH delta pH phenotype with numerical limits delta phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0005041,"response to alkaline pH stress phenotype; A response to stress phenotype dealing with the response to an environment with a pH at or above 7.5.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.",omp,http://purl.obolibrary.org/obo/OMP_0005041,0.9323568940162659,5
METPO:1000303,temperature delta,temperature phenotype with numerical limits|delta phenotype with numerical limits,temperature delta temperature phenotype with numerical limits delta phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0005002,"temperature effects on population growth phenotype; temperature requirement for growth; A population growth range phenotype related to how growth of a microbial population is affected by the temperature of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.",omp,http://purl.obolibrary.org/obo/OMP_0005002,0.8936039805412292,1
METPO:1000303,temperature delta,temperature phenotype with numerical limits|delta phenotype with numerical limits,temperature delta temperature phenotype with numerical limits delta phenotype with numerical limits,upheno:class:http://purl.obolibrary.org/obo/UPHENO_0078619,temperature homeostasis phenotype; Changed temperature homeostasis.,upheno,http://purl.obolibrary.org/obo/UPHENO_0078619,0.9014323353767395,2
METPO:1000303,temperature delta,temperature phenotype with numerical limits|delta phenotype with numerical limits,temperature delta temperature phenotype with numerical limits delta phenotype with numerical limits,upheno:class:http://purl.obolibrary.org/obo/WBPhenotype_0002156,temperature learning variant,upheno,http://purl.obolibrary.org/obo/WBPhenotype_0002156,0.965372622013092,3
METPO:1000303,temperature delta,temperature phenotype with numerical limits|delta phenotype with numerical limits,temperature delta temperature phenotype with numerical limits delta phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0005082,"response to thermotolerance stress phenotype; A stress response phenotype dealing with the resistance response to normally lethal high temperature levels.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.",omp,http://purl.obolibrary.org/obo/OMP_0005082,0.9708006381988525,4
METPO:1000303,temperature delta,temperature phenotype with numerical limits|delta phenotype with numerical limits,temperature delta temperature phenotype with numerical limits delta phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0007950,presence of population growth at high temperature; A population growth phenotype where a microbial population is able to grow and reproduce at a temperature that is towards the upper end of the organism's temperature growth range.,omp,http://purl.obolibrary.org/obo/OMP_0007950,1.013219952583313,5
METPO:1000304,temperature optimum,temperature phenotype with numerical limits|optimum phenotype with numerical limits,temperature optimum temperature phenotype with numerical limits optimum phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0005002,"temperature effects on population growth phenotype; temperature requirement for growth; A population growth range phenotype related to how growth of a microbial population is affected by the temperature of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.",omp,http://purl.obolibrary.org/obo/OMP_0005002,0.8203733563423157,1
METPO:1000304,temperature optimum,temperature phenotype with numerical limits|optimum phenotype with numerical limits,temperature optimum temperature phenotype with numerical limits optimum phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0005005,mesophile; A population growth phenotype where optimal growth of a microbial population occurs between 20 C and 45 C.,omp,http://purl.obolibrary.org/obo/OMP_0005005,0.8506028056144714,2
METPO:1000304,temperature optimum,temperature phenotype with numerical limits|optimum phenotype with numerical limits,temperature optimum temperature phenotype with numerical limits optimum phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0007950,presence of population growth at high temperature; A population growth phenotype where a microbial population is able to grow and reproduce at a temperature that is towards the upper end of the organism's temperature growth range.,omp,http://purl.obolibrary.org/obo/OMP_0007950,0.8609745502471924,3
METPO:1000304,temperature optimum,temperature phenotype with numerical limits|optimum phenotype with numerical limits,temperature optimum temperature phenotype with numerical limits optimum phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0005003,hyperthermophile; A population growth phenotype where optimal growth of a microbial population occurs between 85 C and 113 C.,omp,http://purl.obolibrary.org/obo/OMP_0005003,0.8957747220993042,4
METPO:1000304,temperature optimum,temperature phenotype with numerical limits|optimum phenotype with numerical limits,temperature optimum temperature phenotype with numerical limits optimum phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0007951,absence of population growth at high temperature; A population growth phenotype where a microbial population isn't able to grow and reproduce at a temperature that is towards the upper end of the organism's temperature growth range.,omp,http://purl.obolibrary.org/obo/OMP_0007951,0.9006401300430298,5
METPO:1000306,temperature range,temperature phenotype with numerical limits|growth range phenotype with numerical limits,temperature range temperature phenotype with numerical limits growth range phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0005002,"temperature effects on population growth phenotype; temperature requirement for growth; A population growth range phenotype related to how growth of a microbial population is affected by the temperature of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.",omp,http://purl.obolibrary.org/obo/OMP_0005002,0.6699280738830566,1
METPO:1000306,temperature range,temperature phenotype with numerical limits|growth range phenotype with numerical limits,temperature range temperature phenotype with numerical limits growth range phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0007950,presence of population growth at high temperature; A population growth phenotype where a microbial population is able to grow and reproduce at a temperature that is towards the upper end of the organism's temperature growth range.,omp,http://purl.obolibrary.org/obo/OMP_0007950,0.7803378105163574,2
METPO:1000306,temperature range,temperature phenotype with numerical limits|growth range phenotype with numerical limits,temperature range temperature phenotype with numerical limits growth range phenotype with numerical limits,upheno:class:http://purl.obolibrary.org/obo/APO_0000092,temperature sensitive growth,upheno,http://purl.obolibrary.org/obo/APO_0000092,0.796142578125,3
METPO:1000306,temperature range,temperature phenotype with numerical limits|growth range phenotype with numerical limits,temperature range temperature phenotype with numerical limits growth range phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0007951,absence of population growth at high temperature; A population growth phenotype where a microbial population isn't able to grow and reproduce at a temperature that is towards the upper end of the organism's temperature growth range.,omp,http://purl.obolibrary.org/obo/OMP_0007951,0.8447117209434509,4
METPO:1000306,temperature range,temperature phenotype with numerical limits|growth range phenotype with numerical limits,temperature range temperature phenotype with numerical limits growth range phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0007952,altered population growth at high temperature; A population growth phenotype where the rate and/or extent of growth of a microbial population at a temperature that is towards the upper end of the organism's temperature growth range is altered relative to a designated control.,omp,http://purl.obolibrary.org/obo/OMP_0007952,0.8485961556434631,5
METPO:1000331,pH optimum,pH phenotype with numerical limits|optimum phenotype with numerical limits,pH optimum pH phenotype with numerical limits optimum phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0005008,"pH effects on population growth phenotype; A population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.",omp,http://purl.obolibrary.org/obo/OMP_0005008,0.7875738143920898,1
METPO:1000331,pH optimum,pH phenotype with numerical limits|optimum phenotype with numerical limits,pH optimum pH phenotype with numerical limits optimum phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0005010,neutrophile; A population growth phenotype that applies to microorganisms whose optimal growth occurs between pH 5.5 and 8.0.,omp,http://purl.obolibrary.org/obo/OMP_0005010,0.8093050718307495,2
METPO:1000331,pH optimum,pH phenotype with numerical limits|optimum phenotype with numerical limits,pH optimum pH phenotype with numerical limits optimum phenotype with numerical limits,upheno:class:http://purl.obolibrary.org/obo/UPHENO_0049881,response to pH phenotype; Changed response to pH.,upheno,http://purl.obolibrary.org/obo/UPHENO_0049881,0.8209758996963501,3
METPO:1000331,pH optimum,pH phenotype with numerical limits|optimum phenotype with numerical limits,pH optimum pH phenotype with numerical limits optimum phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0007947,presence of growth at alkaline pH; A population growth phenotype where a microbial population is able to grow and reproduce at alkaline pH (pH>7).; This term was made obsolete because it was redundant with OMP:0007771. The two terms weren't merged because the redundancy of OMP:0007947 was discovered after one day and was never committed to a release.,omp,http://purl.obolibrary.org/obo/OMP_0007947,0.8234527111053467,4
METPO:1000331,pH optimum,pH phenotype with numerical limits|optimum phenotype with numerical limits,pH optimum pH phenotype with numerical limits optimum phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0005041,"response to alkaline pH stress phenotype; A response to stress phenotype dealing with the response to an environment with a pH at or above 7.5.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.",omp,http://purl.obolibrary.org/obo/OMP_0005041,0.8416491746902466,5
METPO:1000332,pH range,pH phenotype with numerical limits|growth range phenotype with numerical limits,pH range pH phenotype with numerical limits growth range phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0005008,"pH effects on population growth phenotype; A population growth phenotype relating to how the rate and/or extent of growth of a microbial population is affected by the pH of the environment.; This is a high-level term whose primary purpose is to organize terms beneath it in the ontology, and we expect that it will not be used for direct annotations. Please consider using a more specific term to annotate each phenotype.",omp,http://purl.obolibrary.org/obo/OMP_0005008,0.6992011666297913,1
METPO:1000332,pH range,pH phenotype with numerical limits|growth range phenotype with numerical limits,pH range pH phenotype with numerical limits growth range phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0007947,presence of growth at alkaline pH; A population growth phenotype where a microbial population is able to grow and reproduce at alkaline pH (pH>7).; This term was made obsolete because it was redundant with OMP:0007771. The two terms weren't merged because the redundancy of OMP:0007947 was discovered after one day and was never committed to a release.,omp,http://purl.obolibrary.org/obo/OMP_0007947,0.775015652179718,2
METPO:1000332,pH range,pH phenotype with numerical limits|growth range phenotype with numerical limits,pH range pH phenotype with numerical limits growth range phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0007945,presence of population growth at acidic pH; A population growth phenotype where a microbial population is able to grow and reproduce at acidic pH (pH< 7).,omp,http://purl.obolibrary.org/obo/OMP_0007945,0.7956947088241577,3
METPO:1000332,pH range,pH phenotype with numerical limits|growth range phenotype with numerical limits,pH range pH phenotype with numerical limits growth range phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0005010,neutrophile; A population growth phenotype that applies to microorganisms whose optimal growth occurs between pH 5.5 and 8.0.,omp,http://purl.obolibrary.org/obo/OMP_0005010,0.7987052798271179,4
METPO:1000332,pH range,pH phenotype with numerical limits|growth range phenotype with numerical limits,pH range pH phenotype with numerical limits growth range phenotype with numerical limits,omp:class:http://purl.obolibrary.org/obo/OMP_0007771,presence of population growth at alkaline pH; A population growth phenotype where a microbial population is able to grow and reproduce at alkaline pH (pH>7).,omp,http://purl.obolibrary.org/obo/OMP_0007771,0.7990633249282837,5
METPO:1000333,NaCl optimum,salinity phenotype with numerical limits|optimum phenotype with numerical limits,NaCl optimum salinity phenotype with numerical limits optimum phenotype with numerical limits,phipo:class:http://purl.obolibrary.org/obo/PHIPO_0000978,"sensitive to sodium chloride; A phenotype in which a population of a single-species shows increased sensitivity to sodium chloride, manifested as an affect on the extent of population growth. (CHEBI:26710).",phipo,http://purl.obolibrary.org/obo/PHIPO_0000978,0.8215279579162598,1
METPO:1000333,NaCl optimum,salinity phenotype with numerical limits|optimum phenotype with numerical limits,NaCl optimum salinity phenotype with numerical limits optimum phenotype with numerical limits,upheno:class:http://purl.obolibrary.org/obo/PHIPO_0000978,"sensitive to sodium chloride; A phenotype in which a population of a single-species shows increased sensitivity to sodium chloride, manifested as an affect on the extent of population growth. (CHEBI:26710).",upheno,http://purl.obolibrary.org/obo/PHIPO_0000978,0.8215279579162598,2
METPO:1000333,NaCl optimum,salinity phenotype with numerical limits|optimum phenotype with numerical limits,NaCl optimum salinity phenotype with numerical limits optimum phenotype with numerical limits,upheno:class:http://purl.obolibrary.org/obo/UPHENO_0050426,hyperosmotic salinity response phenotype; Changed hyperosmotic salinity response.,upheno,http://purl.obolibrary.org/obo/UPHENO_0050426,0.8537483215332031,3
