?class	?labels	?synonyms	?definitions
<https://purl.dsmz.de/schema/16SBacterial>	"16S (Bacterial)"		"The small subunit rRNA found in bacterial ribosomes, widely used as a molecular marker for identifying and classifying bacteria."
<https://purl.dsmz.de/schema/16SMitochondrial>	"16S (Mitochondrial)"		"The small subunit rRNA found in mitochondrial ribosomes, playing a role in mitochondrial protein synthesis."
<https://purl.dsmz.de/schema/16SSequence>	"16SSequence"		"The sequence of the 16S ribosomal RNA gene, which is highly conserved among bacteria and archaea. It is widely used for phylogenetic studies and microbial identification."
<https://purl.dsmz.de/schema/18S>	"18S"		"The small subunit rRNA found in eukaryotic ribosomes, responsible for the accurate translation of mRNA into proteins."
<https://purl.dsmz.de/schema/23SBacterial>	"23S (Bacterial)"		"The large subunit rRNA found in bacterial ribosomes, playing a key role in the catalytic activity of the ribosome."
<https://purl.dsmz.de/schema/23SMitochondrial>	"23S (Mitochondrial)"		"The large subunit rRNA found in mitochondrial ribosomes, distinct from its bacterial counterpart but performing a similar function in protein synthesis within mitochondria."
<https://purl.dsmz.de/schema/28S>	"28S"		"The large subunit rRNA found in eukaryotic ribosomes, involved in catalyzing peptide bond formation during translation."
<https://purl.dsmz.de/schema/Activator>	"Activator"		"An effector molecule that increases the activity of an enzyme or protein, often by stabilizing its active form or enhancing its affinity for a substrate."
<https://purl.dsmz.de/schema/Alcohol>	"Alcohol"		"An organic compound in which a hydroxyl group (-OH) is bound to a carbon atom. Alcohols are used in a wide range of industrial and pharmaceutical applications, with ethanol (C₂H₅OH) being one of the most well-known types due to its role in beverages and as a solvent."
<https://purl.dsmz.de/schema/Aldehyde>	"Aldehyde"		"An organic compound containing a carbonyl group (C=O) bonded to at least one hydrogen atom. Aldehydes are key intermediates in organic reactions and are used in the synthesis of various chemicals, including fragrances and preservatives. Formaldehyde (CH₂O) is a common example."
<https://purl.dsmz.de/schema/AminoAcidMetabolism>	"Amino Acid Metabolism"		"A metabolic pathway that involves the synthesis and breakdown of amino acids, which are essential for protein production and various cellular functions."
<https://purl.dsmz.de/schema/AnaerobicBacteria>	"Anaerobic Bacteria"		"Bacteria that grow in environments devoid of oxygen. These organisms often thrive in habitats such as soil, sediments, and the human gut."
<https://purl.dsmz.de/schema/AnatomicStructure>	"Anatomic Structure"		
<https://purl.dsmz.de/schema/AnimalPathogenicity>	"Animal Pathogenicity"		"The capacity of an organism to cause disease in animals, including livestock, wildlife, and pets."
<https://purl.dsmz.de/schema/AnorganicCompound>	"Anorganic Compound"		"Refers to compounds that do not contain carbon-hydrogen bonds, typically derived from minerals or non-living matter. Inorganic compounds play vital roles in various chemical reactions and industrial processes"
<https://purl.dsmz.de/schema/AnorganicMolecule>	"Anorganic Molecule"		"A molecule that lacks carbon-hydrogen bonds, typically composed of non-metallic and metallic elements. Examples include water (H₂O), carbon dioxide (CO₂), and sulfuric acid (H₂SO₄)."
<https://purl.dsmz.de/schema/Archaea>	"Archaea"		"A domain of prokaryotic microorganisms that are distinct from bacteria. Archaea often thrive in extreme environments, such as hot springs and salt lakes, and have unique biochemical pathways."
<https://purl.dsmz.de/schema/Bacteria>	"Bacteria"		"Single-celled prokaryotes that are found in virtually every environment on Earth. Bacteria can be both beneficial (e.g., in digestion and fermentation) and pathogenic, playing essential roles in ecological processes and biotechnology."
<https://purl.dsmz.de/schema/BiochemicalPathway>	"Biochemical Pathway"		"A series of interconnected biochemical reactions that occur within a cell or organism to carry out essential functions such as metabolism, signal transduction, or energy production."
<https://purl.dsmz.de/schema/BiochemicalReaction>	"Biochemical Reaction"		"A chemical reaction that occurs within living organisms, often catalyzed by enzymes, and is essential for metabolism, growth, and cellular function."
<https://purl.dsmz.de/schema/BiologicalMaterial>	"Biological Material"		
<https://purl.dsmz.de/schema/BiologicalRole>	"Biological Role"		"Describes the functional role that a substance or organism plays in a biological context, such as its part in metabolism, growth, or interaction with other entities."
<https://purl.dsmz.de/schema/Blood>	"Blood"		
<https://purl.dsmz.de/schema/BodyFluid>	"Body Fluid"		
<https://purl.dsmz.de/schema/CASRegistryNumber>	"CASRegistry Number"		"A unique numerical identifier assigned by the Chemical Abstracts Service (CAS) to every chemical substance described in the open scientific literature."
<https://purl.dsmz.de/schema/CarbohydratePathway>	"Carbohydrate Pathway"		"A metabolic pathway responsible for the breakdown and synthesis of carbohydrates, including sugars, which are key sources of energy for living organisms."
