?class	?labels	?synonyms	?definitions
<urn:absolute:FMC#Infant_food>	"Infant food"	""	
<urn:absolute:FMPM#Acified_sauces>	"Acified sauce"	""	
<urn:absolute:FMPM#Agar_medium>	"Agar medium"	"Nutrien agar, agar"	
<urn:absolute:FMPM#Ambient_stable_sauces>	"Ambient stable sauce"	""	
<urn:absolute:FMPM#Bean>	"Bean"	"Green beans"	
<urn:absolute:FMPM#Beef_gravy>	"Beef gravy"	""	
<urn:absolute:FMPM#Beef_sausages>	"Beef sausages"	""	
<urn:absolute:FMPM#Beverage>	"Beverage"	""	
<urn:absolute:FMPM#Bologna>	"Bologna"	""	
<urn:absolute:FMPM#Brain-heart_infusion_agar>	"Brain-heart infusion agar"	"Brain heart infusion agar"	
<urn:absolute:FMPM#Brain_heart_infusion_broth>	"Brain heart infusion broth"	"Brin heart infusion, modified bhi, brain heart infusion broth"	
<urn:absolute:FMPM#Bread>	"Bread"	""	
<urn:absolute:FMPM#Broth_medium>	"Broth medium"	"Liquid culture medium, broth culture, nutrient broth"	
<urn:absolute:FMPM#Bulked_cooked_meat>	"Bulked cooked meat"	""	
<urn:absolute:FMPM#Cabbage>	"Cabbage"	""	
<urn:absolute:FMPM#Cantaloupe>	"Cantaloupe"	""	
<urn:absolute:FMPM#Carcass>	"Carcass"	"Corpse"	
<urn:absolute:FMPM#Carrot>	"Carrot"	""	
<urn:absolute:FMPM#Cereals>	"Cereals"	""	
<urn:absolute:FMPM#Cheese>	"Cheese"	""	
<urn:absolute:FMPM#Cheese_salad>	"Cheese salad"	""	
<urn:absolute:FMPM#Chemical_processed_sausages>	"Chemical processed sausages"	""	
<urn:absolute:FMPM#Chemicaly_extracted_meat>	"Chemical extracted meat"	""	
<urn:absolute:FMPM#Chicken_frankfurters>	"Chicken frankfurters"	""	
<urn:absolute:FMPM#Chicken_skin>	"Chicken skin"	""	
<urn:absolute:FMPM#Chorizo>	"Chorizo"	"Spanish chorizo; sausage"	
<urn:absolute:FMPM#Cold-filled_acid_dressing_and_sauces>	"Cold filled acid dressing and sauces"	"Mayonnaise, dressing, sauce, diluted vinegar, cider"	
<urn:absolute:FMPM#Composite_egg_food_products>	"Composite egg food products"	""	
