?class	?labels	?synonyms	?definitions
<http://purl.org/zonmw/covid19/10037>	"aftercare phase"		
<http://purl.org/zonmw/covid19/10108>	"health data"		
<http://purl.org/zonmw/covid19/10109>	"health record data"		
<http://purl.org/zonmw/covid19/10112>	"physiological data"		
<http://purl.org/zonmw/covid19/10114>	"treatment data"		
<http://purl.org/zonmw/covid19/10122>	"economic data"		
<http://purl.org/zonmw/covid19/10125>	"survey data"		
<http://purl.org/zonmw/covid19/10127>	"environmental data"		
<http://purl.org/zonmw/covid19/10132>	"audiovisual data"		
<http://purl.org/zonmw/covid19/10150>	"virus"		"An infectious agent which consists of two parts, genetic material and a protein coat. These organisms lack independent metabolism, and they must infect the cells of other types of organisms to reproduce. Most viruses are capable of passing through fine filters that retain bacteria, and are not visible through a light microscope."
<http://purl.org/zonmw/covid19/10151>	"bacteria"		"Unicellular, prokaryotic organisms that reproduce by cell division and usually have cell walls; can be shaped like spheres, rods or spirals and can be found in virtually any environment."
<http://purl.org/zonmw/covid19/10152>	"parasite"		"Any organism that has a close, symbiotic relationship with a separate, host organism."
<http://purl.org/zonmw/covid19/10232>	"diagnostics"		
<http://purl.org/zonmw/covid19/10244>	"genomics data"		
<http://purl.org/zonmw/covid19/10262>	"personal information data"		
<http://purl.org/zonmw/generic/10001>	"focus area"		
<http://purl.org/zonmw/generic/10003>	"temporal scope"		
<http://purl.org/zonmw/generic/10004>	"population group"		
<http://purl.org/zonmw/generic/10005>	"data"		
<http://purl.org/zonmw/generic/10008>	"organism"		
<http://purl.org/zonmw/generic/10009>	"specimen"		
<http://purl.org/zonmw/generic/10011>	"macromolecule"		
<http://purl.org/zonmw/generic/10024>	"microorganism"		
<http://purl.org/zonmw/generic/10025>	"animal"		
<http://purl.org/zonmw/generic/10096>	"animal disease"		
<http://purl.org/zonmw/generic/10097>	"plant disease"		
<http://purl.org/zonmw/generic/10098>	"plant"		
<http://purl.org/zonmw/id-amr/10000>	"deprecated"		"This is a set of controlled terms which are deprecated."
<http://purl.org/zonmw/id-amr/10001>	"therapeutics"		
<http://purl.org/zonmw/id-amr/10002>	"surveillance"		
<http://purl.org/zonmw/id-amr/10004>	"transmission"		
<http://purl.org/zonmw/id-amr/10005>	"intervention"		
<http://purl.org/zonmw/id-amr/10006>	"preparedness and response"		
<http://purl.org/zonmw/id-amr/10007>	"infection prevention"		
<http://purl.org/zonmw/id-amr/10008>	"stewardship"		
<http://purl.org/zonmw/id-amr/10009>	"zoonotic disease"		
<http://purl.org/zonmw/id-amr/10010>	"vector-borne disease"		
<http://purl.org/zonmw/id-amr/10011>	"prion disease"		
<http://purl.org/zonmw/id-amr/10012>	"microbiome"		
