?class	?labels	?synonyms	?definitions
<http://purl.jp/bio/10/mccv#MCCV_000001>	"Culture | 培養株"		"A cultivation of a microbal strain"
<http://purl.jp/bio/10/mccv#MCCV_000002>	"Strain"		"Strain | 微生物の特定の株。個々の実験室で培養されている微生物株の上位概念としての株"
<http://purl.jp/bio/10/mccv#MCCV_000003>	"Species"		
<http://purl.jp/bio/10/mccv#MCCV_000005>	"Culture condition | 培養条件"		"A culture condition of a microbial strain"
<http://purl.jp/bio/10/mccv#MCCV_000006>	"Sample"		
<http://purl.jp/bio/10/mccv#MCCV_000007>	"Habitat"		
<http://purl.jp/bio/10/mccv#MCCV_000008>	"Location"		
<http://purl.jp/bio/10/mccv#MCCV_000009>	"Culture Collection"		"Culture cullection"
<http://purl.jp/bio/10/mccv#MCCV_000039>	"生物カテゴリー分類 | OrganismCategoryByBRCInJapan"		"The organism category used in NBRC and JCM | NBRCとJCMで使われている生物カテゴリー分類"
<http://purl.jp/bio/10/mccv#MCCV_000040>	"Bacteria "		"Bacteria as an organism category used in NBRC and JCM | An organism category used in NBRC and JCM"
<http://purl.jp/bio/10/mccv#MCCV_000041>	"Archaea "		"Archaea as an organism category used in NBRC and JCM | An organism category used in NBRC and JCM"
<http://purl.jp/bio/10/mccv#MCCV_000042>	"Fungi "		"Fungi as an organism category used in NBRC and JCM | An organism category used in NBRC and JCM"
<http://purl.jp/bio/10/mccv#MCCV_000043>	"Yeasts "		"Yeasts as an organism category used in NBRC and JCM | An organism category used in NBRC and JCM"
<http://purl.jp/bio/10/mccv#MCCV_000044>	"Algae "		"Algae as an organism category used in NBRC and JCM | An organism category used in NBRC and JCM"
<http://purl.jp/bio/10/mccv#MCCV_000045>	"Phages "		"Phages as an organism category used in NBRC and JCM | An organism category used in NBRC and JCM"
<http://purl.jp/bio/10/mccv#MCCV_000053>	"Attribution"		
