?class	?labels	?synonyms	?definitions
<https://mdatahub.org/data/meo/MEO_0000001>	"atmosphere"		
<https://mdatahub.org/data/meo/MEO_0000002>	"geosphere"		"terrestrial related environment"
<https://mdatahub.org/data/meo/MEO_0000003>	"human activity association"		
<https://mdatahub.org/data/meo/MEO_0000004>	"hydrosphere"		"water associated environment"
<https://mdatahub.org/data/meo/MEO_0000005>	"organism association"		
<https://mdatahub.org/data/meo/MEO_0000006>	"air"		"The mixture of gases roughly (by molar content/volume: 78% nitrogen, 20.95% oxygen, 0.93% argon, 0.038% carbon dioxide, trace amounts of other gases, and a variable amount (average around 1%) of water vapor) that surrounds the planet Earth."
<https://mdatahub.org/data/meo/MEO_0000007>	"soil"		"Any material within 2 m from the Earth's surface that is in contact with the atmosphere, with the exclusion of living organisms, areas with continuous ice not covered by other material, and water bodies deeper than 2 m."
<https://mdatahub.org/data/meo/MEO_0000008>	"terrestrial habitat"		
<https://mdatahub.org/data/meo/MEO_0000009>	"limestone"		"A sedimentary rock composed largely of the mineral calcite."
<https://mdatahub.org/data/meo/MEO_0000010>	"sphagnum bog"		"A peatland dominated by species of the Bryophyte Sphagnum"
<https://mdatahub.org/data/meo/MEO_0000011>	"oil field"		"Oil field/oilfield refers to a region with an abundance of oil wells extracting petroleum (crude oil) from below ground."
<https://mdatahub.org/data/meo/MEO_0000012>	"sewage"		"Wastewater that is contaminated with feces or urine."
<https://mdatahub.org/data/meo/MEO_0000013>	"sludge"		"The residual semi-solid material left from domestic or industrial processes, or wastewater treatment processes."
<https://mdatahub.org/data/meo/MEO_0000014>	"activated sludge"		"Activated sludge is a process for treating sewage and industrial wastewaters using air and a biological floc composed of bacteria and protozoa."
<https://mdatahub.org/data/meo/MEO_0000015>	"brewery"		"A brewery is a dedicated building for the making of beer."
<https://mdatahub.org/data/meo/MEO_0000016>	"vinegar"		"A liquid produced from the fermentation of ethanol in a process that yields its key ingredient, acetic acid."
<https://mdatahub.org/data/meo/MEO_0000017>	"kimchi"		"A Korean dish made of vegetables, such as cabbage or radishes, that are salted, seasoned, and stored in sealed containers to undergo lactic acid fermentation."
<https://mdatahub.org/data/meo/MEO_0000018>	"food product"		"A substance, usually composed primarily of carbohydrates, fats, water and/or proteins, that can be eaten or drunk by an animal or human being for nutrition or pleasure."
<https://mdatahub.org/data/meo/MEO_0000019>	"milk for drinking and eating"		"A opaque white dairy product produced by the mammary glands of female mammals."
<https://mdatahub.org/data/meo/MEO_0000020>	"dairy product"		"Food made from milk."
<https://mdatahub.org/data/meo/MEO_0000021>	"wine"		"Wine is an alcoholic beverage made from fermented grapes or other fruits."
<https://mdatahub.org/data/meo/MEO_0000022>	"ocean"		"Continuous saline-water bodies that surround the continents and fill the Earth's great depressions. Only 5 ocean is being."
<https://mdatahub.org/data/meo/MEO_0000023>	"sea"		"The continuous body of salt water covering most of the earth's surface, especially this body regarded as a geophysical entity distinct from earth and sky."
<https://mdatahub.org/data/meo/MEO_0000024>	"lake"		"A body of water or other liquid of considerable size contained on a body of land."
<https://mdatahub.org/data/meo/MEO_0000025>	"freshwater lake"		"A lake of whose water contains low concentrations of salts."
<https://mdatahub.org/data/meo/MEO_0000026>	"stream"		"A flow of water in a channel or bed, as a brook, rivulet, or small river."
<https://mdatahub.org/data/meo/MEO_0000027>	"pond"		"A body of water, usually of smaller size than a lake."
<https://mdatahub.org/data/meo/MEO_0000028>	"marsh"		"A wetland, featuring grasses, rushes, reeds, typhas, sedges, and other herbaceous plants (possibly with low-growing woody plants) in a context of shallow water. Permanently or periodically inundated site characterized by nutrient-rich water. In Europe, must have a mineral substrate and lack peat accumulation."
<https://mdatahub.org/data/meo/MEO_0000029>	"hot spring"		"A spring that is produced by the emergence of geothermally-heated groundwater from the Earth's crust."
<https://mdatahub.org/data/meo/MEO_0000030>	"aquatic habitat"		
<https://mdatahub.org/data/meo/MEO_0000031>	"hydrothermal vent"		"A fissure in the Earths's surface from which geothermally heated water issues."
<https://mdatahub.org/data/meo/MEO_0000032>	"mouth of the watercourse"		"The exit or point of discharge of a stream into another stream, lake or sea."
<https://mdatahub.org/data/meo/MEO_0000033>	"marine habitat"		
<https://mdatahub.org/data/meo/MEO_0000034>	"acid mine drainage"		"A mine drainage with an acidic pH."
