?class	?labels	?synonyms	?definitions
<urn:absolute:OFSMR#Acified_sauces>	"Acified sauce"	""	
<urn:absolute:OFSMR#Agar_medium>	"Agar medium"	"Nutrien agar, agar"	
<urn:absolute:OFSMR#Ambient_stable_sauces>	"Ambient stable sauce"	""	
<urn:absolute:OFSMR#Bean>	"Bean"	"Green beans"	
<urn:absolute:OFSMR#Beef>	"Beef"	"Beef meat"	
<urn:absolute:OFSMR#Beef_gravy>	"Beef gravy"	""	
<urn:absolute:OFSMR#Beef_sausage>	"Beef sausage"	""	
<urn:absolute:OFSMR#Beverage>	"Beverage"	""	
<urn:absolute:OFSMR#Bologna>	"Bologna"	""	
<urn:absolute:OFSMR#Brain-heart_infusion_agar>	"Brain-heart infusion agar"	"Brain heart infusion agar"	
<urn:absolute:OFSMR#Brain-heart_infusion_broth>	"Brain-heart infusion broth"	"Brin heart infusion, modified bhi, brain heart infusion broth"	
<urn:absolute:OFSMR#Bread>	"Bread"	""	
<urn:absolute:OFSMR#Broth_medium>	"Broth medium"	"Liquid culture medium, broth culture, nutrient broth"	
<urn:absolute:OFSMR#Broths_&_foods>	"Broths & foods"	"Broths & foods (Combase Data)"	
<urn:absolute:OFSMR#Bulked_cooked_meat>	"Bulked cooked meat"	""	
<urn:absolute:OFSMR#Cabbage>	"Cabbage"	""	
<urn:absolute:OFSMR#Cantaloupe>	"Cantaloupe"	""	
<urn:absolute:OFSMR#Carcass>	"Carcass"	"Corpse"	
<urn:absolute:OFSMR#Carrot>	"Carrot"	""	
<urn:absolute:OFSMR#Cereals>	"Cereals"	""	
<urn:absolute:OFSMR#Cheese>	"Cheese"	""	
<urn:absolute:OFSMR#Cheese_salad>	"Cheese salad"	""	
<urn:absolute:OFSMR#Chemical_procesed_sausages>	"Chemical processed sausages"	""	
<urn:absolute:OFSMR#Chemicaly_extracted_meat>	"Chemical extracted meat"	""	
<urn:absolute:OFSMR#Chicken_frankfurters>	"Chicken frankfurters"	""	
<urn:absolute:OFSMR#Chicken_skin>	"Chicken skin"	""	
<urn:absolute:OFSMR#Cold-filled_acid_dressings_and_sauces>	"Cold filled acid dressing and sauces"	"Mayonnaise, dressing, sauce, diluted vinegar, cider"	
<urn:absolute:OFSMR#Composite_egg_food_products>	"Composite egg food products"	""	
<urn:absolute:OFSMR#Composite_fish_food_produts>	""	""	
<urn:absolute:OFSMR#Composite_food_products>	"Composite food products"	""	
<urn:absolute:OFSMR#Composited_vegetables_food_products>	""	""	
<urn:absolute:OFSMR#Cooked_beef>	"Cooked beef"	"Coocked uncured beef"	
<urn:absolute:OFSMR#Cooked_chicken>	"Cooked chicken"	"Cooked uncured chicken"	
<urn:absolute:OFSMR#Cooked_cured_meat_products>	"Cooked & cured meat products"	""	
<urn:absolute:OFSMR#Cooked_cured_pork>	"Cooked & cured pork"	""	
<urn:absolute:OFSMR#Cooked_ham>	"Cooked ham"	"Cooked pork ham, ham (cooked)"	
<urn:absolute:OFSMR#Cooked_meat_-MAP->	"Coocked meat -map-"	""	
<urn:absolute:OFSMR#Cooked_meat_model_in_mbhi>	"Cooked meat model (in mbhi)"	""	
<urn:absolute:OFSMR#Cooked_meat_with_nitrite>	"Cooked meat with nitrites"	""	
<urn:absolute:OFSMR#Cooked_meat_without_nitrite>	"Cooked meat without nitrites"	""	
<urn:absolute:OFSMR#Cooked_pork>	"Cooked pork"	"Cooked uncured pork"	
<urn:absolute:OFSMR#Culture_medium>	"Culture medium"	"Culture broth, broth culture, culture medium, culture media"	
<urn:absolute:OFSMR#Cured_ham>	"Cured ham"	"Ham"	
<urn:absolute:OFSMR#Cured_meat_products>	"Cured meat products"	""	
<urn:absolute:OFSMR#Dairy_products>	"Dairy products"	"Dairy, other dairy"	
<urn:absolute:OFSMR#Dried_milk>	"Dried milk"	"Dehydrated non fat"	
<urn:absolute:OFSMR#Egg>	"Egg"	""	
<urn:absolute:OFSMR#Egg_custard>	"Egg custard"	"Traditional custard"	
