?class	?labels	?synonyms	?definitions
<http://purl.phyloviz.net/ontology/typon#FragmentSizeBased>	"Fragment Size Based"		"FragmentSizeBased refers to all typing methods where the allele determination is based on fragment sizes rather than its sequence."
<http://purl.phyloviz.net/ontology/typon#Genotypic>	"Genotypic"		"Genotypic characterizes all the Typing Information that is based directly on the sequence itself or properties (such as sequence length)."
<http://purl.phyloviz.net/ontology/typon#MLST>	"MLST"		"MLST stands for Multilocus Sequence Typing and it is a sequence based typing method that traditionally focused on the sequence of seven housekeeping loci to determine the phylogenetic relationships between strains of the same species. The novel Whole Genome Sequencing (WGS) techniques are bringing new approaches to MLST moving from traditional 7-loci approches to schemas containing up to thousands of genes (see rMLST, wgMLST,cgMLST). Maiden MC, Bygraves JA, Feil E et al. (March 1998). \"Multilocus sequence typing: A portable approach to the identification of clones within populations of pathogenic microorganisms\". Proc. Natl. Acad. Sci. U.S.A. 95 (6):3140-3145. doi:10.1073/pnas.95.6.3140. PMC 19708. PMID 9501229."
<http://purl.phyloviz.net/ontology/typon#MLVA>	"MLVA"		"MLVA stands for Multilocus Variable Number of Tandem Repeats Analysis. This method can be performed by three distinct methodologies: by running the amplified locus in a gel , using a capilary electrophoresis apparatus or sequencing the resulting amplified fragment. The first two infer the number of repeats on each locus indirectly by the fragment size."
<http://purl.phyloviz.net/ontology/typon#MultiLocus>	"MultiLocus"		"MultiLocus characterizes all the methods based only in the characteristics (lenght or sequence ) of only two or more Locus"
<http://purl.phyloviz.net/ontology/typon#RepeatProfilePart>	"Repeat Profile Part"		"RepeatProfilePart is the entity that stores the index order of a given Spa Repeat on a given SpaAllele"
<http://purl.phyloviz.net/ontology/typon#Schema>	"Schema"		"A Schema is the enumeration and description of a set of Locus used in a multilocus typing methodology."
<http://purl.phyloviz.net/ontology/typon#SchemaPart>	"Schema Part"		"SchemaPart is the entity that store the index order of a given Locus on a Schema."
<http://purl.phyloviz.net/ontology/typon#Sequence>	"Sequence"		"Sequence represents the DNA sequence of a given locus by storing its Nucleotide Sequence and/or a pointer for a file where the sequence is stored in a file system."
<http://purl.phyloviz.net/ontology/typon#SequenceBased>	"Sequence Based"		"SequenceBased refers to all typing methods based on the DNA sequence content of one or more loci."
<http://purl.phyloviz.net/ontology/typon#SequenceBasedTypingInformation>	"Sequence-based Typing Information"		"High level concept to agregate all the information relative to sequence-based typing methods that have been applied to charactherize the isolate."
<http://purl.phyloviz.net/ontology/typon#SingleLocus>	"Single Locus"		"SingleLocus characterizes all the methods based only in the characteristics (lenght or sequence) of only one Locus."
<http://purl.phyloviz.net/ontology/typon#SpaAllele>	"Spa Allele"		"A SpaAllele corresponds to a specific repeat Sequence found as result of the amplification of the locus of spa gene in Staphylococcus aureus."
<http://purl.phyloviz.net/ontology/typon#SpaRepeat>	"Spa Repeat"		"SpaRepeat refers to the sequence of the repeat together with its identifier. a series of SpaRepeats and their order define a given SpaAllele and therefore a Spa type."
<http://purl.phyloviz.net/ontology/typon#TypingInformation>	"Typing Information"		"High level concept to agregate all the information relative to typing methods that have been applied to charactherize the isolate."
<http://purl.phyloviz.net/ontology/typon#cgMLST>	"cgMLST"		"cgMLST refers to core genome MLST , a variant of MLST where the loci are core genome genes,i.e., are present in the great majority of strains of a given species"
<http://purl.phyloviz.net/ontology/typon#rMLST>	"rMLST"		"rMLST refers to ribossomal MLST, a variant of MLST technique that uses the 53 ribossomal protein genes and allow an universal characterization of bacteria from domain to strain. Jolley KA, Bliss CM, Bennett JS, Bratcher HB, Brehony C, Colles FM, Wimalarathna H, Harrison OB, Sheppard SK, Cody AJ, Maiden MC. Ribosomal multilocus sequence typing: universal characterization of bacteria from domain to strain.  Department of Zoology, University of Oxford, Oxford, UK. keith.jolley@zoo.ox.ac.uk."
<http://purl.phyloviz.net/ontology/typon#spaTyping>	"spa Typing"		"spaTyping is a typing method based on sequencing of the polymorphic X region of the protein A gene (spa), present in all strains of Staphylococcus aureus. The X region is constituted of a variable number of 24-bp repeats flanked by well-conserved regions. Shopsin B, Gomez M, Montgomery SO, Smith DH, Waddington M, Dodge DE, Bost DA, Riehman M, Naidich S, Kreiswirth BN.Evaluation of protein A gene polymorphic region DNA sequencing for typing of Staphylococcus aureus strains.J Clin Microbiol. 1999 Nov;37(11):3556-63. Harmsen D, Claus H, Witte W, Rothgänger J, Claus H, Turnwald D, Vogel U. Typing of methicillin-resistant Staphylococcus aureus in a university hospital setting by using novel software for spa repeat determination and database management. J Clin Microbiol. 2003 Dec;41(12):5442-8."
<http://purl.phyloviz.net/ontology/typon#wgMLST>	"wgMLST"		"cgMLST refers to core genome MLST , a variant of MLST where the loci are core genome genes,i.e., are present in the great majority of strains of a given species"
